method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
QE,Climate,27,20260808,independent,0.3,0.5,655,655,1.0
PRTD,Climate,27,20260808,independent,0.3,0.5,655,655,1.0
QE,Climate,27,20260808,compact,0.3,0.5,655,655,1.0
PRTD,Climate,27,20260808,compact,0.3,0.5,655,655,1.0
QE,Climate,27,20260808,onoff,0.3,0.5,333,333,1.0
PRTD,Climate,27,20260808,onoff,0.3,0.5,333,333,1.0
QE,Climate,27,20260808,mature_anchor,0.3,0.5,494,494,1.0
PRTD,Climate,27,20260808,mature_anchor,0.3,0.5,494,494,1.0
QE,Climate,27,20260809,independent,0.3,0.5,624,624,1.0
PRTD,Climate,27,20260809,independent,0.3,0.5,624,624,1.0
QE,Climate,27,20260809,compact,0.3,0.5,624,624,1.0
PRTD,Climate,27,20260809,compact,0.3,0.5,624,624,1.0
QE,Climate,27,20260809,onoff,0.3,0.5,322,322,1.0
PRTD,Climate,27,20260809,onoff,0.3,0.5,322,322,1.0
QE,Climate,27,20260809,mature_anchor,0.3,0.5,468,468,1.0
PRTD,Climate,27,20260809,mature_anchor,0.3,0.5,468,468,1.0
QE,Climate,27,20260810,independent,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260810,independent,0.3,0.5,651,651,1.0
QE,Climate,27,20260810,compact,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260810,compact,0.3,0.5,651,651,1.0
QE,Climate,27,20260810,onoff,0.3,0.5,328,328,1.0
PRTD,Climate,27,20260810,onoff,0.3,0.5,328,328,1.0
QE,Climate,27,20260810,mature_anchor,0.3,0.5,485,485,1.0
PRTD,Climate,27,20260810,mature_anchor,0.3,0.5,485,485,1.0
QE,Climate,27,20260811,independent,0.3,0.5,644,644,1.0
PRTD,Climate,27,20260811,independent,0.3,0.5,644,644,1.0
QE,Climate,27,20260811,compact,0.3,0.5,644,644,1.0
PRTD,Climate,27,20260811,compact,0.3,0.5,644,644,1.0
QE,Climate,27,20260811,onoff,0.3,0.5,327,327,1.0
PRTD,Climate,27,20260811,onoff,0.3,0.5,327,327,1.0
QE,Climate,27,20260811,mature_anchor,0.3,0.5,496,496,1.0
PRTD,Climate,27,20260811,mature_anchor,0.3,0.5,496,496,1.0
QE,Climate,27,20260812,independent,0.3,0.5,654,654,1.0
PRTD,Climate,27,20260812,independent,0.3,0.5,654,654,1.0
QE,Climate,27,20260812,compact,0.3,0.5,654,654,1.0
PRTD,Climate,27,20260812,compact,0.3,0.5,654,654,1.0
QE,Climate,27,20260812,onoff,0.3,0.5,335,335,1.0
PRTD,Climate,27,20260812,onoff,0.3,0.5,335,335,1.0
QE,Climate,27,20260812,mature_anchor,0.3,0.5,485,485,1.0
PRTD,Climate,27,20260812,mature_anchor,0.3,0.5,485,485,1.0
QE,Climate,27,20260813,independent,0.3,0.5,634,634,1.0
PRTD,Climate,27,20260813,independent,0.3,0.5,634,634,1.0
QE,Climate,27,20260813,compact,0.3,0.5,634,634,1.0
PRTD,Climate,27,20260813,compact,0.3,0.5,634,634,1.0
QE,Climate,27,20260813,onoff,0.3,0.5,317,317,1.0
PRTD,Climate,27,20260813,onoff,0.3,0.5,317,317,1.0
QE,Climate,27,20260813,mature_anchor,0.3,0.5,480,480,1.0
PRTD,Climate,27,20260813,mature_anchor,0.3,0.5,480,480,1.0
QE,Climate,27,20260814,independent,0.3,0.5,629,629,1.0
PRTD,Climate,27,20260814,independent,0.3,0.5,629,629,1.0
QE,Climate,27,20260814,compact,0.3,0.5,629,629,1.0
PRTD,Climate,27,20260814,compact,0.3,0.5,629,629,1.0
QE,Climate,27,20260814,onoff,0.3,0.5,309,309,1.0
PRTD,Climate,27,20260814,onoff,0.3,0.5,309,309,1.0
QE,Climate,27,20260814,mature_anchor,0.3,0.5,467,467,1.0
PRTD,Climate,27,20260814,mature_anchor,0.3,0.5,467,467,1.0
QE,Climate,27,20260815,independent,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260815,independent,0.3,0.5,645,645,1.0
QE,Climate,27,20260815,compact,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260815,compact,0.3,0.5,645,645,1.0
QE,Climate,27,20260815,onoff,0.3,0.5,310,310,1.0
PRTD,Climate,27,20260815,onoff,0.3,0.5,310,310,1.0
QE,Climate,27,20260815,mature_anchor,0.3,0.5,488,488,1.0
PRTD,Climate,27,20260815,mature_anchor,0.3,0.5,488,488,1.0
QE,Climate,27,20260816,independent,0.3,0.5,627,627,1.0
PRTD,Climate,27,20260816,independent,0.3,0.5,627,627,1.0
QE,Climate,27,20260816,compact,0.3,0.5,627,627,1.0
PRTD,Climate,27,20260816,compact,0.3,0.5,627,627,1.0
QE,Climate,27,20260816,onoff,0.3,0.5,325,325,1.0
PRTD,Climate,27,20260816,onoff,0.3,0.5,325,325,1.0
QE,Climate,27,20260816,mature_anchor,0.3,0.5,480,480,1.0
PRTD,Climate,27,20260816,mature_anchor,0.3,0.5,480,480,1.0
QE,Climate,27,20260817,independent,0.3,0.5,643,643,1.0
PRTD,Climate,27,20260817,independent,0.3,0.5,643,643,1.0
QE,Climate,27,20260817,compact,0.3,0.5,643,643,1.0
PRTD,Climate,27,20260817,compact,0.3,0.5,643,643,1.0
QE,Climate,27,20260817,onoff,0.3,0.5,311,311,1.0
PRTD,Climate,27,20260817,onoff,0.3,0.5,311,311,1.0
QE,Climate,27,20260817,mature_anchor,0.3,0.5,471,471,1.0
PRTD,Climate,27,20260817,mature_anchor,0.3,0.5,471,471,1.0
QE,Climate,27,20260818,independent,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260818,independent,0.3,0.5,651,651,1.0
QE,Climate,27,20260818,compact,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260818,compact,0.3,0.5,651,651,1.0
QE,Climate,27,20260818,onoff,0.3,0.5,349,349,1.0
PRTD,Climate,27,20260818,onoff,0.3,0.5,349,349,1.0
QE,Climate,27,20260818,mature_anchor,0.3,0.5,489,489,1.0
PRTD,Climate,27,20260818,mature_anchor,0.3,0.5,489,489,1.0
QE,Climate,27,20260819,independent,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260819,independent,0.3,0.5,645,645,1.0
QE,Climate,27,20260819,compact,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260819,compact,0.3,0.5,645,645,1.0
QE,Climate,27,20260819,onoff,0.3,0.5,325,325,1.0
PRTD,Climate,27,20260819,onoff,0.3,0.5,325,325,1.0
QE,Climate,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
PRTD,Climate,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
QE,Climate,27,20260820,independent,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260820,independent,0.3,0.5,646,646,1.0
QE,Climate,27,20260820,compact,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260820,compact,0.3,0.5,646,646,1.0
QE,Climate,27,20260820,onoff,0.3,0.5,333,333,1.0
PRTD,Climate,27,20260820,onoff,0.3,0.5,333,333,1.0
