workload,scene,target_workers,seed,target_acceptance,qe_radius,qe_clean_acceptance,prtd_relative_weight,prtd_clean_acceptance
Climate_n27,Climate,27,20260808,0.96,0.0332531986749475,0.960144927536232,0.0903372820801808,0.9583333333333334
Climate_n27,Climate,27,20260814,0.96,0.0325943260623424,0.960144927536232,0.0316257953086999,0.9583333333333334
Climate_n27,Climate,27,20260820,0.96,0.0353486571958078,0.960144927536232,0.0408203436518208,0.9583333333333334
Climate_n27,Climate,27,20260826,0.96,0.0350922990872995,0.960144927536232,0.0814288385061378,0.9583333333333334
Climate_n27,Climate,27,20260832,0.96,0.0337381789870509,0.960144927536232,0.1691879539054173,0.9583333333333334
Climate_n39,Climate,39,20260808,0.96,0.0340901830402931,0.9604449938195304,0.1016535345811363,0.9592088998763906
Climate_n39,Climate,39,20260814,0.96,0.0341553225751137,0.9604449938195304,0.1662411367809794,0.9592088998763906
Climate_n39,Climate,39,20260820,0.96,0.0339214474829893,0.9604449938195304,0.1172097163655292,0.9592088998763906
Climate_n39,Climate,39,20260826,0.96,0.0333265523208616,0.9604449938195304,0.1652558265780139,0.9592088998763906
Climate_n39,Climate,39,20260832,0.96,0.0339240352147951,0.9604449938195304,0.1599781220997754,0.9592088998763906
Traffic_n27,Traffic,27,20260808,0.96,0.0119987802402452,0.9606164383561644,0.0461681675324759,0.958904109589041
Traffic_n27,Traffic,27,20260814,0.96,0.012910625299163,0.9606164383561644,0.0891859562397269,0.958904109589041
Traffic_n27,Traffic,27,20260820,0.96,0.0115437969003799,0.9606164383561644,0.0624335610312183,0.958904109589041
Traffic_n27,Traffic,27,20260826,0.96,0.0116548251093284,0.9606164383561644,0.0524743724700927,0.958904109589041
Traffic_n27,Traffic,27,20260832,0.96,0.0110543307981893,0.9606164383561644,0.1255980475024266,0.958904109589041
Traffic_n39,Traffic,39,20260808,0.96,0.0114425427950535,0.9610027855153204,0.0965857193426434,0.9596100278551531
Traffic_n39,Traffic,39,20260814,0.96,0.0108576888208566,0.9610027855153204,0.0849039103112007,0.9596100278551531
Traffic_n39,Traffic,39,20260820,0.96,0.0106558474722141,0.9610027855153204,0.1423625970176666,0.9596100278551531
Traffic_n39,Traffic,39,20260826,0.96,0.0104014605443345,0.9610027855153204,0.1879835513915851,0.9596100278551531
Traffic_n39,Traffic,39,20260832,0.96,0.011892068100477,0.9610027855153204,0.2022318801292299,0.9596100278551531
Water_n27,Water,27,20260808,0.96,0.0253767758839339,0.9600840336134454,0.0533155712317421,0.957983193277311
Water_n27,Water,27,20260814,0.96,0.0254347347920228,0.9600840336134454,0.0006287770481773,0.957983193277311
Water_n27,Water,27,20260820,0.96,0.0255516089350043,0.9600840336134454,0.0119056536735818,0.957983193277311
Water_n27,Water,27,20260826,0.96,0.024343446915324,0.9600840336134454,0.020277599803514,0.957983193277311
Water_n27,Water,27,20260832,0.96,0.0244525273507141,0.9600840336134454,0.0018737867094151,0.957983193277311
Water_n39,Water,39,20260808,0.96,0.0241301423315819,0.9611111111111112,0.1030852470253601,0.9597222222222224
Water_n39,Water,39,20260814,0.96,0.0241398222149617,0.9611111111111112,0.0909726534234666,0.9597222222222224
Water_n39,Water,39,20260820,0.96,0.0247187037088862,0.9611111111111112,0.1227384439081841,0.9597222222222224
Water_n39,Water,39,20260826,0.96,0.0240746502177165,0.9611111111111112,0.0603619808444618,0.9597222222222224
Water_n39,Water,39,20260832,0.96,0.0245443153624145,0.9611111111111112,0.1060384404479849,0.9597222222222224
Climate_n27,Climate,27,20260809,0.96,0.0346673509608729,0.960144927536232,0.1067000207571112,0.9583333333333334
Climate_n27,Climate,27,20260815,0.96,0.0342630134237994,0.960144927536232,0.0784521020986298,0.9583333333333334
Climate_n27,Climate,27,20260821,0.96,0.0345072537053134,0.960144927536232,0.0352621848161049,0.9583333333333334
Climate_n27,Climate,27,20260827,0.96,0.0351950362274571,0.960144927536232,0.0475564331503599,0.9583333333333334
Climate_n27,Climate,27,20260833,0.96,0.0343510397829121,0.960144927536232,0.0562531738653996,0.9583333333333334
Climate_n39,Climate,39,20260809,0.96,0.0352268011266194,0.9604449938195304,0.1312312046109635,0.9592088998763906
Climate_n39,Climate,39,20260815,0.96,0.0336073951908919,0.9604449938195304,0.1880237072001983,0.9592088998763906
Climate_n39,Climate,39,20260821,0.96,0.0335507137522029,0.9604449938195304,0.0935661911508239,0.9592088998763906
Climate_n39,Climate,39,20260827,0.96,0.0339426966286562,0.9604449938195304,0.154454504539286,0.9592088998763906
Climate_n39,Climate,39,20260833,0.96,0.0338799780814502,0.9604449938195304,0.1470854256998941,0.9592088998763906
Traffic_n27,Traffic,27,20260809,0.96,0.0112114405478474,0.9606164383561644,0.1261881144109816,0.958904109589041
Traffic_n27,Traffic,27,20260815,0.96,0.0143284028067391,0.9606164383561644,0.068578299932765,0.958904109589041
Traffic_n27,Traffic,27,20260821,0.96,0.0123620821653021,0.9606164383561644,0.0920839570292046,0.958904109589041
Traffic_n27,Traffic,27,20260827,0.96,0.0116478074699711,0.9606164383561644,0.1353285040724242,0.958904109589041
Traffic_n27,Traffic,27,20260833,0.96,0.0129023081836798,0.9606164383561644,0.0830852506159999,0.958904109589041
Traffic_n39,Traffic,39,20260809,0.96,0.0098417637067774,0.9610027855153204,0.1039247626466456,0.9596100278551531
Traffic_n39,Traffic,39,20260815,0.96,0.0106934797112059,0.9610027855153204,0.1483796133468961,0.9596100278551531
Traffic_n39,Traffic,39,20260821,0.96,0.0116668886510661,0.9610027855153204,0.1215859350661322,0.9596100278551531
Traffic_n39,Traffic,39,20260827,0.96,0.0103582777120721,0.9610027855153204,0.1852909919150275,0.9596100278551531
Traffic_n39,Traffic,39,20260833,0.96,0.0105790711655412,0.9610027855153204,0.0889190301020552,0.9596100278551531
Water_n27,Water,27,20260809,0.96,0.0245216314657878,0.9600840336134454,0.027672332317434,0.957983193277311
Water_n27,Water,27,20260815,0.96,0.0250139998866166,0.9600840336134454,0.0066844387413265,0.957983193277311
Water_n27,Water,27,20260821,0.96,0.0243155793887164,0.9600840336134454,0.015307771342776,0.957983193277311
Water_n27,Water,27,20260827,0.96,0.0254058921335584,0.9600840336134454,0.0173795818341075,0.957983193277311
Water_n27,Water,27,20260833,0.96,0.0252028675413261,0.9600840336134454,0.0136487734308084,0.957983193277311
Water_n39,Water,39,20260809,0.96,0.0243538704172225,0.9611111111111112,0.120313603077278,0.9597222222222224
Water_n39,Water,39,20260815,0.96,0.0238006401899512,0.9611111111111112,0.0700029897667473,0.9597222222222224
Water_n39,Water,39,20260821,0.96,0.0237048928689903,0.9611111111111112,0.0794308043359596,0.9597222222222224
Water_n39,Water,39,20260827,0.96,0.0240476747612445,0.9611111111111112,0.090130259413404,0.9597222222222224
Water_n39,Water,39,20260833,0.96,0.0241051718284068,0.9611111111111112,0.1054336756739552,0.9597222222222224
Climate_n27,Climate,27,20260810,0.96,0.0333898034311819,0.960144927536232,0.0338930031471922,0.9583333333333334
Climate_n27,Climate,27,20260816,0.96,0.0343691799180393,0.960144927536232,0.1416468505434979,0.9583333333333334
Climate_n27,Climate,27,20260822,0.96,0.0337354302317363,0.960144927536232,0.0340435238025242,0.9583333333333334
Climate_n27,Climate,27,20260828,0.96,0.0344452293202612,0.960144927536232,0.092149623486338,0.9583333333333334
Climate_n27,Climate,27,20260834,0.96,0.0332284557500981,0.960144927536232,0.1287701006062556,0.9583333333333334
Climate_n39,Climate,39,20260810,0.96,0.0331246570098003,0.9604449938195304,0.1614844318268259,0.9592088998763906
Climate_n39,Climate,39,20260816,0.96,0.0336777038552,0.9604449938195304,0.1252530936900058,0.9592088998763906
Climate_n39,Climate,39,20260822,0.96,0.0351635433563418,0.9604449938195304,0.180477830721954,0.9592088998763906
Climate_n39,Climate,39,20260828,0.96,0.0346388486217111,0.9604449938195304,0.1208280249248795,0.9592088998763906
Climate_n39,Climate,39,20260834,0.96,0.0340849810038222,0.9604449938195304,0.1716097641521848,0.9592088998763906
Traffic_n27,Traffic,27,20260810,0.96,0.0116921372657482,0.9623287671232876,0.0482899653619791,0.958904109589041
Traffic_n27,Traffic,27,20260816,0.96,0.0118019737767098,0.9606164383561644,0.1033718719904189,0.958904109589041
Traffic_n27,Traffic,27,20260822,0.96,0.012034230198103,0.9606164383561644,0.1072650990385181,0.958904109589041
Traffic_n27,Traffic,27,20260828,0.96,0.0120142357591031,0.9606164383561644,0.0998605755238984,0.958904109589041
Traffic_n27,Traffic,27,20260834,0.96,0.0118119475038928,0.9606164383561644,0.0830670155215259,0.958904109589041
Traffic_n39,Traffic,39,20260810,0.96,0.0100838837274231,0.9610027855153204,0.1283357865285659,0.9596100278551531
Traffic_n39,Traffic,39,20260816,0.96,0.010715426632963,0.9610027855153204,0.1907061366536737,0.9596100278551531
Traffic_n39,Traffic,39,20260822,0.96,0.0115188567152117,0.9610027855153204,0.117912536411594,0.9596100278551531
Traffic_n39,Traffic,39,20260828,0.96,0.0109558244019243,0.9610027855153204,0.1665542287424446,0.9596100278551531
Traffic_n39,Traffic,39,20260834,0.96,0.0106866504510486,0.9610027855153204,0.0890660254384874,0.9596100278551531
