variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,10,Climate,20260808,0.7315175097276264
All-Anchors,10,Climate,20260809,0.6770428015564203
All-Anchors,10,Climate,20260810,0.7354085603112841
All-Anchors,10,Climate,20260811,0.6614785992217899
All-Anchors,10,Climate,20260812,0.7198443579766537
All-Anchors,10,Climate,20260813,0.6614785992217899
All-Anchors,10,Climate,20260814,0.6848249027237354
All-Anchors,10,Climate,20260815,0.7315175097276264
All-Anchors,10,Climate,20260816,0.7003891050583657
All-Anchors,10,Climate,20260817,0.7120622568093385
All-Anchors,10,Climate,20260818,0.6964980544747081
All-Anchors,10,Climate,20260819,0.6848249027237354
All-Anchors,10,Climate,20260820,0.7120622568093385
All-Anchors,10,Climate,20260821,0.6964980544747081
All-Anchors,10,Climate,20260822,0.6770428015564203
All-Anchors,10,Climate,20260823,0.6575875486381323
All-Anchors,10,Climate,20260824,0.7003891050583657
All-Anchors,10,Climate,20260825,0.7159533073929961
All-Anchors,10,Climate,20260826,0.7159533073929961
All-Anchors,10,Climate,20260827,0.6770428015564203
All-Anchors,10,Climate,20260828,0.7120622568093385
All-Anchors,10,Climate,20260829,0.7237354085603113
All-Anchors,10,Climate,20260830,0.7159533073929961
All-Anchors,10,Climate,20260831,0.7237354085603113
All-Anchors,10,Climate,20260832,0.6809338521400778
All-Anchors,10,Climate,20260833,0.7003891050583657
All-Anchors,10,Climate,20260834,0.6653696498054474
All-Anchors,10,Climate,20260835,0.6926070038910506
All-Anchors,10,Climate,20260836,0.7509727626459144
All-Anchors,10,Climate,20260837,0.6926070038910506
All-Anchors,10,Traffic,20260808,0.6726618705035972
All-Anchors,10,Traffic,20260809,0.7410071942446043
All-Anchors,10,Traffic,20260810,0.7086330935251799
All-Anchors,10,Traffic,20260811,0.7302158273381295
All-Anchors,10,Traffic,20260812,0.7302158273381295
All-Anchors,10,Traffic,20260813,0.6942446043165468
All-Anchors,10,Traffic,20260814,0.7230215827338129
All-Anchors,10,Traffic,20260815,0.7014388489208633
All-Anchors,10,Traffic,20260816,0.7194244604316546
All-Anchors,10,Traffic,20260817,0.7230215827338129
All-Anchors,10,Traffic,20260818,0.7086330935251799
All-Anchors,10,Traffic,20260819,0.6762589928057554
All-Anchors,10,Traffic,20260820,0.7014388489208633
All-Anchors,10,Traffic,20260821,0.7266187050359713
All-Anchors,10,Traffic,20260822,0.7158273381294964
All-Anchors,10,Traffic,20260823,0.6906474820143885
All-Anchors,10,Traffic,20260824,0.6870503597122302
All-Anchors,10,Traffic,20260825,0.6870503597122302
All-Anchors,10,Traffic,20260826,0.6798561151079137
All-Anchors,10,Traffic,20260827,0.7086330935251799
All-Anchors,10,Traffic,20260828,0.7194244604316546
All-Anchors,10,Traffic,20260829,0.7302158273381295
All-Anchors,10,Traffic,20260830,0.6798561151079137
All-Anchors,10,Traffic,20260831,0.737410071942446
All-Anchors,10,Traffic,20260832,0.6906474820143885
All-Anchors,10,Traffic,20260833,0.6870503597122302
All-Anchors,10,Traffic,20260834,0.7194244604316546
All-Anchors,10,Traffic,20260835,0.6654676258992805
All-Anchors,10,Traffic,20260836,0.6942446043165468
All-Anchors,10,Traffic,20260837,0.6690647482014388
All-Anchors,10,Water,20260808,0.6981132075471698
All-Anchors,10,Water,20260809,0.6745283018867925
All-Anchors,10,Water,20260810,0.6745283018867925
All-Anchors,10,Water,20260811,0.7075471698113207
All-Anchors,10,Water,20260812,0.7122641509433962
All-Anchors,10,Water,20260813,0.7264150943396226
All-Anchors,10,Water,20260814,0.6556603773584906
All-Anchors,10,Water,20260815,0.6509433962264151
All-Anchors,10,Water,20260816,0.6792452830188679
All-Anchors,10,Water,20260817,0.7075471698113207
All-Anchors,10,Water,20260818,0.7216981132075472
All-Anchors,10,Water,20260819,0.6556603773584906
All-Anchors,10,Water,20260820,0.7405660377358491
All-Anchors,10,Water,20260821,0.7547169811320755
All-Anchors,10,Water,20260822,0.75
All-Anchors,10,Water,20260823,0.7169811320754716
All-Anchors,10,Water,20260824,0.6886792452830188
All-Anchors,10,Water,20260825,0.7216981132075472
All-Anchors,10,Water,20260826,0.7122641509433962
All-Anchors,10,Water,20260827,0.6839622641509434
All-Anchors,10,Water,20260828,0.7311320754716981
All-Anchors,10,Water,20260829,0.7075471698113207
All-Anchors,10,Water,20260830,0.6792452830188679
All-Anchors,10,Water,20260831,0.7169811320754716
All-Anchors,10,Water,20260832,0.6981132075471698
All-Anchors,10,Water,20260833,0.7216981132075472
All-Anchors,10,Water,20260834,0.6698113207547169
All-Anchors,10,Water,20260835,0.7311320754716981
All-Anchors,10,Water,20260836,0.7216981132075472
All-Anchors,10,Water,20260837,0.7075471698113207
All-Anchors,20,Climate,20260808,0.7016949152542373
All-Anchors,20,Climate,20260809,0.6677966101694915
All-Anchors,20,Climate,20260810,0.6949152542372882
All-Anchors,20,Climate,20260811,0.7220338983050848
All-Anchors,20,Climate,20260812,0.7457627118644068
All-Anchors,20,Climate,20260813,0.6949152542372882
All-Anchors,20,Climate,20260814,0.6779661016949152
All-Anchors,20,Climate,20260815,0.688135593220339
All-Anchors,20,Climate,20260816,0.6440677966101694
All-Anchors,20,Climate,20260817,0.711864406779661
All-Anchors,20,Climate,20260818,0.7050847457627119
All-Anchors,20,Climate,20260819,0.7491525423728813
All-Anchors,20,Climate,20260820,0.6983050847457627
All-Anchors,20,Climate,20260821,0.6949152542372882
