variant,block_end,ordinary_anchor_purity,ordinary_anchor_purity_ci_low,ordinary_anchor_purity_ci_high,seeds
All-Anchors,10,0.7027156851715602,0.6980062612783278,0.7074800079179002,30
All-Anchors,20,0.6989536413207067,0.6951689076989008,0.7027656453339198,30
All-Anchors,30,0.6999884074950632,0.6947650490702708,0.7056040928317336,30
All-Anchors,40,0.6994962512659899,0.6945319667625326,0.7045133005434829,30
All-Anchors,50,0.6986096425117522,0.692975294931346,0.7042504966096462,30
All-Anchors,60,0.7021952795887988,0.697192125652564,0.7071916694457409,30
All-Anchors,70,0.7017771972221124,0.6974135828664431,0.7064180388624245,30
All-Anchors,80,0.6988001310821128,0.6938771704516732,0.7040705367688249,30
All-Anchors,90,0.698790100849797,0.6945307764823971,0.7028140737010589,30
All-Anchors,100,0.6966005729433249,0.6924571015869443,0.7007977324870961,30
Binary-Rep.,10,0.6985283438206044,0.6689476246397298,0.7275376532220144,30
Binary-Rep.,20,0.7095290378391754,0.6989298767966813,0.7201594969453989,30
Binary-Rep.,30,0.6977580262830197,0.6910518693131962,0.7042875057785489,30
Binary-Rep.,40,0.7001357363408296,0.6938427757549109,0.7062848889771264,30
Binary-Rep.,50,0.7108054934887263,0.7041064597932933,0.7172003793192713,30
Binary-Rep.,60,0.7708005187598373,0.7620195675853654,0.7789066592439492,30
Binary-Rep.,70,0.8511384911648782,0.8440275644658279,0.8575285304781078,30
Binary-Rep.,80,0.922912486091874,0.91820673058861,0.9278020927955631,30
Binary-Rep.,90,0.9630011181316486,0.9595911812748245,0.9664591715528994,30
Binary-Rep.,100,0.983856550042893,0.9810982530582306,0.9865520992632589,30
Full,10,0.6985283438206044,0.6675016392473673,0.7279534466938592,30
Full,20,0.7093423730494784,0.6987375263613216,0.7196987439264177,30
Full,30,0.6974290893004143,0.690469349264654,0.7039171608144735,30
Full,40,0.700079084404934,0.6947968481624225,0.7062273943138409,30
Full,50,0.7098544474215477,0.7033194349328857,0.716385248830248,30
Full,60,0.7488644458663702,0.7428573977889416,0.7549700244694343,30
Full,70,0.8117452738221167,0.8055385818887876,0.8177592295110684,30
Full,80,0.8785821636695229,0.8724881018737323,0.8849113319406232,30
Full,90,0.9337746433353846,0.9288222974206125,0.938407794692603,30
Full,100,0.9676278125129212,0.9636075534520578,0.9715771560884083,30
No-U,10,0.6985283438206044,0.6666931009643842,0.7289484296631084,30
No-U,20,0.7093423730494784,0.698463955458758,0.7197009558394764,30
No-U,30,0.6974290893004143,0.6904506033686221,0.7042412676498218,30
No-U,40,0.7001344274810796,0.6944153151684316,0.7058876719660284,30
No-U,50,0.7118760217052424,0.7054134336824485,0.7180427423104834,30
No-U,60,0.7652158635771753,0.7585707538343424,0.7718578649573562,30
No-U,70,0.8476073470753812,0.8421825421203308,0.8532733154719657,30
No-U,80,0.9203958564763666,0.9162983357669263,0.9248657342277231,30
No-U,90,0.9645295083508361,0.961623825422448,0.967135577611986,30
No-U,100,0.9856506751559134,0.9830887615809029,0.9881038723304013,30
Sequential,10,0.7027156851715602,0.6979025515363348,0.7075241417247231,30
Sequential,20,0.6989536413207067,0.6949667987479761,0.7029712792738507,30
Sequential,30,0.6999884074950632,0.6948258621380379,0.7051628367575182,30
Sequential,40,0.6994962512659899,0.6946489000272511,0.7044790146606816,30
Sequential,50,0.6986096425117522,0.6925883271602995,0.7044847378620231,30
Sequential,60,0.7021952795887988,0.6974835665624641,0.7067502649138108,30
Sequential,70,0.7017771972221124,0.6973889425663792,0.7059212120467419,30
Sequential,80,0.6988001310821128,0.6935094156131503,0.7039981859916391,30
Sequential,90,0.698790100849797,0.6946046262385808,0.7033047010112108,30
Sequential,100,0.6966005729433249,0.6924139247399288,0.7009898934754893,30
