method,mode,scene,seed,honest_report_acceptance
IRPP-TD,compact,Climate,20260808,0.9979743416610398
IRPP-TD,compact,Climate,20260809,0.996031746031746
IRPP-TD,compact,Climate,20260810,0.9986531986531987
IRPP-TD,compact,Climate,20260811,0.9979892761394102
IRPP-TD,compact,Climate,20260812,0.9979757085020243
IRPP-TD,compact,Climate,20260813,0.9980026631158455
IRPP-TD,compact,Climate,20260814,0.9946914399469144
IRPP-TD,compact,Climate,20260815,0.9979879275653923
IRPP-TD,compact,Climate,20260816,0.9980119284294234
IRPP-TD,compact,Climate,20260817,0.9986604152712659
IRPP-TD,compact,Climate,20260818,0.9986531986531987
IRPP-TD,compact,Climate,20260819,0.9959758551307847
IRPP-TD,compact,Climate,20260820,0.9979865771812081
IRPP-TD,compact,Climate,20260821,0.998
IRPP-TD,compact,Climate,20260822,0.9986657771847899
IRPP-TD,compact,Climate,20260823,0.9966799468791501
IRPP-TD,compact,Climate,20260824,0.9973297730307076
IRPP-TD,compact,Climate,20260825,0.9952988582941572
IRPP-TD,compact,Climate,20260826,0.9979865771812081
IRPP-TD,compact,Climate,20260827,0.9986639946559787
IRPP-TD,compact,Climate,20260828,0.9966329966329966
IRPP-TD,compact,Climate,20260829,0.9938983050847457
IRPP-TD,compact,Climate,20260830,0.9979825151311366
IRPP-TD,compact,Climate,20260831,0.9993284083277367
IRPP-TD,compact,Climate,20260832,0.9979892761394102
IRPP-TD,compact,Climate,20260833,0.9966420416386836
IRPP-TD,compact,Climate,20260834,0.99933818663137
IRPP-TD,compact,Climate,20260835,0.998
IRPP-TD,compact,Climate,20260836,0.9945982444294396
IRPP-TD,compact,Climate,20260837,0.9993346640053227
IRPP-TD,compact,Traffic,20260808,0.9987317691819911
IRPP-TD,compact,Traffic,20260809,1.0
IRPP-TD,compact,Traffic,20260810,0.9980867346938775
IRPP-TD,compact,Traffic,20260811,0.9967948717948718
IRPP-TD,compact,Traffic,20260812,0.9955442393380013
IRPP-TD,compact,Traffic,20260813,0.9993670886075949
IRPP-TD,compact,Traffic,20260814,0.994256541161455
IRPP-TD,compact,Traffic,20260815,0.9987244897959183
IRPP-TD,compact,Traffic,20260816,0.9955470737913485
IRPP-TD,compact,Traffic,20260817,0.9987293519695044
IRPP-TD,compact,Traffic,20260818,0.9936467598475223
IRPP-TD,compact,Traffic,20260819,0.9949238578680203
IRPP-TD,compact,Traffic,20260820,0.9968474148802018
IRPP-TD,compact,Traffic,20260821,0.9993654822335025
IRPP-TD,compact,Traffic,20260822,0.9987357774968394
IRPP-TD,compact,Traffic,20260823,0.9974715549936789
IRPP-TD,compact,Traffic,20260824,0.9987317691819911
IRPP-TD,compact,Traffic,20260825,0.9968193384223919
IRPP-TD,compact,Traffic,20260826,1.0
IRPP-TD,compact,Traffic,20260827,0.9987293519695044
IRPP-TD,compact,Traffic,20260828,1.0
IRPP-TD,compact,Traffic,20260829,0.9974731522425774
IRPP-TD,compact,Traffic,20260830,0.9974667511082964
IRPP-TD,compact,Traffic,20260831,0.9961832061068703
IRPP-TD,compact,Traffic,20260832,0.9974457215836526
IRPP-TD,compact,Traffic,20260833,0.9968091895341417
IRPP-TD,compact,Traffic,20260834,0.9993658845909955
IRPP-TD,compact,Traffic,20260835,0.9993714644877436
IRPP-TD,compact,Traffic,20260836,0.9981024667931688
IRPP-TD,compact,Traffic,20260837,0.9936708860759493
IRPP-TD,compact,Water,20260808,0.9749518304431599
IRPP-TD,compact,Water,20260809,0.9872773536895675
IRPP-TD,compact,Water,20260810,0.9867424242424242
IRPP-TD,compact,Water,20260811,0.9936020473448497
IRPP-TD,compact,Water,20260812,0.9854060913705583
IRPP-TD,compact,Water,20260813,0.9917144678138942
IRPP-TD,compact,Water,20260814,0.9659090909090909
