method,mode,honest_report_acceptance,honest_report_acceptance_ci_low,honest_report_acceptance_ci_high,seeds
IRPP-TD,compact,0.9926745439458216,0.9911848462338398,0.9939786544881613,30
IRPP-TD,independent,0.9926745439458216,0.9912769619556421,0.9939398256918385,30
IRPP-TD,mature_anchor,0.9628813943640385,0.9601735858079314,0.9655659400937968,30
IRPP-TD,onoff,0.9532299677159114,0.9496927900264146,0.956257866840034,30
PRTD,compact,0.999261861490222,0.9991083073830628,0.9994117986827515,30
PRTD,independent,0.9999075975970757,0.9998441848811758,0.999963867117871,30
PRTD,mature_anchor,0.9993057277039068,0.9991213518347293,0.9994838701763333,30
PRTD,onoff,0.9993838481239316,0.999192695310845,0.9995837645762448,30
RPPS-TDC,compact,0.9530969249579043,0.9113434170228438,0.985387213890621,30
RPPS-TDC,independent,0.9856852033169187,0.9843250374888433,0.9869704515262516,30
RPPS-TDC,mature_anchor,0.7297580007961783,0.64590228701698,0.8109222723496413,30
RPPS-TDC,onoff,0.7295753263788889,0.659099874568829,0.803997332510261,30
