method,mode,malicious_report_leakage,malicious_report_leakage_ci_low,malicious_report_leakage_ci_high,seeds
IRPP-TD,compact,0.0,0.0,0.0,30
IRPP-TD,independent,0.0,0.0,0.0,30
IRPP-TD,mature_anchor,0.20607594888168676,0.1984394061100762,0.21329389359940606,30
IRPP-TD,onoff,0.24939387206605976,0.2375228957325004,0.26112356758237976,30
PRTD,compact,0.7768215192822829,0.7625531725986731,0.7898916440792896,30
PRTD,independent,0.719462263440552,0.6968780081077086,0.7399111209019513,30
PRTD,mature_anchor,0.7789658266236099,0.7661490292278472,0.7915108776948853,30
PRTD,onoff,0.7796218785229136,0.7656727243185323,0.791799429637255,30
RPPS-TDC,compact,0.07995410454118998,0.04962246820431518,0.11644745553482547,30
RPPS-TDC,independent,0.0002481467497927613,0.0,0.000578354881499194,30
RPPS-TDC,mature_anchor,0.29486544574769186,0.21871506268238505,0.3725755981473087,30
RPPS-TDC,onoff,0.2931188816936638,0.22251832439881472,0.35974320160707296,30
