method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
CRH-N,clean,Climate,20260808,80,0,0.007022305981117886,227.50727386975313,1.1889408309794771,201.72329802195588,400,0.004189960018042501,0.754167212675268,0.0029723520774486926,0.5043082450548897,0.0
CRH-N,clean,Climate,20260809,80,0,0.008590984020927027,303.69633060616496,1.3532505770115417,234.8028398027144,400,0.00463437806531983,0.8713442640629548,0.0033831264425288545,0.587007099506786,0.0
CRH-N,clean,Climate,20260810,80,0,0.007499089750590068,268.39172643156803,1.2826426880191741,227.9528569149525,400,0.004329864244578018,0.8191332712562224,0.003206606720047935,0.5698821422873812,0.0
CRH-N,clean,Climate,20260811,80,0,0.007463147101030782,263.7074857433594,1.2712820932628772,220.53544416643157,400,0.004319475402473888,0.8119536405229049,0.003178205233157193,0.5513386104160789,0.0
CRH-N,clean,Climate,20260812,80,0,0.008589387461691756,325.2108085737357,1.3722745267554939,243.10132620361375,400,0.004633947415997444,0.9016801103686047,0.0034306863168887345,0.6077533155090343,0.0
CRH-N,clean,Climate,20260813,80,0,0.007172884260743364,292.0510176539843,1.244724121817234,228.70635971140322,400,0.004234644099786712,0.8544750108311892,0.003111810304543085,0.5717658992785081,0.0
CRH-N,clean,Climate,20260814,80,0,0.007990263833405491,239.26941127857208,1.2546855059199409,214.21007444848226,400,0.004469413785219906,0.7734167881526947,0.003136713764799852,0.5355251861212057,0.0
CRH-N,clean,Climate,20260815,80,0,0.00684394414334786,266.50608822741356,1.1986439063965137,213.01730062653883,400,0.004136406696441931,0.8162507093831735,0.002996609765991284,0.5325432515663471,0.0
CRH-N,clean,Climate,20260816,80,0,0.00890112819994271,292.0359250318661,1.3466603493912426,233.7820020844742,400,0.00471728952894104,0.8544529317520452,0.0033666508734781064,0.5844550052111854,0.0
CRH-N,clean,Climate,20260817,80,0,0.008071943476108259,250.90586917678633,1.2613743188538107,217.61092778386578,400,0.0044921997607264355,0.7920004248369857,0.003153435797134527,0.5440273194596644,0.0
CRH-N,clean,Climate,20260818,80,0,0.007627959941884384,295.52105910907494,1.2517328886324763,228.68082243674382,400,0.004366909645814871,0.8595362981123528,0.0031293322215811908,0.5717020560918595,0.0
