method,mode,nrmse,nrmse_ci_low,nrmse_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high
CRH-N,clean,0.003405281524312321,0.00338236867283666,0.0034268650033171515,30,0.0,0.0,0.0
CRH-N,compact,0.04044599990895613,0.0371204255012371,0.043965600680587275,30,0.0,0.0,0.0
CRH-N,independent,0.0996316029625416,0.0984403645111004,0.1008368283388021,30,0.0,0.0,0.0
CRH-N,mature_anchor,0.04093749537395965,0.036001376122660494,0.04606692372372531,30,0.0,0.0,0.0
CRH-N,onoff,0.035437766333537894,0.029383019717885955,0.04198107451850898,30,0.0,0.0,0.0
IRPP-TD,clean,0.001134841787769993,0.0011227498144713564,0.0011463967257379067,30,0.0,0.0,0.0
IRPP-TD,compact,0.0013729304833582571,0.0013573259614042617,0.0013874131102740227,30,0.0,0.0,0.0
IRPP-TD,independent,0.0013729304833582571,0.0013576767925918738,0.0013868307113547478,30,0.0,0.0,0.0
IRPP-TD,mature_anchor,0.033149564774805886,0.029578264351271685,0.03666584493784982,30,0.0001851851851851852,0.0,0.0005555555555555556
IRPP-TD,onoff,0.036305916829878895,0.03241457205678903,0.04041923656288276,30,0.0,0.0,0.0
PRTD,clean,0.0012743322489459767,0.001262265063959919,0.0012859639813757766,30,0.0,0.0,0.0
PRTD,compact,0.046338194842228134,0.042925556824851545,0.04971957722141377,30,0.0,0.0,0.0
PRTD,independent,0.008859657360087618,0.00823996600341839,0.009719324841224055,30,0.0,0.0,0.0
PRTD,mature_anchor,0.04430083067376982,0.040574463158995246,0.048219780139099076,30,0.0,0.0,0.0
PRTD,onoff,0.04212957173505276,0.03779892510084688,0.04642281962218847,30,0.0,0.0,0.0
QE,clean,0.0010701261609959223,0.0010579558795910146,0.001081729895979889,30,0.0,0.0,0.0
QE,compact,0.1476909700912547,0.14717111552014378,0.1481912811455989,30,0.0,0.0,0.0
QE,independent,0.05216377816860104,0.051833047164139036,0.052500250726418535,30,0.0,0.0,0.0
QE,mature_anchor,0.14865588741448352,0.14769648422606496,0.14951390385609398,30,0.0,0.0,0.0
QE,onoff,0.1488346616443349,0.14783058822425849,0.14978960073479744,30,0.0,0.0,0.0
