method,target_workers,malicious_ratio,nrmse,nrmse_ci_low,nrmse_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high
CRH-N,27,0.0,0.003405281524312321,0.00338236867283666,0.0034268650033171515,30,0.0,0.0,0.0
CRH-N,27,0.1,0.0035020203224097866,0.003477073259405447,0.003527233000198288,30,0.0,0.0,0.0
CRH-N,27,0.2,0.005889256613294471,0.004167458752673005,0.008171991039039062,30,0.0,0.0,0.0
CRH-N,27,0.3,0.04044599990895613,0.0370935931325683,0.04404972701287969,30,0.0,0.0,0.0
CRH-N,27,0.4,0.1374980194779547,0.1332351585109623,0.14200152089877074,30,0.0,0.0,0.0
CRH-N,27,0.5,0.2695172662841957,0.2646130016592012,0.27390228278101314,30,0.0,0.0,0.0
CRH-N,27,0.6,0.3719755117826595,0.36952405334150473,0.37450166361081305,30,0.0,0.0,0.0
CRH-N,27,0.7,0.42794027383342154,0.42620441955521154,0.429727233068948,30,0.0,0.0,0.0
CRH-N,27,0.8,0.46463244501457895,0.4632191501860694,0.466098289198807,30,0.0,0.0,0.0
CRH-N,39,0.0,0.003049735775457701,0.003023858876661884,0.003074985714664676,30,0.0,0.0,0.0
CRH-N,39,0.1,0.0031772903023586808,0.003147080034453693,0.00320451541721849,30,0.0,0.0,0.0
CRH-N,39,0.2,0.0038451532846595785,0.0032588748529812916,0.004982103049426061,30,0.0,0.0,0.0
CRH-N,39,0.3,0.019631364699360786,0.014615678834726809,0.024631160566989233,30,0.0,0.0,0.0
CRH-N,39,0.4,0.10597114198638675,0.1008671916919003,0.11039584201261682,30,0.0,0.0,0.0
CRH-N,39,0.5,0.2592070465066392,0.25540027415392,0.26295899353100444,30,0.0,0.0,0.0
CRH-N,39,0.6,0.36881703811221395,0.3664397005545046,0.3712776873539426,30,0.0,0.0,0.0
CRH-N,39,0.7,0.4261634300959642,0.4243538175682311,0.4278617991365261,30,0.0,0.0,0.0
CRH-N,39,0.8,0.46381793553955225,0.4625742279639112,0.4650517089325817,30,0.0,0.0,0.0
IRPP-TD,27,0.0,0.001134841787769993,0.001122800022377101,0.001145944697325911,30,0.0,0.0,0.0
