method,scene,target_workers,seed,calibration_tasks,threshold_policy,gate_threshold,clean_acceptance,clean_retained,clean_total
RPPS-TDC,Climate,27,20260808,20,native-fixed,0.3,0.5869565217391305,324,552
RPPS-TDC,Climate,27,20260814,20,native-fixed,0.3,0.6195652173913043,342,552
RPPS-TDC,Climate,27,20260820,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Climate,27,20260826,20,native-fixed,0.3,0.592391304347826,327,552
RPPS-TDC,Climate,27,20260832,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Traffic,27,20260808,20,native-fixed,0.3,0.5667808219178082,331,584
RPPS-TDC,Traffic,27,20260814,20,native-fixed,0.3,0.5736301369863014,335,584
RPPS-TDC,Traffic,27,20260820,20,native-fixed,0.3,0.5821917808219178,340,584
RPPS-TDC,Traffic,27,20260826,20,native-fixed,0.3,0.5856164383561644,342,584
RPPS-TDC,Traffic,27,20260832,20,native-fixed,0.3,0.5017123287671232,293,584
RPPS-TDC,Water,27,20260808,20,native-fixed,0.3,0.4285714285714285,204,476
RPPS-TDC,Water,27,20260814,20,native-fixed,0.3,0.4264705882352941,203,476
RPPS-TDC,Water,27,20260820,20,native-fixed,0.3,0.4096638655462185,195,476
RPPS-TDC,Water,27,20260826,20,native-fixed,0.3,0.4327731092436975,206,476
RPPS-TDC,Water,27,20260832,20,native-fixed,0.3,0.3991596638655462,190,476
RPPS-TDC,Climate,27,20260809,20,native-fixed,0.3,0.532608695652174,294,552
RPPS-TDC,Climate,27,20260815,20,native-fixed,0.3,0.5670289855072463,313,552
RPPS-TDC,Climate,27,20260821,20,native-fixed,0.3,0.5670289855072463,313,552
RPPS-TDC,Climate,27,20260827,20,native-fixed,0.3,0.5126811594202898,283,552
RPPS-TDC,Climate,27,20260833,20,native-fixed,0.3,0.5561594202898551,307,552
RPPS-TDC,Traffic,27,20260809,20,native-fixed,0.3,0.6284246575342466,367,584
RPPS-TDC,Traffic,27,20260815,20,native-fixed,0.3,0.613013698630137,358,584
RPPS-TDC,Traffic,27,20260821,20,native-fixed,0.3,0.5804794520547946,339,584
RPPS-TDC,Traffic,27,20260827,20,native-fixed,0.3,0.4931506849315068,288,584
RPPS-TDC,Traffic,27,20260833,20,native-fixed,0.3,0.5291095890410958,309,584
RPPS-TDC,Water,27,20260809,20,native-fixed,0.3,0.3928571428571428,187,476
RPPS-TDC,Water,27,20260815,20,native-fixed,0.3,0.3634453781512605,173,476
RPPS-TDC,Water,27,20260821,20,native-fixed,0.3,0.3718487394957983,177,476
RPPS-TDC,Water,27,20260827,20,native-fixed,0.3,0.4033613445378151,192,476
RPPS-TDC,Water,27,20260833,20,native-fixed,0.3,0.4285714285714285,204,476
RPPS-TDC,Climate,27,20260810,20,native-fixed,0.3,0.6286231884057971,347,552
RPPS-TDC,Climate,27,20260816,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Climate,27,20260822,20,native-fixed,0.3,0.6612318840579711,365,552
RPPS-TDC,Climate,27,20260828,20,native-fixed,0.3,0.5905797101449275,326,552
RPPS-TDC,Climate,27,20260834,20,native-fixed,0.3,0.5869565217391305,324,552
RPPS-TDC,Traffic,27,20260810,20,native-fixed,0.3,0.5907534246575342,345,584
RPPS-TDC,Traffic,27,20260816,20,native-fixed,0.3,0.5702054794520548,333,584
RPPS-TDC,Traffic,27,20260822,20,native-fixed,0.3,0.5976027397260274,349,584
RPPS-TDC,Traffic,27,20260828,20,native-fixed,0.3,0.6232876712328768,364,584
RPPS-TDC,Traffic,27,20260834,20,native-fixed,0.3,0.559931506849315,327,584
RPPS-TDC,Water,27,20260810,20,native-fixed,0.3,0.4096638655462185,195,476
RPPS-TDC,Water,27,20260816,20,native-fixed,0.3,0.407563025210084,194,476
RPPS-TDC,Water,27,20260822,20,native-fixed,0.3,0.4600840336134453,219,476
RPPS-TDC,Water,27,20260828,20,native-fixed,0.3,0.3823529411764705,182,476
RPPS-TDC,Water,27,20260834,20,native-fixed,0.3,0.4054621848739496,193,476
RPPS-TDC,Climate,27,20260811,20,native-fixed,0.3,0.6177536231884058,341,552
RPPS-TDC,Climate,27,20260817,20,native-fixed,0.3,0.6195652173913043,342,552
RPPS-TDC,Climate,27,20260823,20,native-fixed,0.3,0.5706521739130435,315,552
RPPS-TDC,Climate,27,20260829,20,native-fixed,0.3,0.5797101449275363,320,552
RPPS-TDC,Climate,27,20260835,20,native-fixed,0.3,0.5851449275362319,323,552
RPPS-TDC,Traffic,27,20260811,20,native-fixed,0.3,0.4828767123287671,282,584
RPPS-TDC,Traffic,27,20260817,20,native-fixed,0.3,0.6643835616438356,388,584
RPPS-TDC,Traffic,27,20260823,20,native-fixed,0.3,0.5667808219178082,331,584
RPPS-TDC,Traffic,27,20260829,20,native-fixed,0.3,0.6335616438356164,370,584
RPPS-TDC,Traffic,27,20260835,20,native-fixed,0.3,0.5924657534246576,346,584
RPPS-TDC,Water,27,20260811,20,native-fixed,0.3,0.3697478991596639,176,476
RPPS-TDC,Water,27,20260817,20,native-fixed,0.3,0.4264705882352941,203,476
RPPS-TDC,Water,27,20260823,20,native-fixed,0.3,0.4180672268907563,199,476
RPPS-TDC,Water,27,20260829,20,native-fixed,0.3,0.3907563025210084,186,476
RPPS-TDC,Water,27,20260835,20,native-fixed,0.3,0.4138655462184873,197,476
RPPS-TDC,Climate,27,20260812,20,native-fixed,0.3,0.5742753623188406,317,552
RPPS-TDC,Climate,27,20260818,20,native-fixed,0.3,0.5670289855072463,313,552
RPPS-TDC,Climate,27,20260824,20,native-fixed,0.3,0.6322463768115942,349,552
RPPS-TDC,Climate,27,20260830,20,native-fixed,0.3,0.5833333333333334,322,552
RPPS-TDC,Climate,27,20260836,20,native-fixed,0.3,0.6141304347826086,339,552
RPPS-TDC,Traffic,27,20260812,20,native-fixed,0.3,0.6626712328767124,387,584
RPPS-TDC,Traffic,27,20260818,20,native-fixed,0.3,0.5856164383561644,342,584
RPPS-TDC,Traffic,27,20260824,20,native-fixed,0.3,0.6198630136986302,362,584
RPPS-TDC,Traffic,27,20260830,20,native-fixed,0.3,0.6352739726027398,371,584
RPPS-TDC,Traffic,27,20260836,20,native-fixed,0.3,0.6421232876712328,375,584
RPPS-TDC,Water,27,20260812,20,native-fixed,0.3,0.3823529411764705,182,476
RPPS-TDC,Water,27,20260818,20,native-fixed,0.3,0.3298319327731092,157,476
RPPS-TDC,Water,27,20260824,20,native-fixed,0.3,0.4726890756302521,225,476
RPPS-TDC,Water,27,20260830,20,native-fixed,0.3,0.4201680672268907,200,476
RPPS-TDC,Water,27,20260836,20,native-fixed,0.3,0.3193277310924369,152,476
RPPS-TDC,Climate,27,20260813,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Climate,27,20260819,20,native-fixed,0.3,0.5434782608695652,300,552
RPPS-TDC,Climate,27,20260825,20,native-fixed,0.3,0.5815217391304348,321,552
RPPS-TDC,Climate,27,20260831,20,native-fixed,0.3,0.6195652173913043,342,552
RPPS-TDC,Climate,27,20260837,20,native-fixed,0.3,0.5978260869565217,330,552
RPPS-TDC,Traffic,27,20260813,20,native-fixed,0.3,0.5804794520547946,339,584
RPPS-TDC,Traffic,27,20260819,20,native-fixed,0.3,0.5804794520547946,339,584
RPPS-TDC,Traffic,27,20260825,20,native-fixed,0.3,0.4897260273972603,286,584
RPPS-TDC,Traffic,27,20260831,20,native-fixed,0.3,0.648972602739726,379,584
RPPS-TDC,Traffic,27,20260837,20,native-fixed,0.3,0.636986301369863,372,584
