mode,scene,error_ratio,no_truth_rate,malicious_report_leakage,honest_false_low_rate
compact,Climate,1.21208415609662,0.0,0.0,0.0023008067601057256
compact,Traffic,1.2048758373846389,0.0,0.0,0.0012064108765570598
compact,Water,1.209176932823716,0.0,0.0,0.0005506535039841754
independent,Climate,1.21208415609662,0.0,0.0,0.0023008067601057256
independent,Traffic,1.2048758373846389,0.0,0.0,0.0012064108765570598
independent,Water,1.209176932823716,0.0,0.0,0.0005506535039841754
mature_anchor,Climate,18.15220583235459,0.0,0.273941895495892,0.036207123652224775
mature_anchor,Traffic,112.95795778080313,0.0,0.2193808440711433,0.028188628289277373
mature_anchor,Water,21.136042782271048,0.0005555555555555556,0.12490510707802503,0.0262364675269827
onoff,Climate,18.524904132165485,0.0,0.3377236296253851,0.03786783780963129
onoff,Traffic,159.06658420270574,0.0,0.3089774943155725,0.061662036236814294
onoff,Water,11.72036264183135,0.0,0.10148049225722165,0.007724981142814088
