malicious_ratio,strength,error_ratio,error_ratio_ci_low,error_ratio_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high,operational_failure
0.0,0.1,1.0,1.0,1.0,30,0.0,0.0,0.0,False
0.0,0.25,1.0,1.0,1.0,30,0.0,0.0,0.0,False
0.0,0.5,1.0,1.0,1.0,30,0.0,0.0,0.0,False
0.0,1.0,1.0,1.0,1.0,30,0.0,0.0,0.0,False
0.0,2.0,1.0,1.0,1.0,30,0.0,0.0,0.0,False
0.1,0.1,1.1687287466872562,1.1093202144011143,1.2398133186912474,30,0.0,0.0,0.0,False
0.1,0.25,1.5749114000970081,1.287032175542668,1.9742359818623152,30,0.0,0.0,0.0,False
0.1,0.5,2.277497035075595,1.6873736060530742,3.0686354544297423,30,0.0,0.0,0.0,False
0.1,1.0,3.8320661181775932,2.695092580794382,5.37728308203293,30,0.0,0.0,0.0,False
0.1,2.0,7.098638749264137,4.764258953088477,10.36731889124805,30,0.0,0.0,0.0,True
0.2,0.1,2.5252176064331047,2.173919409160176,2.9402237759939776,30,0.0,0.0,0.0,False
0.2,0.25,6.472887759472562,4.518714528454165,9.09033626610675,30,0.0,0.0,0.0,True
0.2,0.5,13.346355115825022,9.081049023258878,18.622568494817955,30,0.0,0.0,0.0,True
0.2,1.0,28.100840734364542,19.303793640848674,39.25188553728367,30,0.0,0.0,0.0,True
0.2,2.0,56.5823278750642,39.44847949140454,79.37637779335637,30,0.0,0.0,0.0,True
0.3,0.1,8.106913739142284,7.109550635806587,9.148757640418523,30,0.0,0.0,0.0,True
0.3,0.25,22.813440388117687,19.51575870360079,26.14539498124346,30,0.0,0.0,0.0,True
0.3,0.5,50.74873546514292,43.81678309851072,57.4333762315911,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.3,1.0,105.453242069727,91.13568781168587,120.3365325790509,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.3,2.0,212.03470855895782,183.35574170831953,241.19328141941202,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.4,0.1,26.43572232438598,24.980866899157576,28.058539724896512,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.4,0.25,77.08119692759209,73.28436694470233,81.19453819228391,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.4,0.5,168.27259583658503,159.4891184630379,177.4230487541055,30,0.0009259259259259259,0.0001851851851851852,0.002037037037037037,True
0.4,1.0,351.41251957570984,334.6574297721876,368.1978602067404,30,0.0003703703703703704,0.0,0.000925925925925926,True
0.4,2.0,710.1628032161545,676.8151832820469,745.2216932215405,30,0.0003703703703703704,0.0,0.000925925925925926,True
0.5,0.1,80.57386950855341,78.28274374324718,82.88612321675278,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.5,0.25,236.70577045635952,228.79693491115123,244.20884823482234,30,0.0014814814814814816,0.0003703703703703704,0.002962962962962963,True
0.5,0.5,532.7802301082188,518.4707250475619,546.3616806585494,30,0.0022222222222222222,0.0011111111111111111,0.003703703703703703,True
0.5,1.0,1108.3018082048984,1079.189962413563,1138.6496368489875,30,0.0012962962962962963,0.0003703703703703704,0.002407407407407407,True
0.5,2.0,2230.950982015434,2174.729351629099,2289.9874526577933,30,0.001851851851851852,0.0007407407407407408,0.0029629629629629632,True
0.6,0.1,122.99118467903006,120.22166707821205,125.77804089785594,30,0.0,0.0,0.0,True
0.6,0.25,331.3534319678307,324.7592434261064,338.05581691071825,30,0.0005555555555555556,0.0,0.0011111111111111111,True
0.6,0.5,680.0474461331119,666.5617351517336,692.6060836122401,30,0.0007407407407407408,0.0001851851851851852,0.0014814814814814816,True
0.6,1.0,1374.8075549390965,1349.5346987233916,1401.2568984512661,30,0.0007407407407407408,0.0001851851851851852,0.0014814814814814816,True
0.6,2.0,2753.2502843622747,2703.7769947782435,2805.2083091354757,30,0.0007407407407407408,0.0001851851851851852,0.0014814814814814816,True
0.7,0.1,136.89279203826467,134.1196767365297,139.5784720809463,30,0.0,0.0,0.0,True
0.7,0.25,349.7381405593912,343.1357381953043,356.2870405530198,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.7,0.5,706.0023229460185,692.9526495026154,720.0142065683709,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.7,1.0,1415.0288889492736,1389.3487236358615,1442.863445327601,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.7,2.0,2830.935520646018,2776.6086554251615,2882.3498028203817,30,0.0001851851851851852,0.0,0.0005555555555555556,True
0.8,0.1,141.04574363274168,138.38674236910958,143.883601835944,30,0.0,0.0,0.0,True
0.8,0.25,354.6469231432441,348.18529183458855,361.716091042675,30,0.0,0.0,0.0,True
0.8,0.5,710.7179402899208,696.7448570926468,724.3868191437847,30,0.0,0.0,0.0,True
0.8,1.0,1422.113401017625,1396.0000071221348,1450.0079378602545,30,0.0,0.0,0.0,True
0.8,2.0,2844.3969803646182,2792.488225039185,2895.9424757303323,30,0.0,0.0,0.0,True
