method,target_workers,malicious_ratio,nrmse,nrmse_ci_low,nrmse_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high
CRH-N,27,0.0,0.003405281524312321,0.00338236867283666,0.0034268650033171515,30,0.0,0.0,0.0
CRH-N,27,0.3,0.04044599990895613,0.0370935931325683,0.04404972701287969,30,0.0,0.0,0.0
CRH-N,27,0.5,0.2695172662841957,0.2646130016592012,0.27390228278101314,30,0.0,0.0,0.0
CRH-N,27,0.8,0.46463244501457895,0.4632191501860694,0.466098289198807,30,0.0,0.0,0.0
CRH-N,39,0.0,0.003049735775457701,0.003023858876661884,0.003074985714664676,30,0.0,0.0,0.0
CRH-N,39,0.3,0.019631364699360786,0.014615678834726809,0.024631160566989233,30,0.0,0.0,0.0
CRH-N,39,0.5,0.2592070465066392,0.25540027415392,0.26295899353100444,30,0.0,0.0,0.0
CRH-N,39,0.8,0.46381793553955225,0.4625742279639112,0.4650517089325817,30,0.0,0.0,0.0
IRPP-TD,27,0.0,0.001134841787769993,0.001122800022377101,0.001145944697325911,30,0.0,0.0,0.0
IRPP-TD,27,0.3,0.0013729304833582571,0.0013565138730228395,0.0013875192428906287,30,0.0,0.0,0.0
IRPP-TD,27,0.5,0.001637796042332578,0.0016171996161576834,0.0016602131399070987,30,0.0,0.0,0.0
IRPP-TD,27,0.8,0.0021478468526122787,0.002126559508859258,0.0021690497809445917,30,0.0,0.0,0.0
IRPP-TD,39,0.0,0.0009252052269095322,0.0009173668210996395,0.0009330671160357877,30,0.0,0.0,0.0
IRPP-TD,39,0.3,0.0011177571041428094,0.0011058122120919172,0.0011285397349151695,30,0.0,0.0,0.0
IRPP-TD,39,0.5,0.001332802432996325,0.0013201170906234772,0.0013451083694121287,30,0.0,0.0,0.0
IRPP-TD,39,0.8,0.0020094129273258007,0.001984148386961598,0.0020333987175584186,30,0.0,0.0,0.0
PRTD,27,0.0,0.0012743322489459767,0.0012626341045690686,0.001285312922639523,30,0.0,0.0,0.0
PRTD,27,0.3,0.046338194842228134,0.04260160108516608,0.05017221036778696,30,0.0,0.0,0.0
PRTD,27,0.5,0.31257492004597187,0.3100724655959827,0.3149680723489475,30,0.0,0.0,0.0
PRTD,27,0.8,0.4884051258228095,0.4881439224071481,0.48868077198436155,30,0.0,0.0,0.0
PRTD,39,0.0,0.0010244407128185817,0.0010152580511863852,0.0010333251691771502,30,0.0,0.0,0.0
PRTD,39,0.3,0.03051915818374202,0.02874911815480027,0.03268138486627327,30,0.0,0.0,0.0
PRTD,39,0.5,0.30611988836037884,0.30350935150153874,0.30817701240527695,30,0.0,0.0,0.0
PRTD,39,0.8,0.48766207432200354,0.4874255751725229,0.4878756508758123,30,0.0,0.0,0.0
QE,27,0.0,0.0010701261609959223,0.0010578518645415714,0.001082370279741673,30,0.0,0.0,0.0
QE,27,0.3,0.1476909700912547,0.14719084801269197,0.14817965627771978,30,0.0,0.0,0.0
QE,27,0.5,0.25393714330279094,0.25348090278564445,0.2543822750442238,30,0.0,0.0,0.0
QE,27,0.8,0.40638223728502126,0.4059403031956752,0.4068466645858321,30,0.0,0.0,0.0
QE,39,0.0,0.0008772172272961854,0.0008689456892596475,0.0008857603249701935,30,0.0,0.0,0.0
QE,39,0.3,0.14717724863382003,0.14672196355082615,0.1476096513184074,30,0.0,0.0,0.0
QE,39,0.5,0.25201240378317263,0.2514829247148626,0.25252526449443446,30,0.0,0.0,0.0
QE,39,0.8,0.40449465019369085,0.4041299909294939,0.4048510613775172,30,0.0,0.0,0.0
