budget,mode,delta_cap,scene,target_workers,seed,task_id,participant_count,norm_sq_sum,dimension,no_truth,iterations,converged,pair_evaluations,effective_budget,angular_available,valid_score_count,scores_json,labels_json,retained_json,worker_ids_json,screening_macro_f1
cap-3,rabod,3,Climate,27,20260808,21,27,3.654110966974929e-05,5,False,4,True,81,3,True,27,"[0.024613628104778944,0.029703395938423572,0.07052667067435311,0.0018160717332869499,0.09739522546047705,0.02969267297545443,0.1809217302826455,0.04010705146515219,0.013303568551856722,0.08435353417788584,0.01919159007722583,0.030284823994488928,0.0026065542266362762,2.2519507478218266e-08,0.022070029405118357,0.08177332696959211,0.016655365899576495,0.18881369933675626,6.222807035992593e-08,4.408585482024295e-08,5.703106156235353e-08,1.4954590349404277e-07,1.3190195494666097e-07,3.522160367175832e-08,2.468345719336762e-07,2.679204076440225e-07,4.589386011898997e-08]","[1,1,0,1,0,1,0,1,1,0,1,1,1,2,1,0,1,0,2,2,2,2,2,2,2,2,2]","[1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0]","[5,7,20,21,30,33,34,36,37,42,43,44,51,53,54,58,59,61,73,81,82,87,89,93,95,96,97]",0.6222222222222222
cap-3,rabod,3,Climate,27,20260808,22,31,0.0022016771333847134,5,False,5,True,93,3,True,31,"[0.06871877544387486,0.006171922078040947,0.08295449207984654,0.007081331756212283,9.802802536803979e-05,0.0007423297460533879,0.0002925359071451674,0.0004564578813652595,0.33357816676912644,0.023308009734116543,0.0006902974914156544,0.13277774131245082,0.0011759357264106872,0.0005223688537198491,0.0012777321414136303,4.563220338758665e-05,1.995986780095931e-08,0.05773459595056535,0.06975592010269752,4.103101396630389e-08,2.0564953414769906e-07,0.061686564641227154,1.4649079200335623e-07,0.07048603224135665,8.808755972111622e-07,5.1278851818413664e-08,3.1235737735002333e-07,0.5598144197532398,1.3607336608483739e-08,0.003246580780420713,0.0015280592346116585]","[0,1,0,1,2,2,2,2,0,1,2,0,2,2,2,2,2,1,0,2,2,0,2,0,2,2,2,0,2,1,2]","[1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0]","[4,7,8,11,18,20,29,31,33,34,38,44,47,48,52,54,56,59,61,62,66,67,77,82,83,84,86,87,92,93,97]",0.4961038961038961
cap-3,rabod,3,Climate,27,20260808,23,29,4.863101772755891e-05,5,False,4,True,87,3,True,29,"[0.30280665196671186,0.03512331296976352,0.04745998911524217,0.17958941201059983,0.003459708649552941,0.04690974803141938,0.009575562775707813,0.0012652919216844228,0.0018448625712602362,0.0015724660344756934,0.08205539607556167,0.000643569648215429,0.29057578877192325,0.04157978082283147,0.012823332510753311,0.16404308467684908,0.08400657085806719,0.0023687781491435705,0.0008236476412452528,3.178363390227098e-07,4.242234442665696e-09,1.9091752557803308e-07,8.930837262834618e-09,4.403675138013133e-09,2.9569037900282544e-08,1.662767859378964e-08,1.077609396033325e-07,1.483541482062236e-10,1.4174183995347886e-07]","[0,1,1,0,1,1,1,2,1,2,0,2,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2]","[1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]","[2,7,8,9,14,20,23,26,28,30,34,35,37,38,42,44,47,49,50,51,68,75,83,84,89,94,96,98,99]",0.6566666666666667
cap-3,rabod,3,Climate,27,20260808,24,24,5.4581159501642774e-05,5,False,5,True,72,3,True,24,"[0.18024530948052697,0.013337714923973929,0.012601419163835179,0.18657092053812652,0.0030776083048508693,0.0005402257123160713,0.016325155502084396,0.1053895527463422,0.23622442476183025,0.03988237244529264,0.04871998770974629,0.028964950942452286,2.7420986259595587e-06,9.685303312972757e-07,5.758963667733682e-06,1.283450586817289e-07,0.0003703129774713967,1.136628306460177e-05,7.626439314019133e-08,6.687979232851408e-08,9.791379017266146e-09,1.7895186593732921e-07,2.0575857925861283e-08,2.918612301967336e-07]","[0,1,1,0,1,2,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[2,8,14,21,25,31,32,35,36,43,49,50,61,62,63,67,73,76,77,83,90,91,94,96]",0.73
cap-3,rabod,3,Climate,27,20260808,25,25,7.688358240805373e-06,5,False,5,True,75,3,True,25,"[0.004374095225422973,0.006512598620764102,0.02113567943482891,0.02391887391351226,0.02737659444550055,0.041885523290683006,0.11950361435505766,0.046187978951020586,0.07789094660672682,0.014123547479232395,0.013990178375004011,0.003056545249011324,1.5603170592238321e-06,0.0025400683475647516,1.9374950653614867e-07,1.2411832298335719e-07,2.2017774512216493e-06,5.537660887011335e-06,2.102715494127611e-07,9.594855226188356e-09,5.3792530387995205e-09,2.824975057251166e-07,4.069849420067844e-09,2.3029650861319193e-08,7.56506510839365e-08]","[1,1,1,1,1,1,0,1,0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[1,2,4,21,22,24,31,34,39,48,52,53,54,60,65,67,73,75,83,89,94,96,97,99,100]",0.611111111111111
cap-3,rabod,3,Climate,27,20260808,26,18,0.00011213683010508745,5,False,5,True,54,3,True,18,"[0.012808434909053564,0.002694812162410635,0.24137897570978462,0.038060660695505656,0.008581661494958497,0.004695247496696046,0.042954278045902315,0.453856146189791,0.012314980376021661,0.00013233714176873562,3.1371993386952067e-06,6.179732924092305e-06,9.047405527656082e-09,9.247347076269374e-09,2.3665864722399706e-07,1.5538086511614087e-06,1.4239728823098193e-07,2.4948750625055843e-07]","[1,1,0,1,1,1,1,0,1,2,2,2,2,2,2,2,2,2]","[1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0]","[2,3,9,12,15,23,33,50,51,60,61,76,80,81,87,89,90,98]",0.6736842105263158
cap-3,rabod,3,Climate,27,20260808,27,32,4.296251221836341e-05,5,False,4,True,96,3,True,32,"[0.0597979143459028,0.12314538967428647,0.1219620339517338,0.013232300065799578,0.0036204977559914694,0.008091201124524432,0.0032547795631462065,0.02138611159677479,0.13502019873490637,0.01574999078054744,0.0005327628164545331,0.008710137645535004,0.1509338396504991,0.009162172990747995,0.21178898432425042,0.002890300782054279,2.0056876361865753e-06,0.002475997082210887,6.56135744127914e-07,0.005828500274827599,5.666817798035258e-07,1.8362003416513573e-08,5.357644412600207e-08,2.2749848396287595e-07,7.56929943258025e-09,1.0417706022793891e-07,1.8177547475204868e-07,8.422251962119381e-08,3.0675096126356046e-09,7.683724072796836e-08,2.7878784783404353e-08,1.8753066841384595e-08]","[0,0,0,1,1,1,1,1,0,1,2,1,0,1,0,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1,12,13,15,23,26,27,28,29,35,37,43,46,48,49,54,55,56,59,67,68,71,75,77,85,87,89,90,91,92,97,99]",0.7232142857142857
cap-3,rabod,3,Climate,27,20260808,28,28,5.409847314450695e-05,5,False,4,True,84,3,True,28,"[0.005458474506643575,0.058510860299835626,0.14741246757731966,0.048367905377156545,0.06826627954481979,0.002296792636233452,0.011549623887269187,0.03372306963336463,0.10976771909644774,0.03528319476410983,0.059681676598813814,0.014728243999025075,0.0017520126482741146,0.0003524107514304086,0.0387077053302022,0.013118791760435856,0.12119361938063089,0.019352487472492023,1.361808924341712e-07,9.679286328797231e-09,1.913225432676789e-07,2.3282501253917967e-09,6.4057225512992704e-09,3.5230217272667335e-08,2.3322962168217384e-09,1.6501427066845925e-08,4.873015223217347e-08,1.2144699223925146e-06]","[1,0,0,1,0,1,1,1,0,1,0,1,1,2,1,1,0,1,2,2,2,2,2,2,2,2,2,2]","[1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0]","[4,8,11,12,14,15,21,22,23,32,35,38,39,41,44,48,52,57,65,66,75,78,83,85,88,90,93,96]",0.6620553359683794
cap-3,rabod,3,Climate,27,20260808,29,29,4.050364585935595e-05,5,False,2,True,87,3,True,29,"[0.058361445715220846,0.09542383900055368,0.0010213705444854797,0.022476344382409558,0.06019758068285504,0.002302368688439943,0.039080099331815166,0.11472858436253792,0.3381045991257552,0.11489639010589327,0.03834803613914263,0.2145120279847926,0.006859255281890484,0.05581519788367525,0.09435256644395637,0.01364925639023433,0.07562260060398802,0.019808151200436868,0.02022423558190348,9.905454571061056e-07,0.001217642423386736,1.0201969087465234e-05,1.3964172712710964e-06,1.765060068184802e-06,2.7899860837468193e-09,1.0260551539923282e-06,1.6314057165200403e-06,3.926729684720381e-07,3.0823150631776966e-07]","[0,0,2,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2]","[1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0]","[3,4,7,8,10,11,13,16,17,20,21,29,32,33,39,41,47,53,59,65,67,71,75,81,82,87,88,89,91]",0.7809364548494984
cap-3,rabod,3,Climate,27,20260808,30,26,5.6729170235325773e-05,5,False,4,True,78,3,True,26,"[0.056648911937003395,0.22405886562595853,0.003347907531420041,0.2207786594198751,0.026826101219997987,0.034488795936679924,0.0634071332057423,0.10530499521143845,0.00980513650615927,0.0011425494354743444,0.23003898099701037,0.08619198746309528,0.04308646970778924,0.03878542588482675,0.08780544350655291,0.011529030229272328,0.011210368560068594,8.300451772968011e-08,0.00024320412954527307,1.3689567032891547e-07,9.537706143936048e-07,9.428557666775146e-08,1.6247325284954502e-07,8.71152569994974e-08,2.671947071560968e-07,5.953026908174455e-08]","[1,0,1,0,1,1,0,0,1,2,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2]","[0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0]","[7,11,12,13,23,25,28,30,31,36,38,39,44,48,49,50,55,60,62,63,66,77,88,92,95,100]",0.7543478260869565
cap-3,rabod,3,Climate,27,20260808,31,26,1.943677490493684e-05,5,False,4,True,78,3,True,26,"[0.30785386110208984,0.0007316851614580749,0.007068937804730599,0.07183854168202906,0.0009204424132115487,0.0020059165149835445,0.00992980762509854,0.03698196958983961,0.14632678354515025,0.14633152586837328,0.00038800297508221736,0.0600092875253298,0.06516063070740502,0.0658901346124088,4.070068496874308e-07,3.4272580446238377e-07,5.715800081307555e-09,1.8844248405218673e-07,2.5287382601630412e-08,4.4766455712389364e-07,9.731435461012317e-07,9.583993125883746e-09,6.108735862332057e-08,8.358456012516902e-08,6.956160940262726e-11,1.6676144384456114e-10]","[0,2,1,0,2,1,1,1,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2]","[1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]","[1,13,14,15,18,26,31,33,35,38,41,43,49,59,62,63,64,65,66,71,77,79,80,93,94,98]",0.7285714285714285
cap-3,rabod,3,Climate,27,20260808,32,31,5.8903409981081936e-05,5,False,4,True,93,3,True,31,"[0.057608378472098,0.021671770105510507,0.04197078419583386,0.05537592279712464,0.004472126907890519,0.01912048709925874,0.07546525044452275,0.16939038207309287,0.00481736143129675,0.013902886034714255,0.009409977955621282,0.0004845700501498123,0.011019730917735521,0.0005069345893873786,0.007936001152698173,8.730899655949743e-07,0.028856000682791812,0.014477647461994056,0.002025701489886645,0.11428378350552515,1.848672528470588e-08,5.927625208185886e-09,2.6009385151943922e-05,8.525195396275457e-10,2.9487666788110684e-08,1.285921123299446e-09,2.433142073711248e-08,1.2322326657298448e-08,1.6065341653648862e-09,5.95959815370401e-06,1.5333027971095945e-07]","[1,1,1,1,1,1,0,0,1,1,1,2,1,2,1,2,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2]","[1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0]","[3,7,13,17,18,20,27,34,36,41,42,44,46,48,50,52,53,56,59,60,65,66,67,69,72,73,75,80,83,85,90]",0.5111111111111111
cap-3,rabod,3,Climate,27,20260808,33,25,4.7608195332101746e-05,5,False,3,True,75,3,True,25,"[0.03562916988872462,0.06213161181873009,0.2430860356646902,0.2017547257442277,0.02135564640750211,0.11950899210353186,0.009620444800733175,0.04074327143610616,0.0027569383514198438,0.05390852403834597,0.08057354727235456,0.00018283970286211022,7.455259174454361e-05,0.21921414426724029,0.0038721468318931927,0.09704063303960751,8.104062787545171e-05,6.11781131983295e-09,0.014378645357341421,1.4506907850784427e-08,1.076664873582969e-09,1.0488795281740967e-08,1.7669032507668656e-08,1.0107239634765263e-07,1.4700287237066157e-08]","[1,0,0,0,1,0,1,1,1,1,0,2,2,0,1,0,2,2,1,2,2,2,2,2,2]","[1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0]","[1,6,9,13,29,34,35,36,37,44,46,48,50,52,59,60,68,73,75,83,85,88,89,95,100]",0.6136363636363636
cap-3,rabod,3,Climate,27,20260808,34,29,0.00013578715560734928,5,False,4,True,87,3,True,29,"[0.17424239863596563,0.06685352922819135,0.001917707239086653,0.020164839845721903,0.0006744959634172894,0.1225674567946949,0.009764775701824076,0.00025185807032139317,0.01657051382172513,0.0038543669707613594,0.06220149501361554,0.0027154515483917498,0.0002156193108305755,0.1280789344690935,0.0612997472345092,0.06027894863182037,0.01233597199092142,3.331836855942358e-08,4.3322365495239853e-07,5.552412873141571e-07,0.0008528085096041583,1.307543762155832e-06,0.06467012575482911,3.65004520218369e-07,1.7981751331202358e-08,2.9532814944200476e-07,0.005041713251096205,5.454667393965716e-08,1.2492756535338918e-08]","[0,0,1,1,2,0,1,2,1,1,0,1,2,0,0,0,1,2,2,2,2,2,0,2,2,2,1,2,2]","[1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0]","[2,3,6,9,12,17,21,31,33,34,36,46,47,48,51,52,53,56,57,62,65,72,73,76,77,82,90,94,96]",0.5844155844155844
cap-3,rabod,3,Climate,27,20260808,35,16,0.00018107571002825583,5,False,4,True,48,3,True,16,"[0.007162132375581415,0.19758797545335902,0.22888002271992264,0.01607283760443026,0.00479529168882329,0.0007629100496849071,0.07361624353496066,0.03385495650096276,0.004056151453832746,0.018738116669655504,0.05188855000958631,6.629089358160677e-09,0.0003152859311790148,2.164716903987286e-08,2.3364107183283733e-08,8.533716083291607e-07]","[1,0,0,1,1,2,0,1,1,1,1,2,2,2,2,2]","[1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0]","[3,14,19,26,33,35,39,43,47,51,58,68,69,88,96,98]",0.6346153846153846
cap-3,rabod,3,Climate,27,20260808,36,22,3.316224720316059e-05,5,False,3,True,66,3,True,22,"[0.31594010079661355,0.014490036939351518,0.23071725423447917,0.06962892431318735,0.07638203766934738,0.0021451255740588724,0.0014650189326112298,0.034175255352745564,0.08388510456935232,0.024781902964175994,0.003537195323881315,0.012108509454602054,0.10141227437341356,3.735759977620266e-06,3.5385213509597395e-08,1.3687502281616431e-06,1.6026887985062847e-06,2.7468723984964617e-07,6.316197926306197e-09,1.4564923504467423e-06,7.3354496105799595e-06,6.926295053109021e-08]","[0,1,0,0,0,1,2,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2]","[1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0]","[1,6,14,20,26,27,36,39,40,44,45,47,50,53,65,68,75,77,82,85,87,100]",0.7894736842105263
cap-3,rabod,3,Climate,27,20260808,37,28,8.29860454561262e-06,5,False,3,True,84,3,True,28,"[0.0663174102985982,0.05612979851042348,0.008440716254333815,0.014235366443493784,0.046735960692167705,0.04326249631087925,0.1345765806818016,0.04567368926908603,0.003927269827273826,0.18321103559884855,0.01398581391298962,0.0200371316946557,0.013906495770111245,0.01979265974039382,0.004780568286849247,0.05219461040815577,0.022248159784699774,0.00573516303034419,0.014670895686537563,0.0020038998640360766,2.998409798614137e-09,3.979260903732136e-08,3.705856003053595e-08,3.2149258402403306e-08,8.810269047755042e-07,2.8285823520537698e-08,4.845655457387629e-08,5.001914467938737e-08]","[0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2]","[1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[6,8,9,10,16,21,23,24,26,28,37,42,43,46,51,52,53,54,55,57,69,74,77,81,84,90,91,92]",0.5401069518716578
