budget,target_workers,scene_macro_nrmse,nrmse_ci_low,nrmse_ci_high,scene_macro_pairs_per_task,pairs_ci_low,pairs_ci_high,screening_macro_f1,angular_available_rate,no_truth_rate,effective_budget_mean,tasks
cap-3,27,0.002079814864300124,0.0019928334858715013,0.0021944873693808447,82.89999999999999,82.30113541666667,83.52719791666667,0.6458144814384666,1.0,0.000694444444444442,3.0,7200
cap-3,39,0.0015731786594270559,0.0015468201529597264,0.0015988630931719938,118.8,118.129125,119.45468749999999,0.6504318831282223,1.0,0.0004166666666666578,3.0,7200
cap-4,27,0.0017008869687221463,0.0016681952953542967,0.0017389124731691983,165.62083333333334,164.4235416666667,166.8116875,0.7226159262575761,1.0,0.0,4.0,7200
cap-4,39,0.0013266470623553408,0.0013088354330354772,0.0013449353213093886,237.6,236.2758125,238.94424999999998,0.7323851740370634,1.0,0.0,4.0,7200
cap-5,27,0.0017308752424792949,0.0016791519525944127,0.0017904975311104096,270.81527777777774,268.54012847222225,273.12465972222225,0.7492206302302051,1.0,0.0,4.9,7200
cap-5,39,0.0013042604145243443,0.0012856097850640169,0.0013231293626607555,394.825,392.4655486111111,397.0282569444444,0.7678014038852208,1.0,0.0,4.979166666666667,7200
cap-6,27,0.001759788538615823,0.0017160542201809092,0.0018080846150166404,366.70472222222224,362.3319791666667,370.9046909722222,0.7584877177872306,1.0,0.0,5.475,7200
cap-6,39,0.0013119638919783549,0.0012880933684481244,0.0013408401382691796,585.0625,581.2301874999999,588.7644479166667,0.7871147636959405,1.0,0.0,5.9,7200
cap-7,27,0.0017565841454379348,0.0017123606347981396,0.0018043223063572414,411.4556944444444,405.63019444444444,417.3084166666667,0.761068698652022,1.0,0.0,5.658333333333333,7200
cap-7,39,0.0013543665256951713,0.0013156331088014302,0.001401887592955443,753.8875000000002,747.3640381944444,760.4418749999999,0.7946596403449414,1.0,0.0,6.516666666666667,7200
cap-20,27,0.0017555055298993608,0.001711229066195083,0.0018023590754967702,420.64875,414.0837777777778,427.3903055555556,0.7609729743001415,1.0,0.0,5.683333333333334,7200
cap-20,39,0.0013481279607726784,0.0013139923145040627,0.0013879811115469444,813.7638888888888,804.1303368055555,823.3852881944446,0.7959791620985744,1.0,0.0,6.666666666666667,7200
Exact,27,0.0018976122161265786,0.001848958502698055,0.0019500211212828055,2609.1054166666668,2520.243128472222,2705.7700208333335,0.7934538349366829,1.0,0.0011111111111110998,27.645833333333332,7200
Exact,39,0.0014393691011553016,0.0014023472278991333,0.0014777416839090302,8182.875277777777,8011.526583333333,8350.195090277777,0.8389915686471078,1.0,0.0,39.6,7200
