budget,scene,target_workers,nrmse,no_truth_rate,tasks
cap-3,Climate,27,0.0033754680567396364,0.0,2400
cap-3,Climate,39,0.0025309124070005116,0.0,2400
cap-3,Traffic,27,0.0006121702184260647,0.0,2400
cap-3,Traffic,39,0.0003495909017470469,0.0,2400
cap-3,Water,27,0.002251806317734671,0.0020833333333333333,2400
cap-3,Water,39,0.001839032669533609,0.00125,2400
cap-4,Climate,27,0.002936162019526611,0.0,2400
cap-4,Climate,39,0.0023599433287132925,0.0,2400
cap-4,Traffic,27,0.0005042853793363812,0.0,2400
cap-4,Traffic,39,0.0002983656187785088,0.0,2400
cap-4,Water,27,0.0016622135073034465,0.0,2400
cap-4,Water,39,0.0013216322395742208,0.0,2400
cap-5,Climate,27,0.0030734438255977225,0.0,2400
cap-5,Climate,39,0.00233996291323593,0.0,2400
cap-5,Traffic,27,0.0005134622779075137,0.0,2400
cap-5,Traffic,39,0.0002950867313392299,0.0,2400
cap-5,Water,27,0.0016057196239326478,0.0,2400
cap-5,Water,39,0.001277731598997873,0.0,2400
cap-6,Climate,27,0.003144020650290162,0.0,2400
cap-6,Climate,39,0.002371386998725737,0.0,2400
cap-6,Traffic,27,0.0005313395734558514,0.0,2400
cap-6,Traffic,39,0.00029416487966552247,0.0,2400
cap-6,Water,27,0.0016040053921014552,0.0,2400
cap-6,Water,39,0.0012703397975438048,0.0,2400
cap-7,Climate,27,0.003143471418538031,0.0,2400
cap-7,Climate,39,0.0025001274272948844,0.0,2400
cap-7,Traffic,27,0.0005267885295602749,0.0,2400
cap-7,Traffic,39,0.00029421300118179916,0.0,2400
cap-7,Water,27,0.0015994924882154985,0.0,2400
cap-7,Water,39,0.00126875914860883,0.0,2400
cap-20,Climate,27,0.003143471418538031,0.0,2400
cap-20,Climate,39,0.0024846618158045983,0.0,2400
cap-20,Traffic,27,0.0005261594786839323,0.0,2400
cap-20,Traffic,39,0.00029456991233047723,0.0,2400
cap-20,Water,27,0.0015968856924761193,0.0,2400
cap-20,Water,39,0.0012651521541829588,0.0,2400
Exact,Climate,27,0.0031814159807337984,0.0,2400
Exact,Climate,39,0.002646438821176859,0.0,2400
Exact,Traffic,27,0.0006217825666885631,0.0,2400
Exact,Traffic,39,0.0003006173534155589,0.0,2400
Exact,Water,27,0.0018896381009573743,0.0033333333333333335,2400
Exact,Water,39,0.0013710511288734875,0.0,2400
