scenario,trial,nrmse,angular_available,retained_rate
single-regime,0,0.006857855294332273,1.0,1.0
unpartitioned-two-regime,0,0.16654555055503015,1.0,1.0
context-partitioned,0,0.008916778267314268,1.0,1.0
single-regime,1,0.009972073169870324,1.0,1.0
unpartitioned-two-regime,1,0.16315129199186337,1.0,1.0
context-partitioned,1,0.011056777796937143,1.0,1.0
single-regime,2,0.005346002290413839,1.0,1.0
unpartitioned-two-regime,2,0.1625032414113107,1.0,1.0
context-partitioned,2,0.010405087063877265,1.0,1.0
single-regime,3,0.0035813038611600067,1.0,1.0
unpartitioned-two-regime,3,0.16177938981202106,1.0,1.0
context-partitioned,3,0.009554516378602449,1.0,1.0
single-regime,4,0.00857149075011544,1.0,1.0
unpartitioned-two-regime,4,0.16280957388688275,1.0,1.0
context-partitioned,4,0.008020899511482788,1.0,1.0
single-regime,5,0.008295851482067596,1.0,1.0
unpartitioned-two-regime,5,0.14663490825184536,1.0,0.975
context-partitioned,5,0.008051913235779595,1.0,1.0
single-regime,6,0.006765998252723431,1.0,1.0
unpartitioned-two-regime,6,0.16568998195252094,1.0,1.0
context-partitioned,6,0.005709710761963438,1.0,1.0
single-regime,7,0.0062649729919606705,1.0,1.0
unpartitioned-two-regime,7,0.151622759703713,1.0,0.975
context-partitioned,7,0.008297791546187856,1.0,1.0
single-regime,8,0.007171841493707337,1.0,1.0
unpartitioned-two-regime,8,0.1661657682603332,1.0,1.0
context-partitioned,8,0.009445197532445895,1.0,1.0
single-regime,9,0.0033905964285467515,1.0,1.0
unpartitioned-two-regime,9,0.1659702137394283,1.0,1.0
context-partitioned,9,0.008373193057560608,1.0,1.0
single-regime,10,0.0066891842362796945,1.0,1.0
unpartitioned-two-regime,10,0.14520784252105118,1.0,0.975
context-partitioned,10,0.0072102233722647745,1.0,1.0
single-regime,11,0.0073527651421637676,1.0,1.0
unpartitioned-two-regime,11,0.166253444475054,1.0,1.0
context-partitioned,11,0.009030746337294086,1.0,1.0
single-regime,12,0.006155816767503608,1.0,1.0
unpartitioned-two-regime,12,0.1664892246726172,1.0,1.0
context-partitioned,12,0.00491729871887291,1.0,1.0
single-regime,13,0.00573665915247483,1.0,1.0
unpartitioned-two-regime,13,0.14947161482704308,1.0,0.975
context-partitioned,13,0.008333592395436955,1.0,1.0
single-regime,14,0.008515581860314854,1.0,1.0
unpartitioned-two-regime,14,0.16579821868598843,1.0,1.0
context-partitioned,14,0.009626127851130034,1.0,1.0
single-regime,15,0.0045100002940392835,1.0,1.0
unpartitioned-two-regime,15,0.16665166516668514,1.0,0.95
context-partitioned,15,0.008526820761680255,1.0,1.0
single-regime,16,0.007169690492217103,1.0,1.0
unpartitioned-two-regime,16,0.15435404817563966,1.0,0.975
context-partitioned,16,0.008900656490132343,1.0,1.0
single-regime,17,0.006585335034975309,1.0,1.0
unpartitioned-two-regime,17,0.14509539754148768,1.0,0.975
context-partitioned,17,0.008264686757776576,1.0,0.975
single-regime,18,0.005644093281571789,1.0,1.0
unpartitioned-two-regime,18,0.16296849420648515,1.0,1.0
context-partitioned,18,0.007951696672804699,1.0,1.0
single-regime,19,0.00638211905101697,1.0,1.0
unpartitioned-two-regime,19,0.15047090282631564,1.0,0.975
context-partitioned,19,0.0077077830435948805,1.0,1.0
single-regime,20,0.007527955766656872,1.0,1.0
unpartitioned-two-regime,20,0.16477102721067186,1.0,1.0
context-partitioned,20,0.009582981331123711,1.0,1.0
single-regime,21,0.0038230077273132142,1.0,1.0
unpartitioned-two-regime,21,0.16449650584889422,1.0,1.0
context-partitioned,21,0.009346395310048852,1.0,1.0
single-regime,22,0.005543308001494342,1.0,1.0
unpartitioned-two-regime,22,0.16597249484059517,1.0,1.0
context-partitioned,22,0.008705581526833048,1.0,1.0
single-regime,23,0.006192574461027144,1.0,1.0
unpartitioned-two-regime,23,0.16614180638118348,1.0,1.0
context-partitioned,23,0.009981554668522994,1.0,1.0
single-regime,24,0.008185063634555503,1.0,1.0
unpartitioned-two-regime,24,0.16643947092280145,1.0,1.0
context-partitioned,24,0.011021559840778305,1.0,1.0
single-regime,25,0.006771389988384686,1.0,1.0
unpartitioned-two-regime,25,0.16376525775875114,1.0,1.0
context-partitioned,25,0.011482781894261829,1.0,1.0
single-regime,26,0.006839001771142259,1.0,1.0
unpartitioned-two-regime,26,0.162830356376679,1.0,1.0
context-partitioned,26,0.011743660631719567,1.0,1.0
single-regime,27,0.008370299307145482,1.0,1.0
unpartitioned-two-regime,27,0.16622282266913366,1.0,1.0
context-partitioned,27,0.008798936211773318,1.0,1.0
single-regime,28,0.006031269566580093,1.0,1.0
unpartitioned-two-regime,28,0.16187105571109836,1.0,1.0
context-partitioned,28,0.009377630825025136,1.0,1.0
single-regime,29,0.004959633696294661,1.0,1.0
unpartitioned-two-regime,29,0.16471632644961767,1.0,1.0
context-partitioned,29,0.008770653640125244,1.0,1.0
