method,n,baseline_rss,peak_rss,incremental_peak_rss,runtime_s,estimated_peak_bytes
RABOD,20,78467072,78548992,81920,0.0015613,800
Full IRPP,20,78528512,78610432,81920,0.0017057,800
Exact ABOD,20,78217216,78311424,94208,0.0017024000000000002,4760
RABOD,50,78438400,78520320,81920,0.0029005000000000003,1760
Full IRPP,50,78180352,78282752,102400,0.0038031000000000002,1760
Exact ABOD,50,78426112,78508032,81920,0.0026878,26600
RABOD,100,78577664,78659584,81920,0.0062722,2600
Full IRPP,100,78393344,78475264,81920,0.0055481,2600
Exact ABOD,100,78594048,78675968,81920,0.009993700000000001,102200
RABOD,200,78520320,79048704,528384,0.0110568,5400
Full IRPP,200,78725120,78807040,81920,0.0104753,5400
Exact ABOD,200,78487552,81010688,2523136,0.1283994,400400
RABOD,400,78450688,79024128,573440,0.024437900000000002,9200
Full IRPP,400,78577664,79118336,540672,0.022656500000000003,9200
Exact ABOD,400,78471168,87707648,9236480,0.9502986000000001,1584800
RABOD,800,78544896,79167488,622592,0.042988200000000004,9200
Full IRPP,800,78344192,78983168,638976,0.044614900000000006,9200
RABOD,1600,78725120,79663104,937984,0.08999910000000001,9200
Full IRPP,1600,78499840,79458304,958464,0.0902542,9200
RABOD,3200,79155200,80392192,1236992,0.17686500000000002,9200
Full IRPP,3200,79331328,80535552,1204224,0.17943250000000002,9200
RABOD,6400,79589376,81154048,1564672,0.3652715,9200
Full IRPP,6400,79630336,81219584,1589248,0.36958290000000005,9200
RABOD,10000,80109568,82354176,2244608,0.5823765000000001,9200
Full IRPP,10000,80080896,82317312,2236416,0.5854555,9200
