method,n,censored,runtime_median_s,runtime_p95_s,repeat_count,pair_evaluations,effective_budget,estimated_peak_bytes,reports_per_second,tasks_per_second
RABOD,20,False,0.000933,0.00106527,523.0,200.0,5.0,800.0,21436.227224008573,1071.8113612004288
Full IRPP,20,False,0.0011201000000000002,0.00114215,446.0,200.0,5.0,800.0,17855.548611731094,892.7774305865546
Exact ABOD,20,False,0.0005956000000000001,0.00060212,839.0,1638.0,20.0,4760.0,33579.583613163195,1678.9791806581597
RABOD,50,False,0.0022872,0.0023093600000000003,219.0,1400.0,8.0,1760.0,21860.790486183978,437.21580972367957
Full IRPP,50,False,0.0024524000000000004,0.00248809,204.0,1400.0,8.0,1760.0,20388.19115968031,407.7638231936062
Exact ABOD,50,False,0.002181,0.002190355,230.0,28560.0,50.0,26600.0,22925.263640531863,458.5052728106373
RABOD,100,False,0.00457415,0.00461283,110.0,4500.0,10.0,2600.0,21861.9852868839,218.61985286883902
Full IRPP,100,False,0.0047445000000000005,0.004796875000000001,106.0,4500.0,10.0,2600.0,21077.036568658445,210.77036568658446
Exact ABOD,100,False,0.0084896,0.00851621,59.0,236670.0,100.0,102200.0,11779.117979645684,117.79117979645684
RABOD,200,False,0.009371850000000001,0.009479775,54.0,21000.0,15.0,5400.0,21340.50374259084,106.7025187129542
Full IRPP,200,False,0.0095703,0.009674480000000001,53.0,21000.0,15.0,5400.0,20897.986479002746,104.48993239501374
Exact ABOD,200,False,0.05014285,0.05026481,30.0,1926540.0,200.0,400400.0,3988.6045567812757,19.94302278390638
RABOD,400,False,0.020044100000000002,0.02022608,30.0,76000.0,20.0,9200.0,19955.99702655644,49.8899925663911
Full IRPP,400,False,0.020224350000000002,0.020331125000000002,30.0,76000.0,20.0,9200.0,19778.138728809576,49.44534682202394
Exact ABOD,400,False,0.9509911500000001,0.9647680750000001,30.0,15545880.0,400.0,1584800.0,420.61379856163745,1.0515344964040936
RABOD,800,False,0.04005525,0.04135690499999999,30.0,152000.0,20.0,9200.0,19972.413104399548,24.965516380499434
Full IRPP,800,False,0.04051555,0.04070586,30.0,152000.0,20.0,9200.0,19745.505120873346,24.68188140109168
Exact ABOD,800,True,,,,,,,,
RABOD,1600,False,0.0816737,0.08628333,30.0,304000.0,20.0,9200.0,19590.14958303591,12.243843489397443
Full IRPP,1600,False,0.08512945000000001,0.08665743000000001,30.0,304000.0,20.0,9200.0,18794.905875698714,11.746816172311696
RABOD,3200,False,0.16279875,0.17274714,30.0,608000.0,20.0,9200.0,19656.170578705303,6.142553305845407
Full IRPP,3200,False,0.1635871,0.172859825,30.0,608000.0,20.0,9200.0,19561.44463713826,6.112951449105705
RABOD,6400,False,0.33389430000000003,0.3556157,30.0,1216000.0,20.0,9200.0,19167.742605968415,2.9949597821825646
Full IRPP,6400,False,0.33588760000000006,0.35391948,30.0,1216000.0,20.0,9200.0,19053.99306196477,2.9771864159319956
RABOD,10000,False,0.5428657000000001,0.566155415,30.0,1900000.0,20.0,9200.0,18420.76226219486,1.8420762262194863
Full IRPP,10000,False,0.54945215,0.56584683,30.0,1900000.0,20.0,9200.0,18199.946983554437,1.8199946983554436
