sweep,value,n,method,runtime_median_s,runtime_p95_s,pair_evaluations,censored
dimension,2,1000,Full IRPP,0.0499588,0.05014533,190000,False
dimension,3,1000,Full IRPP,0.05064565,0.05090779,190000,False
dimension,5,1000,Full IRPP,0.0514683,0.05177629,190000,False
dimension,9,1000,Full IRPP,0.051908850000000006,0.05215607,190000,False
dimension,18,1000,Full IRPP,0.05323605000000001,0.055769405,190000,False
dimension,36,1000,Full IRPP,0.0571232,0.05935874000000001,190000,False
dimension,72,1000,Full IRPP,0.06676325,0.068825435,190000,False
delta_max,3,10000,RABOD,0.46546585000000007,0.486269435,30000,False
delta_max,5,10000,RABOD,0.46964745,0.47261851000000005,100000,False
delta_max,10,10000,RABOD,0.48476800000000003,0.49126711500000003,450000,False
delta_max,20,10000,RABOD,0.5395045,0.5640351,1900000,False
delta_max,40,10000,RABOD,0.69801495,0.708426695,7800000,False
delta_max,80,10000,RABOD,1.30044635,1.349564355,31600000,False
