variant,geometry,tau,success_rate,finite_rate,fallback_rate,max_normalization_error
Full,full-rank,0.0,1.0,1.0,1.0,0.0
Full,full-rank,1e-150,1.0,1.0,1.0,0.0
Full,full-rank,1e-50,1.0,1.0,1.0,0.0
Full,full-rank,1e-12,1.0,1.0,0.0,4.440892098500626e-16
Full,full-rank,1e-09,1.0,1.0,0.0,4.440892098500626e-16
Full,full-rank,1e-06,1.0,1.0,0.0,4.440892098500626e-16
Full,full-rank,0.001,1.0,1.0,0.0,4.440892098500626e-16
Full,rank-1,0.0,1.0,1.0,1.0,0.0
Full,rank-1,1e-150,1.0,1.0,1.0,0.0
Full,rank-1,1e-50,1.0,1.0,1.0,0.0
Full,rank-1,1e-12,1.0,1.0,1.0,4.440892098500626e-16
Full,rank-1,1e-09,1.0,1.0,1.0,4.440892098500626e-16
Full,rank-1,1e-06,1.0,1.0,1.0,4.440892098500626e-16
Full,rank-1,0.001,1.0,1.0,1.0,4.440892098500626e-16
No-angular-guards,full-rank,0.0,0.0,1.0,0.0,0.0
No-angular-guards,full-rank,1e-150,0.0,1.0,0.0,0.0
No-angular-guards,full-rank,1e-50,0.0,1.0,0.0,0.0
No-angular-guards,full-rank,1e-12,1.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,full-rank,1e-09,1.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,full-rank,1e-06,1.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,full-rank,0.001,1.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,rank-1,0.0,0.0,1.0,0.0,0.0
No-angular-guards,rank-1,1e-150,0.0,1.0,0.0,0.0
No-angular-guards,rank-1,1e-50,0.0,1.0,0.0,0.0
No-angular-guards,rank-1,1e-12,0.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,rank-1,1e-09,0.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,rank-1,1e-06,0.0,1.0,0.0,4.440892098500626e-16
No-angular-guards,rank-1,0.001,0.0,1.0,0.0,4.440892098500626e-16
No-weight-floor,full-rank,0.0,0.0,0.0,1.0,
No-weight-floor,full-rank,1e-150,1.0,1.0,1.0,5.551115123125783e-16
No-weight-floor,full-rank,1e-50,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,full-rank,1e-12,1.0,1.0,0.0,5.551115123125783e-16
No-weight-floor,full-rank,1e-09,1.0,1.0,0.0,4.440892098500626e-16
No-weight-floor,full-rank,1e-06,1.0,1.0,0.0,4.440892098500626e-16
No-weight-floor,full-rank,0.001,1.0,1.0,0.0,4.440892098500626e-16
No-weight-floor,rank-1,0.0,0.0,0.0,1.0,
No-weight-floor,rank-1,1e-150,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,rank-1,1e-50,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,rank-1,1e-12,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,rank-1,1e-09,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,rank-1,1e-06,1.0,1.0,1.0,4.440892098500626e-16
No-weight-floor,rank-1,0.001,1.0,1.0,1.0,4.440892098500626e-16
Unprotected,full-rank,0.0,0.0,0.0,0.0,
Unprotected,full-rank,1e-150,0.0,1.0,0.0,5.551115123125783e-16
Unprotected,full-rank,1e-50,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,full-rank,1e-12,1.0,1.0,0.0,5.551115123125783e-16
Unprotected,full-rank,1e-09,1.0,1.0,0.0,4.440892098500626e-16
Unprotected,full-rank,1e-06,1.0,1.0,0.0,4.440892098500626e-16
Unprotected,full-rank,0.001,1.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,0.0,0.0,0.0,0.0,
Unprotected,rank-1,1e-150,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,1e-50,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,1e-12,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,1e-09,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,1e-06,0.0,1.0,0.0,4.440892098500626e-16
Unprotected,rank-1,0.001,0.0,1.0,0.0,5.551115123125783e-16
