method,geometry,tau,success_rate,success_ci_low,success_ci_high,finite_rate,fallback_rate,max_raw_weight,max_normalization_error,iterations_p95,cap_hit_rate,trials
Full,full-rank,0.001,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,full-rank,0.001,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,full-rank,1e-06,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,full-rank,1e-06,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,full-rank,1e-09,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,full-rank,1e-09,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,full-rank,1e-12,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,full-rank,1e-12,1.0,0.996173241514445,1.0,1.0,0.0,0.6931471805599453,5.551115123125784e-16,1.0,0.0,1000
Full,full-rank,9.999999999999999e-51,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,full-rank,9.999999999999999e-51,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,full-rank,1e-150,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,full-rank,1e-150,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,5.551115123125784e-16,1.0,0.0,1000
Full,full-rank,0.0,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,full-rank,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,0.0,,,1.0,1.0,1000
Full,rank-1,0.001,1.0,0.996173241514445,1.0,1.0,1.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,rank-1,0.001,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,5.551115123125784e-16,3.0,0.0,1000
Full,rank-1,1e-06,1.0,0.996173241514445,1.0,1.0,1.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,rank-1,1e-06,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,rank-1,1e-09,1.0,0.996173241514445,1.0,1.0,1.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,rank-1,1e-09,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,rank-1,1e-12,1.0,0.996173241514445,1.0,1.0,1.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Unprotected,rank-1,1e-12,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,rank-1,9.999999999999999e-51,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,rank-1,9.999999999999999e-51,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,rank-1,1e-150,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,rank-1,1e-150,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.0,0.6931471805599453,4.440892098500626e-16,1.0,0.0,1000
Full,rank-1,0.0,1.0,0.996173241514445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1000
Unprotected,rank-1,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,0.0,,,1.0,1.0,1000
