scene,target_workers,seed,task_id,epsilon,max_iterations,fixed_point_gap,iterations,converged,cap_hit,reference_iterations,reference_converged
Climate,27,20260808,21,0.001,2,2.370661956717795e-05,1,True,False,16,True
Climate,27,20260808,21,0.001,5,2.370661956717795e-05,1,True,False,16,True
Climate,27,20260808,21,0.001,50,2.370661956717795e-05,1,True,False,16,True
Climate,27,20260808,21,1e-05,2,4.103415976505913e-06,2,False,True,16,True
Climate,27,20260808,21,1e-05,5,7.284584946935688e-07,3,True,False,16,True
Climate,27,20260808,21,1e-05,50,7.284584946935688e-07,3,True,False,16,True
Climate,27,20260808,21,1e-12,2,4.103415976505913e-06,2,False,True,16,True
Climate,27,20260808,21,1e-12,5,3.447991494037999e-08,5,False,True,16,True
Climate,27,20260808,21,1e-12,50,0.0,16,True,False,16,True
Climate,27,20260808,22,0.001,2,3.2962555129581633e-06,2,True,False,8,True
Climate,27,20260808,22,0.001,5,3.2962555129581633e-06,2,True,False,8,True
Climate,27,20260808,22,0.001,50,3.2962555129581633e-06,2,True,False,8,True
Climate,27,20260808,22,1e-05,2,3.2962555129581633e-06,2,False,True,8,True
Climate,27,20260808,22,1e-05,5,8.576127581076296e-08,3,True,False,8,True
Climate,27,20260808,22,1e-05,50,8.576127581076296e-08,3,True,False,8,True
Climate,27,20260808,22,1e-12,2,3.2962555129581633e-06,2,False,True,8,True
Climate,27,20260808,22,1e-12,5,1.025853061214614e-10,5,False,True,8,True
Climate,27,20260808,22,1e-12,50,0.0,8,True,False,8,True
Climate,27,20260808,23,0.001,2,1.2555374409342992e-05,1,True,False,18,True
Climate,27,20260808,23,0.001,5,1.2555374409342992e-05,1,True,False,18,True
Climate,27,20260808,23,0.001,50,1.2555374409342992e-05,1,True,False,18,True
Climate,27,20260808,23,1e-05,2,2.7633986459096216e-06,2,False,True,18,True
Climate,27,20260808,23,1e-05,5,8.530379003431064e-07,3,True,False,18,True
Climate,27,20260808,23,1e-05,50,8.530379003431064e-07,3,True,False,18,True
Climate,27,20260808,23,1e-12,2,2.7633986459096216e-06,2,False,True,18,True
Climate,27,20260808,23,1e-12,5,1.1208183307486716e-07,5,False,True,18,True
Climate,27,20260808,23,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,24,0.001,2,4.244295835882663e-05,1,True,False,26,True
Climate,27,20260808,24,0.001,5,4.244295835882663e-05,1,True,False,26,True
Climate,27,20260808,24,0.001,50,4.244295835882663e-05,1,True,False,26,True
Climate,27,20260808,24,1e-05,2,1.634198662616169e-05,2,False,True,26,True
Climate,27,20260808,24,1e-05,5,7.688473833908372e-06,3,True,False,26,True
Climate,27,20260808,24,1e-05,50,7.688473833908372e-06,3,True,False,26,True
Climate,27,20260808,24,1e-12,2,1.634198662616169e-05,2,False,True,26,True
Climate,27,20260808,24,1e-12,5,1.8642611533149227e-06,5,False,True,26,True
Climate,27,20260808,24,1e-12,50,0.0,26,True,False,26,True
Climate,27,20260808,25,0.001,2,2.846001539875377e-06,2,True,False,11,True
Climate,27,20260808,25,0.001,5,2.846001539875377e-06,2,True,False,11,True
Climate,27,20260808,25,0.001,50,2.846001539875377e-06,2,True,False,11,True
Climate,27,20260808,25,1e-05,2,2.846001539875377e-06,2,False,True,11,True
Climate,27,20260808,25,1e-05,5,3.844999695838775e-07,3,True,False,11,True
Climate,27,20260808,25,1e-05,50,3.844999695838775e-07,3,True,False,11,True
Climate,27,20260808,25,1e-12,2,2.846001539875377e-06,2,False,True,11,True
Climate,27,20260808,25,1e-12,5,7.230439213399217e-09,5,False,True,11,True
Climate,27,20260808,25,1e-12,50,0.0,11,True,False,11,True
Climate,27,20260808,26,0.001,2,0.00019208916890071465,1,True,False,19,True
Climate,27,20260808,26,0.001,5,0.00019208916890071465,1,True,False,19,True
Climate,27,20260808,26,0.001,50,0.00019208916890071465,1,True,False,19,True
Climate,27,20260808,26,1e-05,2,6.235125850099613e-05,2,False,True,19,True
Climate,27,20260808,26,1e-05,5,1.900294934904067e-06,5,True,False,19,True
Climate,27,20260808,26,1e-05,50,1.900294934904067e-06,5,True,False,19,True
Climate,27,20260808,26,1e-12,2,6.235125850099613e-05,2,False,True,19,True
Climate,27,20260808,26,1e-12,5,1.900294934904067e-06,5,False,True,19,True
Climate,27,20260808,26,1e-12,50,0.0,19,True,False,19,True
Climate,27,20260808,27,0.001,2,4.5000543784868056e-05,1,True,False,19,True
Climate,27,20260808,27,0.001,5,4.5000543784868056e-05,1,True,False,19,True
Climate,27,20260808,27,0.001,50,4.5000543784868056e-05,1,True,False,19,True
Climate,27,20260808,27,1e-05,2,1.575603273891025e-05,2,False,True,19,True
Climate,27,20260808,27,1e-05,5,2.003718437212295e-06,4,True,False,19,True
Climate,27,20260808,27,1e-05,50,2.003718437212295e-06,4,True,False,19,True
Climate,27,20260808,27,1e-12,2,1.575603273891025e-05,2,False,True,19,True
Climate,27,20260808,27,1e-12,5,7.181860766216817e-07,5,False,True,19,True
Climate,27,20260808,27,1e-12,50,0.0,19,True,False,19,True
Climate,27,20260808,28,0.001,2,5.520900332286513e-05,1,True,False,18,True
Climate,27,20260808,28,0.001,5,5.520900332286513e-05,1,True,False,18,True
Climate,27,20260808,28,0.001,50,5.520900332286513e-05,1,True,False,18,True
Climate,27,20260808,28,1e-05,2,1.7987940080681684e-05,2,False,True,18,True
Climate,27,20260808,28,1e-05,5,1.9240106993153966e-06,4,True,False,18,True
Climate,27,20260808,28,1e-05,50,1.9240106993153966e-06,4,True,False,18,True
Climate,27,20260808,28,1e-12,2,1.7987940080681684e-05,2,False,True,18,True
Climate,27,20260808,28,1e-12,5,6.306807293135176e-07,5,False,True,18,True
Climate,27,20260808,28,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,29,0.001,2,2.2267780163126513e-05,1,True,False,16,True
Climate,27,20260808,29,0.001,5,2.2267780163126513e-05,1,True,False,16,True
Climate,27,20260808,29,0.001,50,2.2267780163126513e-05,1,True,False,16,True
Climate,27,20260808,29,1e-05,2,5.8155685208646606e-06,2,False,True,16,True
Climate,27,20260808,29,1e-05,5,1.5422175422064047e-06,3,True,False,16,True
Climate,27,20260808,29,1e-05,50,1.5422175422064047e-06,3,True,False,16,True
Climate,27,20260808,29,1e-12,2,5.8155685208646606e-06,2,False,True,16,True
Climate,27,20260808,29,1e-12,5,1.1580908660654515e-07,5,False,True,16,True
Climate,27,20260808,29,1e-12,50,0.0,16,True,False,16,True
Climate,27,20260808,30,0.001,2,0.0001066617919722112,1,True,False,18,True
Climate,27,20260808,30,0.001,5,0.0001066617919722112,1,True,False,18,True
Climate,27,20260808,30,0.001,50,0.0001066617919722112,1,True,False,18,True
Climate,27,20260808,30,1e-05,2,3.179534592693475e-05,2,False,True,18,True
Climate,27,20260808,30,1e-05,5,2.9973402455928624e-06,4,True,False,18,True
Climate,27,20260808,30,1e-05,50,2.9973402455928624e-06,4,True,False,18,True
Climate,27,20260808,30,1e-12,2,3.179534592693475e-05,2,False,True,18,True
Climate,27,20260808,30,1e-12,5,9.30547203380643e-07,5,False,True,18,True
Climate,27,20260808,30,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,31,0.001,2,3.9460039591003935e-05,1,True,False,16,True
Climate,27,20260808,31,0.001,5,3.9460039591003935e-05,1,True,False,16,True
Climate,27,20260808,31,0.001,50,3.9460039591003935e-05,1,True,False,16,True
Climate,27,20260808,31,1e-05,2,1.14050179666863e-05,2,False,True,16,True
Climate,27,20260808,31,1e-05,5,3.2979306014047477e-06,3,True,False,16,True
Climate,27,20260808,31,1e-05,50,3.2979306014047477e-06,3,True,False,16,True
Climate,27,20260808,31,1e-12,2,1.14050179666863e-05,2,False,True,16,True
Climate,27,20260808,31,1e-12,5,2.7584709373147517e-07,5,False,True,16,True
Climate,27,20260808,31,1e-12,50,0.0,16,True,False,16,True
Climate,27,20260808,32,0.001,2,3.177536302871451e-05,1,True,False,18,True
Climate,27,20260808,32,0.001,5,3.177536302871451e-05,1,True,False,18,True
Climate,27,20260808,32,0.001,50,3.177536302871451e-05,1,True,False,18,True
Climate,27,20260808,32,1e-05,2,1.0664573391363673e-05,2,False,True,18,True
Climate,27,20260808,32,1e-05,5,3.643752469974879e-06,3,True,False,18,True
Climate,27,20260808,32,1e-05,50,3.643752469974879e-06,3,True,False,18,True
Climate,27,20260808,32,1e-12,2,1.0664573391363673e-05,2,False,True,18,True
Climate,27,20260808,32,1e-12,5,4.2817426413035637e-07,5,False,True,18,True
Climate,27,20260808,32,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,33,0.001,2,9.771361140792046e-05,1,True,False,18,True
Climate,27,20260808,33,0.001,5,9.771361140792046e-05,1,True,False,18,True
Climate,27,20260808,33,0.001,50,9.771361140792046e-05,1,True,False,18,True
Climate,27,20260808,33,1e-05,2,2.9067602027018604e-05,2,False,True,18,True
Climate,27,20260808,33,1e-05,5,2.777675508635443e-06,4,True,False,18,True
Climate,27,20260808,33,1e-05,50,2.777675508635443e-06,4,True,False,18,True
Climate,27,20260808,33,1e-12,2,2.9067602027018604e-05,2,False,True,18,True
Climate,27,20260808,33,1e-12,5,8.715286754109367e-07,5,False,True,18,True
Climate,27,20260808,33,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,34,0.001,2,3.5796174231832943e-06,2,True,False,8,True
Climate,27,20260808,34,0.001,5,3.5796174231832943e-06,2,True,False,8,True
Climate,27,20260808,34,0.001,50,3.5796174231832943e-06,2,True,False,8,True
Climate,27,20260808,34,1e-05,2,3.5796174231832943e-06,2,False,True,8,True
Climate,27,20260808,34,1e-05,5,1.1176058952697457e-07,3,True,False,8,True
Climate,27,20260808,34,1e-05,50,1.1176058952697457e-07,3,True,False,8,True
Climate,27,20260808,34,1e-12,2,3.5796174231832943e-06,2,False,True,8,True
Climate,27,20260808,34,1e-12,5,1.4050025183435e-10,5,False,True,8,True
Climate,27,20260808,34,1e-12,50,0.0,8,True,False,8,True
Climate,27,20260808,35,0.001,2,0.0001311901518769546,1,True,False,22,True
Climate,27,20260808,35,0.001,5,0.0001311901518769546,1,True,False,22,True
Climate,27,20260808,35,0.001,50,0.0001311901518769546,1,True,False,22,True
Climate,27,20260808,35,1e-05,2,4.5632304155169434e-05,2,False,True,22,True
Climate,27,20260808,35,1e-05,5,2.8440149795990044e-06,5,True,False,22,True
Climate,27,20260808,35,1e-05,50,2.8440149795990044e-06,5,True,False,22,True
Climate,27,20260808,35,1e-12,2,4.5632304155169434e-05,2,False,True,22,True
Climate,27,20260808,35,1e-12,5,2.8440149795990044e-06,5,False,True,22,True
Climate,27,20260808,35,1e-12,50,0.0,22,True,False,22,True
Climate,27,20260808,36,0.001,2,4.336968745084231e-06,2,True,False,11,True
Climate,27,20260808,36,0.001,5,4.336968745084231e-06,2,True,False,11,True
Climate,27,20260808,36,0.001,50,4.336968745084231e-06,2,True,False,11,True
Climate,27,20260808,36,1e-05,2,4.336968745084231e-06,2,False,True,11,True
Climate,27,20260808,36,1e-05,5,5.063855688247836e-07,3,True,False,11,True
Climate,27,20260808,36,1e-05,50,5.063855688247836e-07,3,True,False,11,True
Climate,27,20260808,36,1e-12,2,4.336968745084231e-06,2,False,True,11,True
Climate,27,20260808,36,1e-12,5,7.120380909824886e-09,5,False,True,11,True
Climate,27,20260808,36,1e-12,50,0.0,11,True,False,11,True
Climate,27,20260808,37,0.001,2,4.0584918900880676e-05,1,True,False,16,True
Climate,27,20260808,37,0.001,5,4.0584918900880676e-05,1,True,False,16,True
Climate,27,20260808,37,0.001,50,4.0584918900880676e-05,1,True,False,16,True
Climate,27,20260808,37,1e-05,2,1.1504423707603063e-05,2,False,True,16,True
Climate,27,20260808,37,1e-05,5,3.2794972085003383e-06,3,True,False,16,True
Climate,27,20260808,37,1e-05,50,3.2794972085003383e-06,3,True,False,16,True
Climate,27,20260808,37,1e-12,2,1.1504423707603063e-05,2,False,True,16,True
Climate,27,20260808,37,1e-12,5,2.697583284897423e-07,5,False,True,16,True
Climate,27,20260808,37,1e-12,50,0.0,16,True,False,16,True
Climate,27,20260808,38,0.001,2,0.00010963330426838346,1,True,False,25,True
Climate,27,20260808,38,0.001,5,0.00010963330426838346,1,True,False,25,True
Climate,27,20260808,38,0.001,50,0.00010963330426838346,1,True,False,25,True
Climate,27,20260808,38,1e-05,2,5.055175505685232e-05,2,False,True,25,True
Climate,27,20260808,38,1e-05,5,4.898133833640625e-06,5,True,False,25,True
Climate,27,20260808,38,1e-05,50,4.898133833640625e-06,5,True,False,25,True
Climate,27,20260808,38,1e-12,2,5.055175505685232e-05,2,False,True,25,True
Climate,27,20260808,38,1e-12,5,4.898133833640625e-06,5,False,True,25,True
Climate,27,20260808,38,1e-12,50,0.0,25,True,False,25,True
Climate,27,20260808,39,0.001,2,1.2590985321419448e-05,1,True,False,19,True
