protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,0,0,setup,register_auditor,0,495.666303,56,9820,2719,0,0x4432e5217a03fd43ba0696bb722ef711e8e65cb63b97971363726d6ee494daba
IRPP-TD,0,0,setup,register_auditor,1,492.570206,56,9820,2720,0,0x88dae2ba3d4b4fca150cf42bd9d8aac82786cc4f83c172d680f510c6ba6717f0
IRPP-TD,0,0,setup,register_auditor,2,536.109087,56,9820,2721,0,0x9489fd7d22dc71016c864ddbcb69726764305d4a8108f6860b1e5aed4aa6fa35
IRPP-TD,0,0,setup,register_auditor,3,501.386224,56,9820,2722,0,0x722f3ffef1390f3f0d224c56da799b3b5ebc4a99cc83be8d86a7a449ec7fd7df
IRPP-TD,0,0,setup,register_auditor,4,606.622572,56,9820,2723,0,0x111d8b08b876bea4cad71258c63998817ac59da164dc10886198cff136c8735c
BSIF,0,0,setup,register_worker,0,357.123551,88,7485,2724,0,0x456d1e35dfc7616dfddc76d1047a7802041b68647ef49ee6cd1a0ac5dbcd8b9b
RPPS-TDC,0,0,setup,register_worker,0,535.386371,88,7485,2725,0,0x5e64e04be217ebf10a6331347c8980061a830e95341865edea5b1a834b782b2f
BSIF,0,0,setup,register_worker,1,466.600157,88,7485,2726,0,0x5ff66c903ee9e74ad37e3e13081c26716243a455418b71d09f882914eeebcd31
RPPS-TDC,0,0,setup,register_worker,1,499.523512,88,7485,2727,0,0x5667f9934891a603e16c94281b278ddf99c23e60206646cf98ff11629cc73253
BSIF,0,0,setup,register_worker,2,475.409175,88,7485,2728,0,0xb81a8c7f6f1fbe5db3c24415d1f88b82146f9788ebb37f1933bd3c883b7fdfde
RPPS-TDC,0,0,setup,register_worker,2,499.481257,88,7485,2729,0,0x40fc997f435a294fb06c75804fbb7d8d52733aef3ea47094b055e268820f9602
BSIF,0,0,setup,register_worker,3,502.823441,88,7485,2730,0,0x5f68c3b2fd54c47ef274f61ed44ca5197724553748d69e8a6adf53324b125396
RPPS-TDC,0,0,setup,register_worker,3,501.245704,88,7485,2731,0,0x508c82f9ff63740d40d72cf457296fd0cac052e20e350c0512f90a7e7cea0acb
BSIF,0,0,setup,register_worker,4,501.620878,88,7485,2732,0,0xf68e1be34b5f58eb1511ccdbee8d9eefdbcfe0c0f95d64efcbd31dec8f7d4d47
RPPS-TDC,0,0,setup,register_worker,4,537.134080,88,7485,2733,0,0x31073427b214bcb738414aa2d0b37f6a796802269ff69b360b6a7355378c1dd6
BSIF,0,0,setup,register_worker,5,501.117316,88,7485,2734,0,0xb377c8c40dd323e1f8cb7d7c7a5e2636d0e278e9602eec52aee3436a5e324f01
RPPS-TDC,0,0,setup,register_worker,5,500.295479,88,7485,2735,0,0x58b3d0266f94dc85c3e392d3f1fc3a6a07b8f3f975c0200998ed399236e0b281
BSIF,0,0,setup,register_worker,6,534.711874,88,7485,2736,0,0x3466a9c4ddb508377a1117f142e85229c86a437bfcdf85a6b82842c4316aceb5
RPPS-TDC,0,0,setup,register_worker,6,489.781911,88,7485,2737,0,0x0b357dcee77cf23c1812b48ca6cd2de219c8046a36631fae15bb59bbe52dfeeb
BSIF,0,0,setup,register_worker,7,537.679396,88,7485,2738,0,0xb7572ac1c9309ed579df68ca12a30daa6f6bc9e2ff82b8fa34487be39f3e8e60
RPPS-TDC,0,0,setup,register_worker,7,501.555200,88,7485,2739,0,0x82a22c0906fba3491b392d19db074b0df77cbc2c054650647ab170a35f23f785
BSIF,0,0,setup,register_worker,8,502.398798,88,7485,2740,0,0x38f50246dcd5ae029b1b1a12549464a03595f6fd70dface177e1e515a7ee23e6
RPPS-TDC,0,0,setup,register_worker,8,502.072542,88,7485,2741,0,0xac620b3725d6dda141130cf6145252cd58c0d19fb90e6715eeec6b53c5d7aca1
BSIF,0,0,setup,register_worker,9,539.405218,88,7485,2742,0,0xd4d9760a219ddc4c9184d61b286a11b354616be2e588d989fb4ff42f1a6ea4ba
RPPS-TDC,0,0,setup,register_worker,9,500.175411,88,7485,2743,0,0x2be2efa89194a1d49c42d1cfa8e4c42d94d663ea305dc1c5c8e9c1ed2be899d7
BSIF,0,0,setup,register_worker,10,505.204410,88,7485,2744,0,0xefd00410c6ed798d1600a6b5e8eb301e21720e226c9971bfb6a04b5d721c9f46
RPPS-TDC,0,0,setup,register_worker,10,497.169180,88,7485,2745,0,0x4170455e0a2d6057740c294bb39c718128279bba0ffc19c96a435597e3537a65
BSIF,0,0,setup,register_worker,11,516.604416,88,7485,2746,0,0x875b03bcfb7766c6ea623a9329803101eb9178b84286d8368f0e57a3152d2627
RPPS-TDC,0,0,setup,register_worker,11,485.854819,88,7485,2747,0,0xec0dcb5f007a868bd877f1d183d73732a8419653e97fedfc4c2f2965ee186e89
BSIF,0,0,setup,register_worker,12,499.428579,88,7485,2748,0,0x117471b8b4403ed053477a15909ca51a4a7443ff4cbaa811dfadf602822a4a1a
RPPS-TDC,0,0,setup,register_worker,12,503.017743,88,7485,2749,0,0xf558f98fd43e8e5e6cc1a52213ab8c26f977da739653451a7ba227f649d5f714
BSIF,0,0,setup,register_worker,13,503.141275,88,7485,2750,0,0x9e0378f3e89593f26fb09b7ffbada1342e77a4365622a67767a0dcea1bd3c371
RPPS-TDC,0,0,setup,register_worker,13,501.343042,88,7485,2751,0,0x5f9106feee63fe78194850726340e3eb3e93640f9d3adc9985b008ed23bdc6fb
BSIF,0,0,setup,register_worker,14,500.251030,88,7485,2752,0,0x684549da265b420f55624f46183f24bfd2b65c476a6075e95c804bc281f3af72
RPPS-TDC,0,0,setup,register_worker,14,501.085829,88,7485,2753,0,0xbdc23da7de30bf55eea52e79e660cf412b757cbc23b087cf64847a052a21754a
BSIF,0,0,setup,register_worker,15,500.739049,88,7485,2754,0,0x14a8238aebc5dace5247d7fb55666c0caeef8edff8189a686dbd6d5c1f814ae0
RPPS-TDC,0,0,setup,register_worker,15,501.246199,88,7485,2755,0,0x3648185dabb0608c4e658f3fd4089c64921e25bc6dcd6c2ea1f13087b43493b4
BSIF,0,0,setup,register_worker,16,515.684586,88,7485,2756,0,0x4ef54bd00eb5e69281af977b819766f861ba2ba1ed9c03a699e248d6275a386d
RPPS-TDC,0,0,setup,register_worker,16,486.220120,88,7485,2757,0,0xd074b36ced015ee38d52fd2b7a66a476fa6ccceb1e20e38bbd4301a9e1cd998b
BSIF,0,0,setup,register_worker,17,499.353592,88,7485,2758,0,0x7de00847e5c57d11e88442d831db3bb44fed3c8606c2a5ef47eabfa701b602ba
RPPS-TDC,0,0,setup,register_worker,17,501.040983,88,7485,2759,0,0xeb9f5af1f7792fdeb9d5240a8bc127275ca83fbf3320ffcac168286ef0f87fdb
BSIF,0,0,setup,register_worker,18,500.991122,88,7485,2760,0,0x1d5dacb7eb0045db88626d70753672b3ee51c7370efced1d3fa1af3c69abe5b1
RPPS-TDC,0,0,setup,register_worker,18,504.012902,88,7485,2761,0,0x6fed82b86cfbc221d1b7a0728bfd1e4c48495d95ad3ca3498fa0c7ed41eb07d1
BSIF,0,0,setup,register_worker,19,498.543885,88,7485,2762,0,0x8c67c3659f1276ed8658bdf1fea0f572bf41279131510f7a0e4c16241bdc61dd
RPPS-TDC,0,0,setup,register_worker,19,503.232480,88,7485,2763,0,0xb8a592fa8f8da35409493d9a8992d5e2fc9f05402eb1ab5199d7c840abaa3250
BSIF,0,0,setup,register_worker,20,498.824803,88,7485,2764,0,0x55e9431d204f4dda369c510ff046e3e266fbc920ee4ef6d88c93e7f0818767c3
RPPS-TDC,0,0,setup,register_worker,20,501.806085,88,7485,2765,0,0xea4e37e898887e6c224eeee1e9ca174c9124a4728b810d323d29c371aa15d791
BSIF,0,0,setup,register_worker,21,537.064045,88,7485,2766,0,0xd6d6d96645a02716c4f2757e5ab4497e4a78b8d0da1b0c17ac4d56e1c25c8938
RPPS-TDC,0,0,setup,register_worker,21,464.149338,88,7485,2767,0,0xe533ae8c29603819778bdd2f1524940b18cffe1a20a62e103e0953bafac8a9ef
BSIF,0,0,setup,register_worker,22,507.426368,88,7485,2768,0,0x0f9560b413c16dfb0d36e48f44ddded7794616a4aeafab46bdf9608e4d5b0ba3
RPPS-TDC,0,0,setup,register_worker,22,498.482685,88,7485,2769,0,0xed0f9c02a488f2f25abb73aa23867e16c540f914c3937cae1469f12bce68c024
BSIF,0,0,setup,register_worker,23,501.881639,88,7485,2770,0,0x456f4ce7c919d76a2009fdd282e12a6663a4b4782a7d9601953f246f120960b6
RPPS-TDC,0,0,setup,register_worker,23,500.923315,88,7485,2771,0,0xaea8fc32aecedd362f79bc0311714ad8792b482e9a4d6431b458503dd1d5b20d
BSIF,0,0,setup,register_worker,24,502.812879,88,7485,2772,0,0x91c84bce53cfa68308a0e636ebf16fb2e290ff5b78fd024303661b401e260e0d
RPPS-TDC,0,0,setup,register_worker,24,503.899877,88,7485,2773,0,0xd03d36814da2a4a561dcfd0acdd315dea2e2b37d911266cdecb51e010184a0c6
BSIF,0,0,setup,register_worker,25,498.828616,88,7485,2774,0,0x543527ce62451d3372c9f2c035373016fd1d35e4cd48f120ff575aeeac3d82a6
RPPS-TDC,0,0,setup,register_worker,25,503.543703,88,7485,2775,0,0x0470bfbf5802f34ece71f1a4cd937256fdd76864df3b92c60a1fe98a0a8b5d96
BSIF,0,0,setup,register_worker,26,534.927631,88,7485,2776,0,0x540b05bdc0074d4775adef57964d32c4d128512568e8c9e7d18942e2a5fd5f40
RPPS-TDC,0,0,setup,register_worker,26,466.944934,88,7485,2777,0,0x4ce92e13f7af0321e8e0d443d7e574738859993b8b71505c63ec4bb25dd42673
IRPP-TD,27,0,normal,publish,0,489.401778,289,16530,2778,0,0x3825ed40cbf03b5323c75e5307e357b0b31a64f5219796ebeaf049a905563a93
IRPP-TD,27,0,normal,credential_refresh,1,479.207674,289,28384,2779,0,0x021d3a1f35bfe4bf98b0faf90306a54dd8701876b513c3f51a540d238bfabb52
IRPP-TD,27,0,normal,credential_refresh,2,501.610205,289,28384,2780,0,0x456c34fbf474c78feea8d6c5640983baf0b4b9c2b8b5e0510041b1293e9a4be4
IRPP-TD,27,0,normal,credential_refresh,3,502.445040,289,28384,2781,0,0xd4da564280d415f0cf955beef7e5b5978a5fd481ac8e386ce85012b37ce8f5dc
IRPP-TD,27,0,normal,credential_refresh,4,499.230279,289,28384,2782,0,0x889c37dcdb2244962a8b153aa594523d962e5a984cf98d01f62f12535820771d
IRPP-TD,27,0,normal,credential_refresh,5,489.520860,289,28384,2783,0,0xbd164d06ba81844ea13d0d5d2cc419d7af009c53ff48da40eb83c57526021943
IRPP-TD,27,0,normal,credential_refresh,6,629.386512,289,28384,2784,0,0x3898a06e9d92ec41bee61b49dc399fb0495de2389564096116e6e62acc8b0842
IRPP-TD,27,0,normal,credential_refresh,7,501.380219,289,28384,2785,0,0x93354338be6f184d963dc2f1e4723354bdf8bd7fe4434da1f8f4bbc1a8caae76
IRPP-TD,27,0,normal,credential_refresh,8,536.647273,289,28384,2786,0,0x2945d8109e2cf994843bc1c1f87b57812a9de5a958efe713b552c97d599c7260
IRPP-TD,27,0,normal,credential_refresh,9,479.932936,289,28384,2787,0,0x94a0c8081c5ad030b9c52b976e4a0a1a3b5889954f472c47f81a2a6b0dd35126
IRPP-TD,27,0,normal,credential_refresh,10,540.422903,289,28384,2788,0,0x7e1ad0a4f72221c1b6f2a7ffdec1ed43e97d0a1f77a74ce5c118b9aa6f9d3bdb
IRPP-TD,27,0,normal,credential_refresh,11,499.790930,289,28384,2789,0,0xadb73b85223ecd3b1add569237b3165ce907ca083f9fd56aa71f4d9c07ee3759
IRPP-TD,27,0,normal,credential_refresh,12,502.778173,289,28384,2790,0,0xf2c7cfdd828790477b1423e7673fbcf2455feb098f68e4cf1525c820a86d18db
IRPP-TD,27,0,normal,credential_refresh,13,500.371527,289,28384,2791,0,0x0b8dc0f321f01071efe7aa03350e3af4c9d2741e00fc6e15fec91e8acb5ad477
IRPP-TD,27,0,normal,credential_refresh,14,501.207017,289,28384,2792,0,0x836f569edc920f73f4be4f9b830ccbdab856c72f67eddfa07bab3c2917ca4cce
IRPP-TD,27,0,normal,credential_refresh,15,504.897049,289,28384,2793,0,0xdf8eb065179cb7b92f5f825c4bb25d1be8573b9fa6de320d804c26ae1f562295
IRPP-TD,27,0,normal,credential_refresh,16,499.186324,289,28384,2794,0,0xe5daafffda6806b4d8c2db8ae23d08f564b60bd031424355e35c79db55b6cdb7
IRPP-TD,27,0,normal,credential_refresh,17,501.284403,289,28384,2795,0,0x8cd268c66b97954d1504016f1f6a8a440fd513bfd1939ca7d01d14d1dbe9fc56
IRPP-TD,27,0,normal,credential_refresh,18,537.416766,289,28384,2796,0,0x4be8e296cda736ffc3946dcfa087044614cbbd62a60b158fb84d49e80d44aa88
IRPP-TD,27,0,normal,credential_refresh,19,463.892180,289,28384,2797,0,0x07a4a14016ca46e2693385f6f4f493cdd612e7c54be52167ca873ae1555cd3ee
IRPP-TD,27,0,normal,credential_refresh,20,502.081864,289,28384,2798,0,0xafdafe8cc9f21dc8cd816eddb007b16e5cec49164b684b4b00c57da656feff47
IRPP-TD,27,0,normal,credential_refresh,21,502.957867,289,28384,2799,0,0x471c4080d5910f3efe8082718bab7840705de7139f23999b92e36d8ea5afcadc
IRPP-TD,27,0,normal,credential_refresh,22,500.163331,289,28384,2800,0,0xf873953b4cc6f2f5a41b1eb78164bb3d48aa19f71b4ad8f39827f361c51de7c5
IRPP-TD,27,0,normal,credential_refresh,23,503.140447,289,28384,2801,0,0xe67a528c0289f5e152d73b543adb2f4bea4494300f022cbfee8c9aca5273eb55
IRPP-TD,27,0,normal,credential_refresh,24,499.653632,289,28384,2802,0,0xfd535c6a9d4710160db55767637d7b4311d8f1d5d8be65ca5669acb6d6a80978
IRPP-TD,27,0,normal,credential_refresh,25,501.455547,289,28384,2803,0,0xff31a98ac2e6e5369351efb45bcd604fa9fc7d2461ebcfeda5c4e39b79311365
IRPP-TD,27,0,normal,credential_refresh,26,500.782416,289,28384,2804,0,0x62b0c76ec75045c6a6f7994888d1ab71bd7cd099d428893935d1a781f8310d9f
IRPP-TD,27,0,normal,credential_refresh,27,500.345394,289,28384,2805,0,0xb9268544234efe0f8108abb31157f4318a037d5d042270c5035408360a5db113
IRPP-TD,27,0,normal,input_close,28,536.892641,289,18625,2806,0,0xd668ac96e71de396f22079952149e8319f5a525c9188bb434a76ccd264a6296b
IRPP-TD,27,0,normal,output_commit,29,484.844465,353,26849,2807,0,0xafa4c8e02cab5a3c7fb79ba9d08c287a01efe62158af63b1124666a0dc6fea7e
IRPP-TD,27,0,normal,settle,30,500.585807,225,13383,2808,0,0xc30c2919b1b56468e391a8664d1404d40d279cb39aaadf32a417633285c65d44
BSIF,27,0,normal,publish,0,527.211385,609,76767,2809,0,0xb8b7b9de80d8f04c3b0103007fef9d7d9d96aba7e41138958f43036368e20610
BSIF,27,0,normal,encrypted_upload,1,501.439873,7651,1185200,2810,0,0xbea13fb5cca3ba8d58337f4259fb1017bb912c039a3f951da414dfecc9eb31ad
BSIF,27,0,normal,encrypted_upload,2,543.606352,7651,1185200,2811,0,0x378d33aa5fb45a212f58db5addfc97f7a44eb6ba5690d9a722dd835219f95288
BSIF,27,0,normal,encrypted_upload,3,501.528853,7651,1185200,2812,0,0x87e4af231da90aaa337d24f0c0836b53bef8054894514aa3864402b28622e545
BSIF,27,0,normal,encrypted_upload,4,501.136840,7651,1185200,2813,0,0xa5a06491b4a260fecd5333984792c662ed9fb498fcf5dd7b80762481e7937b7e
BSIF,27,0,normal,encrypted_upload,5,502.427291,7651,1185200,2814,0,0xb2f2a7064c5325b7cfb191b5f6a93290f5637e3ec357fc62cbae6b5cb14bd673
BSIF,27,0,normal,encrypted_upload,6,501.929891,7651,1185200,2815,0,0x087ccd10a03d5476158a96f4548cf236dd20ee93d6d16d0644e1b4ed12ae57d8
BSIF,27,0,normal,encrypted_upload,7,515.209541,7651,1185200,2816,0,0xd60e3d040595b5a975b81c2224f91c53449257131df5471518a0ebda47a3329b
BSIF,27,0,normal,encrypted_upload,8,485.953158,7651,1185200,2817,0,0xb0d9f5cf3da025e482d04ec4998bd62db92d43d335e035edfc678a27e1e6741d
BSIF,27,0,normal,encrypted_upload,9,500.728267,7651,1185200,2818,0,0x812d28dcd8b19d7642595816cc7197373507ccda526a09c461d01089b01f042d
BSIF,27,0,normal,encrypted_upload,10,500.884160,7651,1185200,2819,0,0x20306d842a75e95c686e457296123d50b069163ea371fceabdb63dc545a88d18
BSIF,27,0,normal,encrypted_upload,11,502.069156,7651,1185200,2820,0,0x0de21aeef349e0d74b78537edad081f3e764e01eb75d5753b47946ab06cddbb8
BSIF,27,0,normal,encrypted_upload,12,501.755019,7651,1185200,2821,0,0xe79c9f1190867f4e2da98432bc83d7caa32e206de06639e9d2f562f4cc7ee988
BSIF,27,0,normal,encrypted_upload,13,503.385936,7651,1185200,2822,0,0x67f8fd5dbc410b662265d7b0e146ce382ebd58a0b6d68a5b32ca9f22d981fa4f
BSIF,27,0,normal,encrypted_upload,14,501.569007,7651,1185200,2823,0,0x5d844de1c872fe98c6a15469e063bc83cc9426d298188ac8b82bcf75e88406f3
BSIF,27,0,normal,encrypted_upload,15,633.586036,7651,1185200,2824,0,0xbac533edde09cd5dd59c7a5e8568023385803c8ec8afbc9333fb5c2bcb051716
BSIF,27,0,normal,encrypted_upload,16,371.802096,7651,1185200,2825,0,0xe1ba6ce597a6543fd9abbfd6e6ce3e44df63b85d795d2b0638f94c5e2c505f3e
BSIF,27,0,normal,encrypted_upload,17,500.293477,7651,1185200,2826,0,0x61a0a3b00b15a9901e67fbb6f756a2a826aba92e4aaf8bb75d96feed2b465744
BSIF,27,0,normal,encrypted_upload,18,502.337038,7651,1185200,2827,0,0xaeb99bc40b5a23a1beab4b164c5a345cdca5bff509dc6515724a6bab1db0d2fa
BSIF,27,0,normal,encrypted_upload,19,501.619960,7651,1185200,2828,0,0xf14f52d8da3a350180ec510a226f6fade00e8a2d6a29bd56f5625d0a9dd7ae17
BSIF,27,0,normal,encrypted_upload,20,501.915538,7651,1185200,2829,0,0xfcec7a9c8c07c743570224c176df237b36f24eadc57e03c39da8353885e220d3
BSIF,27,0,normal,encrypted_upload,21,585.866547,7651,1185200,2830,0,0x9cbe02448cc5ea356d6bbfe8620c2a7eac4aa0dddea0a235c6df8b28d8f11a1d
BSIF,27,0,normal,encrypted_upload,22,501.942001,7651,1185200,2831,0,0xf5575c1ea95d5598610081dd8937d0b9a109ebe6f424cbb8c4dc507229eaf16c
BSIF,27,0,normal,encrypted_upload,23,500.334155,7651,1185200,2832,0,0xba466794a031a8c82fe6be7c48ba4b470b95128db78b3018fb8c555838b7d7b3
BSIF,27,0,normal,encrypted_upload,24,501.697356,7651,1185200,2833,0,0xff37a13a76e77ee804ecd9a0ca93d0b92ff323350c610fb7f1343a67761d93c7
BSIF,27,0,normal,encrypted_upload,25,500.703552,7651,1185200,2834,0,0x9d34005d410f6c5ec211cc6f74d345dbac3ef0fdc609661303502fdbebc27ce6
BSIF,27,0,normal,encrypted_upload,26,500.571646,7651,1185200,2835,0,0x6385896ec61205a8648622c0492d53b40e9015f588631222e27d63cf710e8c76
BSIF,27,0,normal,encrypted_upload,27,516.795330,7651,1185200,2836,0,0x5b56596c0a9e48ff9ba8fa8b7e4175382de223586f336cbe809f15df758ba5fe
BSIF,27,0,normal,quality_report,28,489.329340,225,18236,2837,0,0x1ca3207ff2ab607c3cf853b7eb77cac3c175d17fe4f98efe877feb2ba33bb689
BSIF,27,0,normal,reputation_update,29,499.009258,88,7486,2838,0,0x8813c21e21b132a8006d9034ca808c55452b62874ac25ac5b76c6e19c70a855e
BSIF,27,0,normal,reputation_update,30,500.606620,88,7486,2839,0,0x16869f3f37cc0d32449c134cc464374d64f84bf78640ab76a084432d5947d8c7
BSIF,27,0,normal,reputation_update,31,504.892422,88,7486,2840,0,0x12a69edece7ec6a45a3cd20015f200591443a4128c5a04c31ddbc331de5fd072
BSIF,27,0,normal,reputation_update,32,500.766410,88,7486,2841,0,0xcc2aaec63d8bfe51c29f63c71e174c7683c1cad21fc9c81555621a1f7cc73cb4
BSIF,27,0,normal,reputation_update,33,499.314765,88,7486,2842,0,0xb0086a6fae9519dbd7230fe20af4bfe26d4a680aaf3e3c9e1d15c8faef805533
BSIF,27,0,normal,reputation_update,34,502.349839,88,7486,2843,0,0xb448d3d06d32afca49f3be8a9bdeafcc4ff103b09b6a921915b04ab9afae7343
BSIF,27,0,normal,reputation_update,35,499.811286,88,7486,2844,0,0x5cdd53452f68c4de3a3fbf062db18f8d615a767a1ad65db068f9cf6a0dad19b1
BSIF,27,0,normal,reputation_update,36,500.943672,88,7486,2845,0,0x95d7e0226f601756e8df50e31790323717fdc518120898ccf0a4efe53b4c8d29
BSIF,27,0,normal,reputation_update,37,538.321679,88,7486,2846,0,0xb48d3d6efe0b0e6b20c46d4ade6cbfd98a0f4bbf048f484c1f2331e23b91a184
BSIF,27,0,normal,reputation_update,38,467.912296,88,7486,2847,0,0x4483f2fba863a385b856341d893bd86ae644f4f9737edb670eba69fcb75f9ac0
BSIF,27,0,normal,reputation_update,39,498.981507,88,7486,2848,0,0x97fadbf0797aa9e0fa0bbba736877618885b851da9f21403cfd3aa9722ca5f17
BSIF,27,0,normal,reputation_update,40,500.996205,88,7486,2849,0,0x391de1590f27e86db742268e3a7d78b1c7e20c78851e216ef0150ad26f6f034f
BSIF,27,0,normal,reputation_update,41,500.539682,88,7486,2850,0,0xb77197ef1c39f5fba7fc1dafae30657788127e6065761bfd19dffd503bd29d03
BSIF,27,0,normal,reputation_update,42,506.656153,88,7486,2851,0,0x9d512c63abf30c0a6abd8a469dfd12657c49477b5bd5cc3deabfa158bb162954
BSIF,27,0,normal,reputation_update,43,499.447198,88,7486,2852,0,0xb733313df163f9cc67a8e07a65f074b71dad6c099956900bbd450eef51d011fb
BSIF,27,0,normal,reputation_update,44,500.738331,88,7486,2853,0,0x1525cb110fe43189cb54ad1a0427d658525493e8a21b655f9ecad6614f6aa6ce
BSIF,27,0,normal,reputation_update,45,500.565683,88,7486,2854,0,0x0952a37b8291b50840849fa038ce3511aad73ab8633e9d13e4688a277d2d00c8
BSIF,27,0,normal,reputation_update,46,515.311416,88,7486,2855,0,0x0ee55ef5330e6370e122d221728ae141514c7241ff6eb27241c938e9373ff84e
BSIF,27,0,normal,reputation_update,47,502.331433,88,7486,2856,0,0xc28bdf73f87c6922d9d6facb7e13332c2bc6193454533eaaa4496390ce3b4a21
BSIF,27,0,normal,reputation_update,48,540.804366,88,7486,2857,0,0x0310d2dad5b8b3a9e274172eba65597de5dac42ced8a8f9e7e91869b50335139
BSIF,27,0,normal,reputation_update,49,498.407405,88,7486,2858,0,0x7da0449c72dc45e425a74fe23a69cea78121d901c0d4a51d759e0af69d3ba939
BSIF,27,0,normal,reputation_update,50,501.720875,88,7486,2859,0,0xcff54d085a7899fb59f92b36f973b169b60f61679b3d49b599c3d25b4188ab70
BSIF,27,0,normal,reputation_update,51,501.682456,88,7486,2860,0,0x5fabea03e1aba7c7211b96dc59fee6022ff129f66d45bcf2a8ed1c9172421fe1
BSIF,27,0,normal,reputation_update,52,500.619999,88,7486,2861,0,0xe9d19fac66eb9915eb44f463311aebef8813395ce1865035f1a218abfe3245ba
BSIF,27,0,normal,reputation_update,53,502.669866,88,7486,2862,0,0xa3573309efb83746694986202429c6aeeccf185e196aa8bdb5293c72daefa8d0
BSIF,27,0,normal,reputation_update,54,531.962092,88,7486,2863,0,0x5f9e5c3c4cc72215513016789e10ab85e6920131cf4326972f6ee43c24fab30f
