protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,0,0,setup,register_auditor,0,493.305326,56,9842,3184,0,0xf11e0138307eab577df19d443ce61c766510fec4487aee6c74ce67d23fdcb697
IRPP-TD,0,0,setup,register_auditor,1,622.884344,56,9842,3185,0,0x190dd570e995753c70603f76e6f73b3de70ebc1114e93897426314cc40341a52
IRPP-TD,0,0,setup,register_auditor,2,367.639308,56,9842,3186,0,0x6ab440d3273165d2f1235b86b5c37d6da3aeb9e41f31773b907837dc287c2caf
IRPP-TD,0,0,setup,register_auditor,3,500.170954,56,9842,3187,0,0x23774441f0c7d266f990617c8f4ece963172c0c2d8f612fb20cd915e8135e59f
IRPP-TD,0,0,setup,register_auditor,4,502.118317,56,9842,3188,0,0x6dbcb033cce01cfdefc69906de9606dd2814d47c9f52713656f79b9be837d24b
BSIF,0,0,setup,register_worker,0,502.477486,88,7485,3207,0,0xdd2c6a58898d3e66c07f20e7ad7496284ab286e38f774f4f9dd1db2612b85088
RPPS-TDC,0,0,setup,register_worker,0,500.214961,88,7485,3208,0,0x7f8ea3ea8bc4550272f895610d700379fc93899611940f7459c4a69053bb4e3a
BSIF,0,0,setup,register_worker,1,536.774916,88,7485,3209,0,0x144cfbe133e33326d5914c0e16a223c658e29dd4fa8633b06b053b9da09045dd
RPPS-TDC,0,0,setup,register_worker,1,502.351660,88,7485,3210,0,0xcc1fe057472ffe5a9bb5eda77a18f2c3982453d4a3c7fcd96e254df2a8580028
BSIF,0,0,setup,register_worker,2,538.831294,88,7485,3211,0,0x8c16b1ffb0e565640e207fee04c30571349c22df522e6fcb252555d42ddf71f3
RPPS-TDC,0,0,setup,register_worker,2,501.211481,88,7485,3212,0,0xe63c25d7bcb888a69b18b8cd6f226ba8a23230acc1dbb2b7f7938c5e19e408f3
BSIF,0,0,setup,register_worker,3,500.357039,88,7485,3213,0,0xa715fed3c2fedb622817989b16f673f5e00fe7eb4871d8cdebf97cf7c0a9f14e
RPPS-TDC,0,0,setup,register_worker,3,502.499984,88,7485,3214,0,0x17d1500843eaa9341b7786aad44159aa7a54e4e73e4bdd25b91d83395085acee
BSIF,0,0,setup,register_worker,4,501.330171,88,7485,3215,0,0x98e62d95df1e0818be732e5d3774d351b1a865ff03c8b3cd474a2cec7f22bbe8
RPPS-TDC,0,0,setup,register_worker,4,501.809215,88,7485,3216,0,0x1d93daf71e1dacfaa31e081e98eb95fa4ad5bbfe7f86be658a3602071a4911e1
BSIF,0,0,setup,register_worker,5,503.094847,88,7485,3217,0,0x6ed06c89c0e693a01a3af814240669d4e3d7951c3f5d9e55c019aab1f0468528
