protocol,n,run,audit_mode,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,block_start,block_end,valid,contract_address
IRPP-TD,3,-1,normal,3507.519555,7,499.413536,526.115931,2023,160539,480,487,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,3,-1,normal,4516.876011,9,500.974769,522.679226,24276,3684126,487,496,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,3,-1,normal,5520.044261,11,501.083797,563.413568,23478,3511542,496,507,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,3,-2,normal,3517.417244,7,500.510503,503.256048,2023,160539,507,514,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,3,-2,normal,4612.088462,9,501.883520,539.659378,24276,3684126,514,523,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,3,-2,normal,5507.098588,11,501.099178,520.070001,23478,3511542,523,534,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,3,-3,normal,3519.315058,7,501.995022,503.730716,2023,160539,534,541,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,3,-3,normal,4525.483721,9,501.599579,524.587262,24276,3684126,541,550,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,3,-3,normal,5616.539809,11,502.302332,547.706359,23478,3511542,550,561,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,0,normal,7033.156189,14,500.561062,515.783979,4046,359227,561,575,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,0,normal,11644.761660,23,501.384303,533.489462,78449,12032928,575,598,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,0,normal,12597.283422,25,501.119778,531.746262,74739,11399128,598,623,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,1,normal,11611.744161,23,501.464530,581.300092,78449,12032928,623,646,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,1,normal,12747.169815,25,501.710329,541.386705,74739,11399128,646,671,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,1,normal,7033.008796,14,501.345644,513.608502,4046,359227,671,685,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,2,normal,12632.725919,25,502.130846,526.385358,74739,11399128,685,710,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,2,normal,7153.441394,14,501.429012,557.747645,4046,359227,710,724,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,2,normal,11641.109442,23,501.571108,541.401021,78449,12032928,724,747,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,3,normal,7039.504631,14,500.838305,512.577643,4046,359227,747,761,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,3,normal,11740.301012,23,502.164087,537.035349,78449,12032928,761,784,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,3,normal,12558.888881,25,501.477774,503.495759,74739,11399128,784,809,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,4,normal,11743.534251,23,501.911717,577.342876,78449,12032928,809,832,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,4,normal,12653.185936,25,501.291616,527.729605,74739,11399128,832,857,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,4,normal,7039.840858,14,501.874944,504.414576,4046,359227,857,871,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,5,normal,12730.244100,25,501.560546,545.175856,74739,11399128,871,896,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,5,normal,7034.722507,14,500.987479,552.615927,4046,359227,896,910,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,5,normal,11766.967760,23,502.633696,541.643784,78449,12032928,910,933,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,6,normal,7209.496954,14,501.104387,568.025128,4046,359227,933,947,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,6,normal,11558.541762,23,501.975299,528.338952,78449,12032928,947,970,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,6,normal,12653.487543,25,501.174065,600.313558,74739,11399128,970,995,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,7,normal,11656.739429,23,502.283542,536.081519,78449,12032928,995,1018,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,7,normal,12531.769813,25,501.590370,531.021456,74739,11399128,1018,1043,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,7,normal,7133.613155,14,502.721293,573.555547,4046,359227,1043,1057,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,8,normal,12564.918747,25,501.304883,504.960424,74739,11399128,1057,1082,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,8,normal,7112.147105,14,501.302114,539.011863,4046,359227,1082,1096,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,8,normal,11642.128005,23,501.731360,564.329580,78449,12032928,1096,1119,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,9,normal,7037.332346,14,502.564839,539.846725,4046,359227,1119,1133,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,9,normal,11640.521083,23,501.561667,588.542119,78449,12032928,1133,1156,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,9,normal,12619.940675,25,501.119836,534.648227,74739,11399128,1156,1181,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,10,normal,11589.302694,23,501.619684,616.613080,78449,12032928,1181,1204,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
