protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,0,0,setup,register_auditor,0,492.809842,56,9820,376,0,0x65665a962e86e960ac9f12dcfcfd2b54ba47c807d551e723aa018a5b7cdd89a5
IRPP-TD,0,0,setup,register_auditor,1,494.223782,56,9820,377,0,0xf4315260f3213a51e50f8c520b028840ff83bfc0c8dc082a5dbc0b5e17b8ea5a
IRPP-TD,0,0,setup,register_auditor,2,498.093551,56,9820,378,0,0xf0430bb2e5fa04a761fe6ffffdf963b3fdbdf6e32f971e5bf1b695a4e4324c4a
IRPP-TD,0,0,setup,register_auditor,3,506.864459,56,9820,379,0,0xc5741b8d2e155dc447fe759093b7c86faa491282664ae43be279a01172039213
IRPP-TD,0,0,setup,register_auditor,4,491.822011,56,9820,380,0,0x1fbfbc5762ffc705fc81b525f896b92e60f56687fc2debf1dd28b84af22439b0
BSIF,0,0,setup,register_worker,0,485.354620,88,7485,381,0,0x12ebcbf4d934c898a148ea97029cff55c13b1f97b13a32afaca13d2a8cb81648
RPPS-TDC,0,0,setup,register_worker,0,499.082174,88,7485,382,0,0x004f0527996cb02c080e7c2e2a91988bada00d808ccf00d5ee2b916323464b87
BSIF,0,0,setup,register_worker,1,514.896238,88,7485,383,0,0x802907dd1d14a79f52a0260de631623343ddcbc9baefdcbec7e490f669753f4b
RPPS-TDC,0,0,setup,register_worker,1,486.250618,88,7485,384,0,0x0ba2bf8fc8d844d6e0ab3273369e3e46920d5ebb6d1abf095eedca9362cc5298
BSIF,0,0,setup,register_worker,2,498.487334,88,7485,385,0,0x155030e5f48e9533010e843476f170ec5887f3820330373021d1176668c66fea
RPPS-TDC,0,0,setup,register_worker,2,501.533318,88,7485,386,0,0x05ce6d167f948d141cfa9a7b1902347ab3e36425aaab36882c4c0776d14310be
BSIF,0,0,setup,register_worker,3,499.273909,88,7485,387,0,0x47e7b97e3f00ffae7e8957eb41c6cb41f3c633e3cb296e9d1bea8d94e46f00de
RPPS-TDC,0,0,setup,register_worker,3,500.778636,88,7485,388,0,0x6cb181b47f6759806baf9fbe49d988f77a22f5b14a5406fa852c6721147aac17
BSIF,0,0,setup,register_worker,4,549.541905,88,7485,389,0,0x65689fd39502223664020a9b3319e8bb006fd55f66a019a33ddc0a7ce1f1de0f
RPPS-TDC,0,0,setup,register_worker,4,454.661440,88,7485,390,0,0x22f6c513e9fcdd271f61a11ebc3e5cf22efe68023923485f03ddc270b86b81ee
BSIF,0,0,setup,register_worker,5,502.742910,88,7485,391,0,0x6724785c269321005533ef299b44ff6156341e9f7e083c0c57e274913789f6c2
RPPS-TDC,0,0,setup,register_worker,5,498.216696,88,7485,392,0,0x2efbdffd29f73249d4e7d5209baa09751a4d57600b903b9357d982928daaa586
BSIF,0,0,setup,register_worker,6,544.970231,88,7485,393,0,0x467a758d23f1fda58afe4e6304e7f2126a4306afac11b40e42f549180c92ac84
RPPS-TDC,0,0,setup,register_worker,6,501.101266,88,7485,394,0,0x7723373a0b8844b9e338f5b87f9eb49cb255cecd6a9070c5dd5787ea77e10165
BSIF,0,0,setup,register_worker,7,501.213162,88,7485,395,0,0x9266dc13ac8d3119ca5ff6915c96cb8e070d332e5b6b0c24b759e76892049c4e
RPPS-TDC,0,0,setup,register_worker,7,501.354539,88,7485,396,0,0xd615d7f521e638868a21e51948197db0a8b8ba734d796c0e2385f86296eaebaa
BSIF,0,0,setup,register_worker,8,502.070364,88,7485,397,0,0x8c25a51dd57b382644258c74977947bc81e017223498031ba695162f11fe4718
RPPS-TDC,0,0,setup,register_worker,8,502.809902,88,7485,398,0,0x1f25aa4903d4a7b1300d2d6d70154432404a067b8a4698d22ec37e3e0b96ebbb
BSIF,0,0,setup,register_worker,9,539.927957,88,7485,399,0,0x70c4dbf5967fb246bb21ddf9022c4f8ca55a9e865b3628d235cc80495ca3d405
RPPS-TDC,0,0,setup,register_worker,9,503.475314,88,7485,400,0,0x2453c1053befc596be098bd231df92b561c51b2250cfd4926623d3bb59203b44
BSIF,0,0,setup,register_worker,10,500.836381,88,7485,401,0,0x17b8d8744166ff02eaa9d2881d445e1ba490dbdd4286c7b0396aa53629526086
RPPS-TDC,0,0,setup,register_worker,10,498.596950,88,7485,402,0,0x9657ce2cc9bfded8a97324d9d89355ddb2627fa8cf688e60b44f186bd663817c
BSIF,0,0,setup,register_worker,11,535.614284,88,7485,403,0,0xda8c0f5621b0ce2f588b4d6c6fc7cc8ea27dd6a32cb70eb2a1d2f6d8b94416c3
RPPS-TDC,0,0,setup,register_worker,11,464.438692,88,7485,404,0,0x092074e856df47bab81510f379050d2ed5b4ac16b4d9376725f7faefd5ebe295
BSIF,0,0,setup,register_worker,12,500.532196,88,7485,405,0,0xebd7510a313c4055bf5dbc3604c783f83bda15cc882ee3de642bd4e6de5069f4
RPPS-TDC,0,0,setup,register_worker,12,500.442737,88,7485,406,0,0xfe2efe0d6c3abfb62314caf8f829636743260e4d8d670806d093f5b52693b296
