protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,0,0,setup,register_auditor,0,492.116736,56,9820,3044,0,0xf0aa3a0352d0ef254a4174d7bec9c3bdf1e904062a86dc5de02480a8596aea54
IRPP-TD,0,0,setup,register_auditor,1,490.618609,56,9820,3045,0,0x29eadec0a8f07646961139238adaf5b945e8a4033398b9e484cbd8cb05a505d3
IRPP-TD,0,0,setup,register_auditor,2,500.953317,56,9820,3046,0,0x10b2b1c9b3bfdcaa4d5e51aae521e3c243b8dd82e05c8db530f37fe175119cfa
IRPP-TD,0,0,setup,register_auditor,3,500.713234,56,9820,3047,0,0x80e7736edf54e994aa979cedb1bdc8544d87e7656af528fb12db87107b13b097
IRPP-TD,0,0,setup,register_auditor,4,502.588073,56,9820,3048,0,0x5659d6ce008a77e5caa3d8d1144bbd6f7dc341a81504319761e0b48fdacb8de0
BSIF,0,0,setup,register_worker,0,498.049611,88,7485,3049,0,0xd89592ca2da530fc93c79819f39f78639b1540dbca7f94446d7d7f3dede11bce
RPPS-TDC,0,0,setup,register_worker,0,536.825551,88,7485,3050,0,0xdb75da44d44e166be3a232224d1828baf8e77181b3dc0de9b5c2d699f4d2a4a8
BSIF,0,0,setup,register_worker,1,464.010570,88,7485,3051,0,0xd8d2e8a47d53f0799d3ce016621ac7812098aabfb0bd586843151a4ee4e78f42
RPPS-TDC,0,0,setup,register_worker,1,499.925443,88,7485,3052,0,0xfe8cfc27c0c730b627eb0b887e36ca88dda13795cf37d22ded24b03a636340f3
BSIF,0,0,setup,register_worker,2,503.897009,88,7485,3053,0,0x920f646825ae48b4eb8c9210f7bf095d81c718e36b85c2bc016dedc103d4e6e6
RPPS-TDC,0,0,setup,register_worker,2,500.393812,88,7485,3054,0,0x3c5cb5bd05c5066f4d6fbc7f4aaaaeb49883094040dafc702d34ef895d28be14
BSIF,0,0,setup,register_worker,3,497.923406,88,7485,3055,0,0x9fd0619a022b5eeb11cd20b8b3895082bb12a898479f4372d5ecc89d74a1a7ab
RPPS-TDC,0,0,setup,register_worker,3,502.067442,88,7485,3056,0,0xc93f927aa9a31272b599a51a474eee5d324677782ae6d1a2549f2c075af35645
BSIF,0,0,setup,register_worker,4,500.656944,88,7485,3057,0,0xf4cb4e1e025a4e671e1d0e0e10a0367184a36d7f275b160a1aee18eae955d87c
RPPS-TDC,0,0,setup,register_worker,4,501.849201,88,7485,3058,0,0xc21440715e40c24b1830a022eddca511e09260bb8afa36fff03f53d14ebb1881
BSIF,0,0,setup,register_worker,5,501.725541,88,7485,3059,0,0xefbce92f461cf4eca2a0033c8c48f09a9377282fdaf71917e720486a992bf6b0
RPPS-TDC,0,0,setup,register_worker,5,536.540717,88,7485,3060,0,0xa1e331a204698e3f8d9d75412170c2adb31c26d33f7d1c98faff5fa202787814
BSIF,0,0,setup,register_worker,6,464.980771,88,7485,3061,0,0xa35fc657056e823ee3c305f26fd044832280650aa7bd29384876b14da271cfe9
RPPS-TDC,0,0,setup,register_worker,6,502.684405,88,7485,3062,0,0xb62264b56eeb60c2e43dbd7a1a3afe903414d8ba0fb30089e0d5eb7eefc494e7
