protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
BSIF,0,0,setup,register_worker,0,499.273485,88,7485,9,0,0x0e1513772be0ccbc85b5f04832bc8c60cab85ded36a809f55d8f9b6627c65df6
RPPS-TDC,0,0,setup,register_worker,0,530.264491,88,7485,10,0,0xa98c369a88685fdb4a68876df595db8ece001bb0167ff32a61538fbef5d099ad
BSIF,0,0,setup,register_worker,1,500.541932,88,7485,11,0,0x6da902555783734659276f350b8db44698c6797751b1ee72fcc8e7a3e46ac44b
RPPS-TDC,0,0,setup,register_worker,1,503.239557,88,7485,12,0,0xa4203641c702faf96c4d9357c5abd3832c07218dee8ab2919219afaae29d5033
BSIF,0,0,setup,register_worker,2,500.882001,88,7485,13,0,0x0282574c0db878cc16632346321067b4d13f7f702a87217b1e1a7c000bed943f
RPPS-TDC,0,0,setup,register_worker,2,445.835479,88,7485,14,0,0x55f2df1157ad5c12114cd2e27d489af6a6e0663307ce8043f6c494b900480033
IRPP-TD,3,0,normal,publish,0,488.733744,289,16530,15,0,0xad93d04b7fa4dd04c9d931c3103d6bb183b47a6cd45e3e6524775ded99c2698d
IRPP-TD,3,0,normal,credential_refresh,1,532.019942,289,28384,16,0,0xa8d66c0003cbe61c70c77b437956bc65b449cb7e096e19d66258feca5f098d74
IRPP-TD,3,0,normal,credential_refresh,2,469.274492,289,28384,17,0,0x6f99513f2dacbeb40fd444c41f5f2d85d3e8ce87b846e5bfead9fd27c482cce3
IRPP-TD,3,0,normal,credential_refresh,3,499.286081,289,28384,18,0,0xe9bc184594e87dc5905d3fa6416ccce12a36fde83b339eb626a576a4b8314c35
IRPP-TD,3,0,normal,input_close,4,502.392145,289,18641,19,0,0x93d71382c921eca12cc2ff7fcd831d24ce37c2992487c10e4f7da35c1a088920
IRPP-TD,3,0,normal,output_commit,5,499.447069,353,26692,20,0,0x23a5dddf7023d8ffdf8b58d744982d75b7ff96b3f0f9434e94e83c15f3560a07
IRPP-TD,3,0,normal,settle,6,504.090997,225,11263,21,0,0x19409c071f03f2c8ab75f50ef6b4366c7351881e7ac59e2a493b672b8b4b26da
BSIF,3,0,normal,publish,0,489.359156,609,76767,22,0,0x23660cfea3c64563af89459218f7dcaf9d50a2e1fa127cb3e332992777985a96
BSIF,3,0,normal,encrypted_upload,1,495.832958,7651,1185200,23,0,0x2c8d57287c12283053e577ffea3e100241d640ca17202b318d1f667b7b39b039
BSIF,3,0,normal,encrypted_upload,2,500.572763,7651,1185200,24,0,0x2e2b30e725230f26c444b7e2b7baa251e83b367613b28e79602317e9f44a28bd
BSIF,3,0,normal,encrypted_upload,3,501.577196,7651,1185200,25,0,0xa3ab8132c8a45efe672d09dc73b36bf8ad3eacc11c6cced099d8cad58ec5c59c
BSIF,3,0,normal,quality_report,4,513.266150,225,18236,26,0,0x38a36d50b0360380d287b98634c3daf7a17004d965010069efae84aed727cbca
BSIF,3,0,normal,reputation_update,5,487.238279,88,7486,27,0,0xb24002a45dc27e21858e334ab8f1a2e3fc1287d2ddd40c19ab717805ffe3ccfd
BSIF,3,0,normal,reputation_update,6,499.957740,88,7486,28,0,0xfbe59a08823cd3267acc1d2e8ff9c03de7f648f00abf542f3db443ef7429883f
BSIF,3,0,normal,reputation_update,7,627.858372,88,7486,29,0,0xaeec344b2d8663eec1b1147023912d8a99e1d9f6ea398513670ef2beecc58292
BSIF,3,0,normal,settle,8,377.839650,225,11065,30,0,0x66c6da8242fc4f8b308720acae1456aa07d63c1a10244948333da0c9641c8af8
RPPS-TDC,3,0,normal,publish,0,493.629747,609,76767,31,0,0x80d566e484da5bcebc12f9a706f9ca308311e4f967989ebc84d1de5ca5948014
RPPS-TDC,3,0,normal,encrypted_upload,1,503.120483,7235,1119312,32,0,0xb0e45b8b14ee4a1b3b0d3481a85deec2537902557fab6a1bb19097c0b5b473ef
RPPS-TDC,3,0,normal,encrypted_upload,2,583.594169,7235,1119312,33,0,0xf68facb52afb9123afd24a798feb4cc32d734f67377ccb4f626048e9c24f94d4
RPPS-TDC,3,0,normal,encrypted_upload,3,499.140619,7235,1119312,34,0,0x8b420233c587b9b169b6d9ce90189e58d4a42ac2b8bec9d23df706cd0ad1bc1e
RPPS-TDC,3,0,normal,trust_update,4,498.493771,225,11089,35,0,0xfc974c91edde29379dd83f6daa15344747936fb9c275cd21d735bc70a32e88b5
RPPS-TDC,3,0,normal,selection,5,498.700176,225,16125,36,0,0x97478ff1d75397e68f903314d38565d0ad860105bd60e8042e69d3d0c26eda61
RPPS-TDC,3,0,normal,result,6,496.878468,225,16102,37,0,0x5511d963f8df7505d8297ba8509f2a821a18f2ac9f237d91e582486ebd3d06ff
RPPS-TDC,3,0,normal,reputation_update,7,502.118358,88,7486,38,0,0x138d5c8785e0a24330d90079a2954683dc9f9a39dadef3694f006bb10344ac6b
RPPS-TDC,3,0,normal,reputation_update,8,497.793501,88,7486,39,0,0x618dbeb3b376b4f3c335ab43e76f58276c879c81484c1d78a8e1e9c71bb7fd9b
RPPS-TDC,3,0,normal,reputation_update,9,502.615183,88,7486,40,0,0x83a8ec9f0d8ffaf90629b23ec52b68100031db89eeb4d82ee987a598017bfb82
RPPS-TDC,3,0,normal,settle,10,500.835190,225,11065,41,0,0x17456aee33b5729aab02129ff0a62ad6d0e46812243a86a10bf6ff03645687fb
