protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
IRPP-TD,0,0,setup,register_auditor,0,552.439713,56,9820,51,0,0xc93f80e5c1a94e731f71d3dc68ea80b99b62650c72da79b346b148f0f80e8fdd
IRPP-TD,0,0,setup,register_auditor,1,489.985020,56,9820,52,0,0x35daf51a07b9355f20cbd718e8d5769c04a57b2c71b16554ce94163707a97e3c
IRPP-TD,0,0,setup,register_auditor,2,508.540262,56,9820,53,0,0x14dea584425d01a7ef7e0f9938def078fad0cd9373468cd8956ce7b77ffe7cef
IRPP-TD,0,0,setup,register_auditor,3,503.047717,56,9820,54,0,0x962d392278585bc99bef55371395814afc4b41e00c3b1681dab5ff76c180378f
IRPP-TD,0,0,setup,register_auditor,4,501.911051,56,9820,55,0,0xffc2c80edaf867929be74316d490b9ae51d6d65e4eb4ffc5d677d5232e74ab94
BSIF,0,0,setup,register_worker,0,481.106239,88,7485,56,0,0x2c201b8649d69a30d33d754a820394f7c338e0f1f9421ed645ae8f86186a49f5
RPPS-TDC,0,0,setup,register_worker,0,502.834522,88,7485,57,0,0xd999b16fb8644f3258275daa20bc0ff97c22e0248a87d5fe268caf5e8263322d
BSIF,0,0,setup,register_worker,1,512.944941,88,7485,58,0,0xd037af4fb3001c1118985e72f8d5ce18a18f895d7d1b9abab66beef7f3f630fc
RPPS-TDC,0,0,setup,register_worker,1,485.411906,88,7485,59,0,0x7a941433d320938c91859b8e46555b50eed5061f1d957ac40b77d8b64a65dbd0
BSIF,0,0,setup,register_worker,2,629.710687,88,7485,60,0,0xc4331dd75b045e6f1d4b7b95d92b33e48b0384f26dae4221e8462783c4a1fcb1
RPPS-TDC,0,0,setup,register_worker,2,369.627578,88,7485,61,0,0x8739e043a4dea86e7da66ab6fe4efe56513dc73be9092e8ad9b643ba77a0f794
BSIF,0,0,setup,register_worker,3,503.613449,88,7485,62,0,0x95154cc25851adc70897ad17a627d0c62bb5a6985351fc1d1240e317fda9c11f
RPPS-TDC,0,0,setup,register_worker,3,504.864815,88,7485,63,0,0xd7bb9060701b4b36587358629ffab690baeeb19bef2df93c29d7502aaea89e7c
BSIF,0,0,setup,register_worker,4,498.138726,88,7485,64,0,0x9926fabe3048776f5ccd3829a884d9671e08465cf1256bc4df074eff6a0ad42e
RPPS-TDC,0,0,setup,register_worker,4,503.229003,88,7485,65,0,0x66342bccfaa360e6c2f2ceb69443bdb3e6892263f6319316811666c6d80cb038
BSIF,0,0,setup,register_worker,5,500.107324,88,7485,66,0,0x31dd8d30a82fee9bd55e87da50667a660bf03b6a46d8f9992ff136d74196de20
RPPS-TDC,0,0,setup,register_worker,5,502.112930,88,7485,67,0,0x5665f4e022c540462d7ad34eace98cf993a1af6168d1327b1b4548b767f1dac6
BSIF,0,0,setup,register_worker,6,587.515644,88,7485,68,0,0xb3747fc9245e4c735133e7ae1bf7f663dd54c33792a63685d3e226db25c642d1
RPPS-TDC,0,0,setup,register_worker,6,462.810061,88,7485,69,0,0x4c6f1d8745f2904d4ca920a248ca0293d33334a5dbaeccf5a69b9da8681e9f4b
BSIF,0,0,setup,register_worker,7,505.526206,88,7485,70,0,0xa8d7354ce0a4354a22b15c88c7cd70450964f98d01d7bc8aa40d45affaefbec0
RPPS-TDC,0,0,setup,register_worker,7,531.559102,88,7485,71,0,0x23e82553c4fdc15f03dc59d54da83f2bdbe13e602be0702a8c9a949a1822780c
BSIF,0,0,setup,register_worker,8,499.671247,88,7485,72,0,0xef9b3f6aaa45842dd85dd94799287de7fec54d84ddb3a34e3c73986ffa998348
RPPS-TDC,0,0,setup,register_worker,8,502.180785,88,7485,73,0,0x24131478fa1d0966e7d8038a0fbe2d638c43f744260990a09d6cf22f6f54863b
BSIF,0,0,setup,register_worker,9,501.438753,88,7485,74,0,0x41a3cdf042f850f5a28fc1531965645e9a6caa655bda91f73d072b7ab1b73c83
