run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
0,2035581000,27,label,no_trigger,False,False,False,True,0,0.000342,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b8f66afc54fd95f8d783903025afe0f10ad39a2713e785e6da2cef9839afe7ec
0,2035581000,27,label,proactive,True,True,True,False,5,8.83057,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b8f66afc54fd95f8d783903025afe0f10ad39a2713e785e6da2cef9839afe7ec
0,2035581000,27,label,timely_challenge,True,True,True,False,5,8.584778,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b8f66afc54fd95f8d783903025afe0f10ad39a2713e785e6da2cef9839afe7ec
0,2035581000,27,label,delayed_challenge,True,True,True,False,5,9.161018,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b8f66afc54fd95f8d783903025afe0f10ad39a2713e785e6da2cef9839afe7ec
0,2035581000,27,weight,no_trigger,False,False,False,True,0,0.000118,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b2ec333e489bcccd081d20a700e0a4911a5afb36cfddc89497a5b601abbee128
0,2035581000,27,weight,proactive,True,True,True,False,5,8.498339,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b2ec333e489bcccd081d20a700e0a4911a5afb36cfddc89497a5b601abbee128
0,2035581000,27,weight,timely_challenge,True,True,True,False,5,8.495433,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b2ec333e489bcccd081d20a700e0a4911a5afb36cfddc89497a5b601abbee128
0,2035581000,27,weight,delayed_challenge,True,True,True,False,5,8.406418,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,b2ec333e489bcccd081d20a700e0a4911a5afb36cfddc89497a5b601abbee128
0,2035581000,27,reputation_state,no_trigger,False,False,False,True,0,0.000107,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,86bab068bd2fe5d614cf39199d44ddc85f49636e2dcd3e9dfd7321bf47c13006
0,2035581000,27,reputation_state,proactive,True,True,True,False,5,8.548059,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,86bab068bd2fe5d614cf39199d44ddc85f49636e2dcd3e9dfd7321bf47c13006
0,2035581000,27,reputation_state,timely_challenge,True,True,True,False,5,9.608344,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,86bab068bd2fe5d614cf39199d44ddc85f49636e2dcd3e9dfd7321bf47c13006
0,2035581000,27,reputation_state,delayed_challenge,True,True,True,False,5,10.629034,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,86bab068bd2fe5d614cf39199d44ddc85f49636e2dcd3e9dfd7321bf47c13006
0,2035581000,27,aggregate,no_trigger,False,False,False,True,0,0.000139,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,5246872d1a03e30d220b6db99e86d0b88220ad08f6e217c78d3df18e48b334c5
0,2035581000,27,aggregate,proactive,True,True,True,False,5,8.674668,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,5246872d1a03e30d220b6db99e86d0b88220ad08f6e217c78d3df18e48b334c5
0,2035581000,27,aggregate,timely_challenge,True,True,True,False,5,8.801853,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,5246872d1a03e30d220b6db99e86d0b88220ad08f6e217c78d3df18e48b334c5
0,2035581000,27,aggregate,delayed_challenge,True,True,True,False,5,8.449495,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,5246872d1a03e30d220b6db99e86d0b88220ad08f6e217c78d3df18e48b334c5
0,2035581000,27,payment,no_trigger,False,False,False,True,0,0.000129,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,0900ebcbbe837588da98b640309b875470d3ff28d0c1679ce1ff246d4448d6e0
0,2035581000,27,payment,proactive,True,True,True,False,5,8.470466,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,0900ebcbbe837588da98b640309b875470d3ff28d0c1679ce1ff246d4448d6e0
0,2035581000,27,payment,timely_challenge,True,True,True,False,5,8.133554,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,0900ebcbbe837588da98b640309b875470d3ff28d0c1679ce1ff246d4448d6e0
0,2035581000,27,payment,delayed_challenge,True,True,True,False,5,8.16506,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,0900ebcbbe837588da98b640309b875470d3ff28d0c1679ce1ff246d4448d6e0
0,2035581000,27,missing_package,no_trigger,False,False,False,True,0,0.000118,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,MISSING
0,2035581000,27,missing_package,proactive,True,True,True,False,5,0.000973,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,MISSING
0,2035581000,27,missing_package,timely_challenge,True,True,True,False,5,0.000545,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,MISSING
0,2035581000,27,missing_package,delayed_challenge,True,True,True,False,5,0.000428,9bbc0afce3a1c592ca4f2aed6a1e0643d6761b17d892d9fc41f6846c67e723a8,MISSING
1,2035581001,27,label,no_trigger,False,False,False,True,0,0.000246,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5fba1795e4161cc265f767a8a35928bf466e2e2685117f51a5caca1cdb9e4354
1,2035581001,27,label,proactive,True,True,True,False,5,8.074859,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5fba1795e4161cc265f767a8a35928bf466e2e2685117f51a5caca1cdb9e4354
1,2035581001,27,label,timely_challenge,True,True,True,False,5,8.542109,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5fba1795e4161cc265f767a8a35928bf466e2e2685117f51a5caca1cdb9e4354
1,2035581001,27,label,delayed_challenge,True,True,True,False,5,8.273497,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5fba1795e4161cc265f767a8a35928bf466e2e2685117f51a5caca1cdb9e4354
1,2035581001,27,weight,no_trigger,False,False,False,True,0,0.000117,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,9201eec85cd10c1585323e1f46f4173673ab3529d223fdb7aab75942f02d8488
1,2035581001,27,weight,proactive,True,True,True,False,5,8.47929,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,9201eec85cd10c1585323e1f46f4173673ab3529d223fdb7aab75942f02d8488
1,2035581001,27,weight,timely_challenge,True,True,True,False,5,8.460145,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,9201eec85cd10c1585323e1f46f4173673ab3529d223fdb7aab75942f02d8488
1,2035581001,27,weight,delayed_challenge,True,True,True,False,5,8.466641,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,9201eec85cd10c1585323e1f46f4173673ab3529d223fdb7aab75942f02d8488
1,2035581001,27,reputation_state,no_trigger,False,False,False,True,0,0.000117,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5d65a45315e84e7134ca0f02c4bd72cec0f21374e20a7befb05b522e1da73e74
1,2035581001,27,reputation_state,proactive,True,True,True,False,5,8.568304,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5d65a45315e84e7134ca0f02c4bd72cec0f21374e20a7befb05b522e1da73e74
1,2035581001,27,reputation_state,timely_challenge,True,True,True,False,5,7.72874,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5d65a45315e84e7134ca0f02c4bd72cec0f21374e20a7befb05b522e1da73e74
1,2035581001,27,reputation_state,delayed_challenge,True,True,True,False,5,8.916711,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,5d65a45315e84e7134ca0f02c4bd72cec0f21374e20a7befb05b522e1da73e74
1,2035581001,27,aggregate,no_trigger,False,False,False,True,0,0.000128,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,d9ef7f9d37a42af7b02aaab14ea94c7710e52632515b36c127f56d687653544c
1,2035581001,27,aggregate,proactive,True,True,True,False,5,7.94543,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,d9ef7f9d37a42af7b02aaab14ea94c7710e52632515b36c127f56d687653544c
1,2035581001,27,aggregate,timely_challenge,True,True,True,False,5,8.266862,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,d9ef7f9d37a42af7b02aaab14ea94c7710e52632515b36c127f56d687653544c
1,2035581001,27,aggregate,delayed_challenge,True,True,True,False,5,8.272417,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,d9ef7f9d37a42af7b02aaab14ea94c7710e52632515b36c127f56d687653544c
1,2035581001,27,payment,no_trigger,False,False,False,True,0,0.000129,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,93dc83fb7c52fe201504990cac3008aecedc40096316c62a4108e653629a25a0
1,2035581001,27,payment,proactive,True,True,True,False,5,8.135616,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,93dc83fb7c52fe201504990cac3008aecedc40096316c62a4108e653629a25a0
1,2035581001,27,payment,timely_challenge,True,True,True,False,5,7.973923,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,93dc83fb7c52fe201504990cac3008aecedc40096316c62a4108e653629a25a0
1,2035581001,27,payment,delayed_challenge,True,True,True,False,5,8.596604,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,93dc83fb7c52fe201504990cac3008aecedc40096316c62a4108e653629a25a0
1,2035581001,27,missing_package,no_trigger,False,False,False,True,0,8.5e-05,c2bff4795f40d112cb1f0de0e089f36fb93ec7e7bab0061a64c2894af3ed477f,MISSING
