protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run
IRPP-TD,10,9,256,2026181000,normal,12.331781,0.0,12.331781,7.313228,0.573401,4.341845,0.0,0.0,2.30464,10.027141,86220,1568.0,6,10,True,0
BSIF,10,9,256,2026181000,normal,2571.433275,0.0,2571.433275,1833.748994,536.24453,201.356275,0.0,0.0,0.082341,2571.350934,155504,7324.0,1,10,True,0
RPPS-TDC,10,9,256,2026181000,normal,2796.271973,0.0,2796.271973,1825.49821,192.216347,725.243344,52.955814,0.0,475.785399,2320.486574,158184,6912.0,8,8,True,0
PRTD,10,9,256,2026181000,normal,6188.291351,0.0,6188.291351,3556.511813,1742.414121,848.204553,40.2077,0.0,380.685834,5807.605517,206540,7808.0,8,10,True,0
BSIF,10,9,256,2026181001,normal,2469.780049,0.0,2469.780049,1812.410641,515.994694,141.299933,0.0,0.0,0.081534,2469.698515,132272,7324.0,1,7,True,1
RPPS-TDC,10,9,256,2026181001,normal,2799.470418,0.0,2799.470418,1820.506878,193.661143,731.480322,53.488944,0.0,479.926538,2319.5438799999997,158184,6912.0,8,8,True,1
PRTD,10,9,256,2026181001,normal,6163.153957,0.0,6163.153957,3543.803386,1729.853268,847.418485,41.094627,0.0,381.923162,5781.230795,206540,7808.0,8,10,True,1
IRPP-TD,10,9,256,2026181001,normal,12.074782,0.0,12.074782,7.599203,0.544936,3.827266,0.0,0.0,1.944492,10.13029,86220,1568.0,6,10,True,1
RPPS-TDC,10,9,256,2026181002,normal,2809.163588,0.0,2809.163588,1830.871235,193.16624,731.841415,52.992092,0.0,480.005554,2329.158034,158184,6912.0,8,8,True,2
PRTD,10,9,256,2026181002,normal,6176.724315,0.0,6176.724315,3543.900707,1742.641517,848.992723,40.225864,0.0,381.671319,5795.052996,206540,7808.0,8,10,True,2
IRPP-TD,10,9,256,2026181002,normal,11.500459,0.0,11.500459,7.005513,0.552261,3.841188,0.0,0.0,1.956422,9.544037,86220,1568.0,7,10,True,2
BSIF,10,9,256,2026181002,normal,2491.338408,0.0,2491.338408,1824.559336,522.845115,143.853906,0.0,0.0,0.082449,2491.255959,132272,7324.0,1,7,True,2
PRTD,10,9,256,2026181003,normal,6157.283176,0.0,6157.283176,3532.107847,1733.67462,850.524222,40.065665,0.0,382.40363,5774.879546,206540,7808.0,8,10,True,3
IRPP-TD,10,9,256,2026181003,normal,12.533582,0.0,12.533582,7.951932,0.64798,3.826278,0.0,0.0,1.88732,10.646261999999998,86220,1568.0,6,10,True,3
BSIF,10,9,256,2026181003,normal,2557.141496,0.0,2557.141496,1823.98241,532.539376,200.54058,0.0,0.0,0.082382,2557.059114,155504,7324.0,1,10,True,3
RPPS-TDC,10,9,256,2026181003,normal,2794.329008,0.0,2794.329008,1818.200616,192.809373,729.732856,53.264238,0.0,478.317965,2316.011043,158184,6912.0,8,8,True,3
IRPP-TD,10,9,256,2026181004,normal,12.065939,0.0,12.065939,7.594647,0.551259,3.82503,0.0,0.0,1.84334,10.222599,86220,1568.0,6,10,True,4
BSIF,10,9,256,2026181004,normal,2561.637477,0.0,2561.637477,1825.335664,533.650853,202.567105,0.0,0.0,0.090464,2561.5470130000003,155504,7324.0,1,10,True,4
RPPS-TDC,10,9,256,2026181004,normal,2795.703687,0.0,2795.703687,1819.392205,193.095679,729.880452,53.006126,0.0,479.360112,2316.3435750000003,158184,6912.0,8,8,True,4
PRTD,10,9,256,2026181004,normal,6089.922249,0.0,6089.922249,3505.469299,1703.37807,839.972305,40.16978,0.0,377.891071,5712.031178,206540,7808.0,8,10,True,4
BSIF,10,9,256,2026181005,normal,2453.715424,0.0,2453.715424,1795.413192,517.311349,140.917088,0.0,0.0,0.083557,2453.631867,132272,7324.0,1,7,True,5
RPPS-TDC,10,9,256,2026181005,normal,2799.760957,0.0,2799.760957,1813.117565,192.879848,740.17177,53.252358,0.0,489.223159,2310.537798,158184,6912.0,8,8,True,5
PRTD,10,9,256,2026181005,normal,6161.543835,0.0,6161.543835,3540.024823,1731.147854,848.875433,40.559787,0.0,381.965712,5779.578123,206540,7808.0,8,10,True,5
IRPP-TD,10,9,256,2026181005,normal,12.477501,0.0,12.477501,7.908145,0.600051,3.859173,0.0,0.0,1.892039,10.585462,86220,1568.0,6,10,True,5
RPPS-TDC,10,9,256,2026181006,normal,2793.610809,0.0,2793.610809,1822.584924,192.707646,724.982835,53.043795,0.0,475.266084,2318.344725,158184,6912.0,8,8,True,6
PRTD,10,9,256,2026181006,normal,6103.628262,0.0,6103.628262,3506.605717,1716.440765,839.527378,40.079948,0.0,377.278917,5726.3493450000005,206540,7808.0,8,10,True,6
IRPP-TD,10,9,256,2026181006,normal,11.910664,0.0,11.910664,7.525893,0.555555,3.733408,0.0,0.0,1.942215,9.968449,86220,1568.0,6,10,True,6
BSIF,10,9,256,2026181006,normal,2446.041329,0.0,2446.041329,1795.11822,511.039521,139.801154,0.0,0.0,0.081257,2445.9600720000003,132272,7324.0,1,7,True,6
PRTD,10,9,256,2026181007,normal,6087.024706,0.0,6087.024706,3495.989279,1713.523321,836.471088,40.109846,0.0,376.21101,5710.813696,206540,7808.0,8,10,True,7
IRPP-TD,10,9,256,2026181007,normal,11.914508,0.0,11.914508,7.392851,0.548322,3.809667,0.0,0.0,1.992074,9.922433999999999,86220,1568.0,7,10,True,7
BSIF,10,9,256,2026181007,normal,2448.098254,0.0,2448.098254,1794.271505,513.853495,139.896634,0.0,0.0,0.082054,2448.0162,132272,7324.0,1,7,True,7
RPPS-TDC,10,9,256,2026181007,normal,2761.535163,0.0,2761.535163,1798.178007,191.164657,719.274568,52.601973,0.0,472.238944,2289.296219,158184,6912.0,8,8,True,7
IRPP-TD,10,9,256,2026181008,normal,12.039001,0.0,12.039001,7.615402,0.579312,3.74645,0.0,0.0,1.825387,10.213614,86220,1568.0,6,10,True,8
BSIF,10,9,256,2026181008,normal,2450.951276,0.0,2450.951276,1799.41485,511.666116,139.796831,0.0,0.0,0.079297,2450.8719789999996,132272,7324.0,1,7,True,8
RPPS-TDC,10,9,256,2026181008,normal,2761.701494,0.0,2761.701494,1798.556848,190.990593,719.426125,52.401339,0.0,472.23273,2289.4687639999997,158184,6912.0,8,8,True,8
PRTD,10,9,256,2026181008,normal,6161.160074,0.0,6161.160074,3542.849353,1732.831152,844.311255,40.204662,0.0,379.215578,5781.944496,206540,7808.0,8,10,True,8
BSIF,10,9,256,2026181009,normal,2525.131932,0.0,2525.131932,1799.003774,526.457518,199.589836,0.0,0.0,0.093282,2525.03865,155504,7324.0,1,10,True,9
RPPS-TDC,10,9,256,2026181009,normal,2775.210828,0.0,2775.210828,1804.055244,191.448166,725.900307,53.423064,0.0,477.085265,2298.125563,158184,6912.0,8,8,True,9
PRTD,10,9,256,2026181009,normal,6150.403538,0.0,6150.403538,3533.752007,1732.023798,843.107612,40.549559,0.0,379.148929,5771.254609,206540,7808.0,8,10,True,9
IRPP-TD,10,9,256,2026181009,normal,11.928598,0.0,11.928598,7.54045,0.556724,3.73,0.0,0.0,1.902767,10.025830999999998,86220,1568.0,6,10,True,9
RPPS-TDC,10,9,256,2026181010,normal,2762.42966,0.0,2762.42966,1801.465557,190.392308,717.621941,52.629461,0.0,471.222079,2291.2075809999997,158184,6912.0,8,8,True,10
PRTD,10,9,256,2026181010,normal,6099.63145,0.0,6099.63145,3505.012322,1715.902593,837.38763,40.342586,0.0,376.586184,5723.045266,206540,7808.0,8,10,True,10
