p_A,c_T,rho_A,m_A,t_A,replacement_committees,audit_trigger_probability,single_committee_failure,bad_finalization_exact,bad_finalization_empirical,expected_active_ms,added_active_ms,trials
0.0,0.0,0.0,5,3,1,0.0,0.0,1.0,1.0,15743.9293335,0.0,100000
0.1,0.0,0.0,5,3,1,0.09999999999999998,0.0,0.9,0.90148,16005.7406491,261.81131559999994,100000
0.2,0.0,0.0,5,3,1,0.19999999999999996,0.0,0.8,0.79922,16267.5519647,523.6226311999999,100000
0.30000000000000004,0.0,0.0,5,3,1,0.30000000000000004,0.0,0.7,0.69929,16529.3632803,785.4339467999998,100000
0.4,0.0,0.0,5,3,1,0.4,0.0,0.6,0.59917,16791.1745959,1047.2452623999998,100000
0.5,0.0,0.0,5,3,1,0.5,0.0,0.5,0.49826,17052.9859115,1309.0565779999997,100000
0.6000000000000001,0.0,0.0,5,3,1,0.6000000000000001,0.0,0.3999999999999999,0.39982,17314.797227100004,1570.8678936000033,100000
0.7000000000000001,0.0,0.0,5,3,1,0.7000000000000001,0.0,0.29999999999999993,0.29943,17576.608542700003,1832.6792092000032,100000
0.8,0.0,0.0,5,3,1,0.8,0.0,0.19999999999999996,0.19909,17838.419858300003,2094.490524800003,100000
0.9,0.0,0.0,5,3,1,0.9,0.0,0.09999999999999998,0.10191,18100.231173900003,2356.301840400003,100000
1.0,0.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.0,0.5,0.0,5,3,1,0.5,0.0,0.5,0.49811,17052.9859115,1309.0565779999997,100000
0.1,0.5,0.0,5,3,1,0.55,0.0,0.44999999999999996,0.45024,17183.8915693,1439.9622358000015,100000
0.2,0.5,0.0,5,3,1,0.6,0.0,0.4,0.39855,17314.797227100004,1570.8678936000033,100000
0.30000000000000004,0.5,0.0,5,3,1,0.65,0.0,0.35,0.34697,17445.7028849,1701.7735514000015,100000
0.4,0.5,0.0,5,3,1,0.7,0.0,0.30000000000000004,0.29734,17576.608542700003,1832.6792092000032,100000
0.5,0.5,0.0,5,3,1,0.75,0.0,0.25,0.2501,17707.5142005,1963.5848670000014,100000
0.6000000000000001,0.5,0.0,5,3,1,0.8,0.0,0.19999999999999996,0.2001,17838.419858300003,2094.490524800003,100000
0.7000000000000001,0.5,0.0,5,3,1,0.8500000000000001,0.0,0.1499999999999999,0.14964,17969.3255161,2225.3961826000013,100000
0.8,0.5,0.0,5,3,1,0.9,0.0,0.09999999999999998,0.10125,18100.231173900003,2356.301840400003,100000
0.9,0.5,0.0,5,3,1,0.95,0.0,0.050000000000000044,0.05082,18231.1368317,2487.2074982000013,100000
1.0,0.5,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.0,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.1,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.2,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.30000000000000004,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.4,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.5,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.6000000000000001,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.7000000000000001,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.8,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.9,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
1.0,1.0,0.0,5,3,1,1.0,0.0,0.0,0.0,18362.042489500003,2618.113156000003,100000
0.0,0.0,0.2,5,3,1,0.0,0.05792000000000003,1.0,1.0,15743.9293335,0.0,100000
0.1,0.0,0.2,5,3,1,0.09999999999999998,0.05792000000000003,0.90033547264,0.89974,16005.7406491,261.81131559999994,100000
0.2,0.0,0.2,5,3,1,0.19999999999999996,0.05792000000000003,0.80067094528,0.80087,16267.5519647,523.6226311999999,100000
0.30000000000000004,0.0,0.2,5,3,1,0.30000000000000004,0.05792000000000003,0.70100641792,0.70036,16529.3632803,785.4339467999998,100000
0.4,0.0,0.2,5,3,1,0.4,0.05792000000000003,0.60134189056,0.60177,16791.1745959,1047.2452623999998,100000
0.5,0.0,0.2,5,3,1,0.5,0.05792000000000003,0.5016773632,0.49904,17052.9859115,1309.0565779999997,100000
0.6000000000000001,0.0,0.2,5,3,1,0.6000000000000001,0.05792000000000003,0.4020128358399999,0.40419,17314.797227100004,1570.8678936000033,100000
0.7000000000000001,0.0,0.2,5,3,1,0.7000000000000001,0.05792000000000003,0.30234830847999994,0.3008,17576.608542700003,1832.6792092000032,100000
0.8,0.0,0.2,5,3,1,0.8,0.05792000000000003,0.20268378111999996,0.20215,17838.419858300003,2094.490524800003,100000
