protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,ledger_bytes_task,confirm_median_ms,confirm_p95_ms,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
IRPP-TD,27,9,256,2026351000,normal,52.529638,0.0,52.529638,42.338596,1.513281,8.457513,0.0,0.0,3.798394,48.731244,321786,1568.0,6,27,True,0,15578.732386,31,8959,501.707193,536.035466,15631.262024,16131.262024,330745
IRPP-TD,27,9,256,2026351001,normal,52.518052,0.0,52.518052,42.199705,1.568937,8.50989,0.0,0.0,3.78813,48.729922,321786,1568.0,6,27,True,1,15704.387119,31,8959,502.112938,543.467625,15756.905171,16256.905171,330745
IRPP-TD,27,9,256,2026351002,normal,54.525131,0.0,54.525131,43.719893,1.517176,9.046196,0.0,0.0,4.161072,50.364059000000005,321786,1568.0,6,27,True,2,15734.964032,31,8959,502.46022,539.475332,15789.489163,16289.489163,330745
IRPP-TD,27,9,256,2026351003,normal,57.751692,0.0,57.751692,47.124511,1.670153,8.724309,0.0,0.0,3.781235,53.970457,321786,1568.0,6,27,True,3,15692.374555,31,8959,502.685496,536.236467,15750.126247,16250.126247,330745
IRPP-TD,27,9,256,2026351004,normal,54.953951,0.0,54.953951,44.05261,1.627399,9.035281,0.0,0.0,3.864154,51.089797,321786,1568.0,6,27,True,4,15661.974362,31,8959,502.12123,540.353165,15716.928313,16216.928313,330745
IRPP-TD,27,9,256,2026351005,normal,51.504528,0.0,51.504528,41.534285,1.469548,8.305975,0.0,0.0,3.650752,47.853776,321786,1568.0,6,27,True,5,15786.27792,31,8959,501.058214,593.579657,15837.782448,16337.782448,330745
IRPP-TD,27,9,256,2026351006,normal,52.123094,0.0,52.123094,41.906643,1.453508,8.552212,0.0,0.0,3.760807,48.362287,321786,1568.0,6,27,True,6,16065.226567,31,8959,502.433969,624.635628,16117.349661,16617.349661,330745
IRPP-TD,27,9,256,2026351007,normal,52.113254,0.0,52.113254,42.009019,1.470116,8.4356,0.0,0.0,3.697356,48.415898,321786,1568.0,6,27,True,7,15661.999325,31,8959,501.459351,550.92605,15714.112579,16214.112579,330745
IRPP-TD,27,9,256,2026351008,normal,52.987401,0.0,52.987401,43.007401,1.52827,8.238014,0.0,0.0,3.495975,49.491426,321786,1568.0,6,27,True,8,15802.628648,31,8959,501.435354,561.485198,15855.616049,16355.616049,330745
IRPP-TD,27,9,256,2026351009,normal,52.227173,0.0,52.227173,42.215037,1.4873,8.328635,0.0,0.0,3.691961,48.535212,321786,1568.0,6,27,True,9,15657.938269,31,8959,501.977181,537.120929,15710.165442,16210.165442,330745
IRPP-TD,27,9,256,2026351010,normal,52.030004,0.0,52.030004,42.124802,1.502815,8.204205,0.0,0.0,3.661034,48.36897,321786,1568.0,6,27,True,10,15608.414797,31,8959,501.864995,534.450497,15660.444801,16160.444801,330745
IRPP-TD,27,9,256,2026351011,normal,52.617877,0.0,52.617877,41.981344,1.474079,8.956884,0.0,0.0,3.681873,48.936004,321786,1568.0,6,27,True,11,15764.62756,31,8959,502.048626,562.162646,15817.245437000001,16317.245437000001,330745
IRPP-TD,27,9,256,2026351012,normal,53.669058,0.0,53.669058,43.235935,1.519055,8.702543,0.0,0.0,3.733904,49.935154,321786,1568.0,6,27,True,12,15871.463464,31,8959,501.762724,564.086517,15925.132522,16425.132522,330745
IRPP-TD,27,9,256,2026351013,normal,52.627666,0.0,52.627666,42.286673,1.51263,8.589315,0.0,0.0,3.655755,48.971911,321786,1568.0,6,27,True,13,15709.984422,31,8959,501.718738,580.479976,15762.612088,16262.612088,330745
IRPP-TD,27,9,256,2026351014,normal,51.382228,0.0,51.382228,41.46813,1.460956,8.25851,0.0,0.0,3.696028,47.6862,321786,1568.0,6,27,True,14,15849.303807,31,8959,501.695099,582.362274,15900.686035,16400.686035,330745
IRPP-TD,27,9,256,2026351015,normal,52.07208,0.0,52.07208,42.022629,1.515796,8.33784,0.0,0.0,3.652256,48.419824,321786,1568.0,6,27,True,15,15665.829311,31,8959,501.157704,540.436634,15717.901391,16217.901391,330745
IRPP-TD,27,9,256,2026351016,normal,51.858533,0.0,51.858533,41.635204,1.468158,8.561832,0.0,0.0,3.905933,47.9526,321786,1568.0,6,27,True,16,16174.492612,31,8959,503.098142,615.919498,16226.351145,16726.351145,330745
