protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
IRPP-TD,10,9,256,2026181000,normal,12.331781,0.0,12.331781,7.313228,0.573401,4.341845,0.0,0.0,2.30464,10.027141,86220,1568.0,6,10,True,0,7038.143564,14.0,501.684004,504.423108,4046.0,363893.0,7050.475345,7550.475345,90266.0
BSIF,10,9,256,2026181000,normal,2571.433275,0.0,2571.433275,1833.748994,536.24453,201.356275,0.0,0.0,0.082341,2571.350934,155504,7324.0,1,10,True,0,11603.656064,23.0,501.936386,533.389393,78449.0,12032928.0,14175.089339,14175.089339,233953.0
RPPS-TDC,10,9,256,2026181000,normal,2796.271973,0.0,2796.271973,1825.49821,192.216347,725.243344,52.955814,0.0,475.785399,2320.486574,158184,6912.0,8,8,True,0,12566.55984,25.0,501.043847,534.791532,74739.0,11399128.0,15362.831813,15362.831813,232923.0
PRTD,10,9,256,2026181000,normal,6188.291351,0.0,6188.291351,3556.511813,1742.414121,848.204553,40.2077,0.0,380.685834,5807.605517,206540,7808.0,8,10,True,0,,,,,,,6188.291351,6188.291351,206540.0
BSIF,10,9,256,2026181001,normal,2469.780049,0.0,2469.780049,1812.410641,515.994694,141.299933,0.0,0.0,0.081534,2469.698515,132272,7324.0,1,7,True,1,11721.46274,23.0,502.116015,536.979969,78449.0,12032928.0,14191.242789,14191.242789,210721.0
RPPS-TDC,10,9,256,2026181001,normal,2799.470418,0.0,2799.470418,1820.506878,193.661143,731.480322,53.488944,0.0,479.926538,2319.54388,158184,6912.0,8,8,True,1,12637.25948,25.0,502.057801,536.669983,74739.0,11399128.0,15436.729898000001,15436.729898000001,232923.0
PRTD,10,9,256,2026181001,normal,6163.153957,0.0,6163.153957,3543.803386,1729.853268,847.418485,41.094627,0.0,381.923162,5781.230795,206540,7808.0,8,10,True,1,,,,,,,6163.153957,6163.153957,206540.0
IRPP-TD,10,9,256,2026181001,normal,12.074782,0.0,12.074782,7.599203,0.544936,3.827266,0.0,0.0,1.944492,10.13029,86220,1568.0,6,10,True,1,7035.443143,14.0,501.473078,509.16712,4046.0,363893.0,7047.517925,7547.517925,90266.0
RPPS-TDC,10,9,256,2026181002,normal,2809.163588,0.0,2809.163588,1830.871235,193.16624,731.841415,52.992092,0.0,480.005554,2329.158034,158184,6912.0,8,8,True,2,12809.475054,25.0,501.802922,554.312196,74739.0,11399128.0,15618.638642,15618.638642,232923.0
PRTD,10,9,256,2026181002,normal,6176.724315,0.0,6176.724315,3543.900707,1742.641517,848.992723,40.225864,0.0,381.671319,5795.052996,206540,7808.0,8,10,True,2,,,,,,,6176.724315,6176.724315,206540.0
