protocol,n,runs,e2e_active_ms_median,e2e_active_ms_ci_low,e2e_active_ms_ci_high,e2e_final_ms_median,e2e_final_ms_ci_low,e2e_final_ms_ci_high,offchain_active_ms_median,offchain_active_ms_ci_low,offchain_active_ms_ci_high,chain_active_ms_median,chain_active_ms_ci_low,chain_active_ms_ci_high,traffic_report_bytes_median,traffic_report_bytes_ci_low,traffic_report_bytes_ci_high,traffic_task_bytes_median,traffic_task_bytes_ci_low,traffic_task_bytes_ci_high,total_traffic_task_bytes_median,total_traffic_task_bytes_ci_low,total_traffic_task_bytes_ci_high,ledger_bytes_task_median,ledger_bytes_task_ci_low,ledger_bytes_task_ci_high,tx_count_median,tx_count_ci_low,tx_count_ci_high,confirm_median_ms_median,confirm_median_ms_ci_low,confirm_median_ms_ci_high,confirm_p95_ms_median,confirm_p95_ms_ci_low,confirm_p95_ms_ci_high
IRPP-TD,10,30,7073.6572775,7051.092272,7132.538394499999,7573.6572775,7551.092272,7632.538394499999,12.014083,11.929448,12.078226,7061.818843999999,7039.258695500001,7120.597072500001,1568.0,1568.0,1568.0,86220.0,86220.0,86220.0,90266.0,90266.0,90266.0,4046.0,4046.0,4046.0,14.0,14.0,14.0,501.60085,501.34022749999997,501.9109445,524.861932,515.0808079999999,539.3398354999999
IRPP-TD,20,30,12178.960351999998,12144.5554355,12259.7009345,12678.960351999998,12644.5554355,12759.7009345,32.624522,32.49589,33.0175115,12145.8299455,12112.0318145,12226.360073,1568.0,1568.0,1568.0,211480.0,211480.0,211480.0,218416.0,218416.0,218416.0,6936.0,6936.0,6936.0,24.0,24.0,24.0,501.941471,501.759625,502.15198499999997,540.590465,534.8735145,555.1126235
IRPP-TD,27,30,15743.9293335,15715.520446,15813.637646,16243.9293335,16215.520446,16313.637646,52.521595,52.118173999999996,52.8075335,15688.2333485,15661.9868435,15761.609842,1568.0,1568.0,1568.0,321786.0,321786.0,321786.0,330745.0,330745.0,330745.0,8959.0,8959.0,8959.0,31.0,31.0,31.0,501.72430999999995,501.48816450000004,501.969611,539.9142485,536.00452,552.175519
IRPP-TD,39,30,21886.287669999998,21845.804133999998,21912.4522555,22386.287669999998,22344.016742499996,22412.4522555,101.2613695,100.4568445,101.8305135,21784.9482355,21746.634182499998,21819.280266,1568.0,1568.0,1568.0,555906.0,555906.0,555906.0,568333.0,568333.0,568333.0,12427.0,12427.0,12427.0,43.0,43.0,43.0,501.727238,501.626133,501.935157,540.126625,538.3949115,555.682512
IRPP-TD,50,30,27562.4472685,27506.9911145,27614.056702,28062.4472685,28006.989205375,28114.056702,157.1492055,155.625064,158.8951315,27402.55218,27346.8630935,27452.771382,1568.0,1568.0,1568.0,818300.0,818300.0,818300.0,833906.0,833906.0,833906.0,15606.0,15606.0,15606.0,54.0,54.0,54.0,501.616532,501.54424800000004,501.745279,549.382783,543.292088,562.2327210000001
BSIF,10,30,14185.8947465,14164.731161,14208.186688,14185.8947465,14166.949715499999,14209.133488,2486.3367245,2471.2194575000003,2522.2479160000003,11675.600327,11609.5780185,11739.359724,7324.0,7324.0,7324.0,132272.0,132272.0,155504.0,210721.0,210721.0,233953.0,78449.0,78449.0,78449.0,23.0,23.0,23.0,501.6589235,501.54738499999996,502.034036,542.57521,535.3117890000001,559.840378
BSIF,20,30,26788.3138075,26719.137903,26863.302248,26788.3138075,26719.137903,26863.302248,4951.312218,4943.553556,5063.406064,21798.654725,21711.947164999998,21883.413621,7324.0,7324.0,7324.0,264480.0,264480.0,310944.0,420319.0,420319.0,466783.0,155839.0,155839.0,155839.0,43.0,43.0,43.0,501.846465,501.6740465,502.078996,540.559542,536.5315284999999,547.6776970000001
BSIF,27,30,35417.9105555,35384.238223,35514.040405499996,35417.9105555,35384.238223,35514.040405499996,6559.9464725,6544.609621,6592.6770885000005,28833.958813,28808.838885,28887.8809045,7324.0,7324.0,7324.0,357800.0,357800.0,357800.0,567812.0,567812.0,567812.0,210012.0,210012.0,210012.0,57.0,57.0,57.0,501.8350995,501.671862,501.9827865,537.511521,535.779644,542.339713
BSIF,39,30,50859.436009,50696.682318,51000.9724135,50859.436009,50696.682318,51000.9724135,9768.1656225,9691.9190315,9893.2693505,40999.067576,40972.370949000004,41098.5315615,7324.0,7324.0,7324.0,513352.0,513352.0,606280.0,816232.0,816232.0,909160.0,302880.0,302880.0,302880.0,81.0,81.0,81.0,501.804103,501.7249975,501.876808,541.493835,538.618635,545.9584195
BSIF,50,30,64726.5206585,64597.448677,64845.655666000006,64726.5206585,64597.448677,64845.655666000006,12430.243234500002,12319.4718985,12618.670804,52290.6817945,52168.6046245,52346.898792,7324.0,7324.0,7324.0,661104.0,661104.0,719184.0,1049113.0,1049113.0,1107193.0,388009.0,388009.0,388009.0,103.0,103.0,103.0,501.834241,501.6236985,501.916194,547.369016,544.6604219999999,553.9890958249999
RPPS-TDC,10,30,15429.568565,15369.845550000002,15475.67315,15429.568565,15369.845550000002,15475.67315,2779.9403805,2770.0269184999997,2793.9699085,12643.1104945,12603.436437,12707.0962875,6912.0,6912.0,6912.0,158184.0,158184.0,158184.0,232923.0,232923.0,232923.0,74739.0,74739.0,74739.0,25.0,25.0,25.0,501.62728300000003,501.277016,501.819007,538.277144,530.9457205,549.4170250999998
RPPS-TDC,20,30,28107.446041000003,28048.6222495,28155.521736,28107.446041000003,28048.6222495,28155.521736,5325.964018000001,5317.2040545,5340.7524969999995,22785.156139,22732.7367,22812.880286,6912.0,6912.0,6912.0,309328.0,309328.0,309328.0,457297.0,457297.0,457297.0,147969.0,147969.0,147969.0,45.0,45.0,45.0,501.871575,501.79481799999996,502.07847300000003,544.70858,538.8832015,560.9096345
RPPS-TDC,27,30,36883.302089000004,36791.513618,36924.494614974996,36883.302089000004,36791.513618,36924.4419505,7000.750007,6986.1068685,7030.250894,29854.2707965,29761.996908,29924.513788999997,6912.0,6912.0,6912.0,415148.0,415148.0,415148.0,614378.0,614378.0,614378.0,199230.0,199230.0,199230.0,59.0,59.0,59.0,501.630034,501.52493200000004,501.863152,540.0651555,537.9950225,547.9019695
RPPS-TDC,39,30,52343.163211,52298.4568285,52472.217672,52343.163211,52298.4568285,52472.217672,10226.4372745,10170.620286500001,10280.1517595,42110.6767275,42074.7954435,42201.870426,6912.0,6912.0,6912.0,596540.0,596540.0,596540.0,883646.0,883646.0,883646.0,287106.0,287106.0,287106.0,83.0,83.0,83.0,501.9498055,501.7823005,502.0788935,542.7712845000001,540.7473825,546.1363668375
RPPS-TDC,50,30,66416.60961099999,66158.440176,66564.3458045,66416.60961099999,66158.440176,66564.3458045,13001.727025,12925.0788545,13052.6617525,53389.1772385,53262.0931175,53517.1210095,6912.0,6912.0,6912.0,762760.0,762760.0,762760.0,1130419.0,1130419.0,1130419.0,367659.0,367659.0,367659.0,105.0,105.0,105.0,501.82520999999997,501.699667,502.0144965,549.8734609999999,542.9583395,565.5777949999999
PRTD,10,30,6149.934469,6101.629856,6161.3519545,6149.934469,6101.629856,6161.3519545,6149.934469,6101.629856,6161.3519545,,,,7808.0,7808.0,7808.0,206540.0,206540.0,206540.0,206540.0,206540.0,206540.0,,,,,,,,,,,,
PRTD,20,30,10414.9757325,10372.5503565,10433.1507225,10414.9757325,10372.5503565,10433.18707925,10414.9757325,10372.5503565,10433.1507225,,,,7808.0,7808.0,7808.0,357300.0,357300.0,357300.0,357300.0,357300.0,357300.0,,,,,,,,,,,,
PRTD,27,30,13250.8605765,13222.691178500001,13290.2397355,13250.8605765,13222.691178500001,13290.2397355,13250.8605765,13221.3976472875,13290.2397355,,,,7808.0,7808.0,7808.0,462832.0,462832.0,462832.0,462832.0,462832.0,462832.0,,,,,,,,,,,,
