protocol,stage,median_ms,ci_low,ci_high
IRPP-TD,Worker,42.236321000000004,42.061232000000004,42.527706
IRPP-TD,Service/authority,1.7134350000000005,1.686989000000002,1.7403105000000028
IRPP-TD,Requester/cloud B,8.5296445,8.3821175,8.589815
IRPP-TD,Ledger,15688.2333485,15661.9868435,15761.609842
BSIF,Worker,4813.391375499999,4800.425593,4823.8742165
BSIF,Service/authority,1372.1275210000003,1366.7157634999994,1380.2196655000007
BSIF,Requester/cloud B,376.897284,375.235361,377.39468650000003
BSIF,Ledger,28833.958813,28808.838885,28887.8809045
RPPS-TDC,Worker,4810.788081500001,4798.224743000001,4832.220515499999
RPPS-TDC,Service/authority,346.6620929999996,345.3014119999996,348.23682300000036
RPPS-TDC,Requester/cloud B,1844.4518685,1840.2242185,1852.400539
RPPS-TDC,Ledger,29854.2707965,29761.996908,29923.3912395
PRTD,Worker,9380.2641195,9366.3462265,9408.040464
PRTD,Service/authority,2259.456044,2255.035626499999,2267.096605499999
PRTD,Requester/cloud B,1602.391874,1598.563079,1607.0627705
PRTD,Ledger,0.0,0.0,0.0
