fault,policy,runs,detection_rate,correction_rate,bad_finalization_rate,median_reexecution_ms
aggregate,delayed_challenge,30,1.0,1.0,0.0,7.520808000000001
aggregate,no_trigger,30,0.0,0.0,1.0,0.000128
aggregate,proactive,30,1.0,1.0,0.0,7.485799
aggregate,timely_challenge,30,1.0,1.0,0.0,7.3979975
label,delayed_challenge,30,1.0,1.0,0.0,7.491237
label,no_trigger,30,0.0,0.0,1.0,0.0002185
label,proactive,30,1.0,1.0,0.0,7.5337565
label,timely_challenge,30,1.0,1.0,0.0,7.266965499999999
missing_package,delayed_challenge,30,1.0,1.0,0.0,0.000352
missing_package,no_trigger,30,0.0,0.0,1.0,0.000118
missing_package,proactive,30,1.0,1.0,0.0,0.000908
missing_package,timely_challenge,30,1.0,1.0,0.0,0.000427
payment,delayed_challenge,30,1.0,1.0,0.0,7.290922999999999
payment,no_trigger,30,0.0,0.0,1.0,0.000128
payment,proactive,30,1.0,1.0,0.0,7.4102995
payment,timely_challenge,30,1.0,1.0,0.0,7.5086295
reputation_state,delayed_challenge,30,1.0,1.0,0.0,7.443113
reputation_state,no_trigger,30,0.0,0.0,1.0,0.000118
reputation_state,proactive,30,1.0,1.0,0.0,7.398446
reputation_state,timely_challenge,30,1.0,1.0,0.0,7.478144
weight,delayed_challenge,30,1.0,1.0,0.0,7.550689999999999
weight,no_trigger,30,0.0,0.0,1.0,0.000118
weight,proactive,30,1.0,1.0,0.0,7.4151605
weight,timely_challenge,30,1.0,1.0,0.0,7.444182
