protocol,operation,samples,setup_median_ms,setup_mean_ms,setup_min_ms,setup_max_ms
BSIF,Paillier-3072 keygen,1,490.667649,490.667649,490.667649,490.667649
BSIF,RSA-3072 worker envelope keygen batch,1,4594.347774,4594.347774,4594.347774,4594.347774
IRPP,Ed25519 DR keygen,1,0.021486,0.021486,0.021486,0.021486
IRPP,Ed25519 TP keygen,1,0.019923,0.019923,0.019923,0.019923
IRPP,Ed25519 auditor keygen batch,1,0.215418,0.215418,0.215418,0.215418
IRPP,Ed25519 worker keygen batch,1,2.010353,2.010353,2.010353,2.010353
IRPP,NTRU+768 DR keygen,1,0.064748,0.064748,0.064748,0.064748
IRPP,NTRU+768 auditor keygen,5,0.032478,0.0322678,0.031311,0.032738
IRPP,NTRU+768 worker keygen,50,0.032598,0.03299482,0.031124,0.050077
PRTD,3072-bit DSA-group setup,1,3227.627662,3227.627662,3227.627662,3227.627662
PRTD,Paillier-3072 two-cloud keygen,1,595.089092,595.089092,595.089092,595.089092
RPPS-TDC,Paillier-3072 DR keygen,1,148.567485,148.567485,148.567485,148.567485
RPPS-TDC,Paillier-3072 RC keygen,1,221.249461,221.249461,221.249461,221.249461
